enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
59,1994,1587.9,1444.2,-161,-89.5,0,143.2,-218.5,-325.8,83.3,0,0,0,344.8,3134.4,-1981.6,72.5,0,0,-587,846,0,0,-1120.6,-2770.7,68.6,-463.5,0,589.9,0,589.9,-461.6,0,-36.7,-303.3,-57,-3.4,57,0,-1981.6,1152.8
59,1995,1784,1576.5,-111.8,-101.6,0,84.8,159.9,31.3,-66.9,0,0,0,391.1,3716,-2253.2,55.3,0,0,-228.5,649.5,0,0,-584.1,-2361,97.4,-549.1,0,0,-204.4,-204.4,-540.2,0,-43.5,-1239.8,-103.8,-11.4,103.8,0,-2253.2,1462.8
59,1996,1606,1046,-182,-83,0,-2,-329,-596,119,0,0,506,467,3148,-1365,107,0,0,-287,333,0,0,-629,-1841,252,-541,0,0,-352,-352,-599,0,-7,-1247,-55,-5,55,0,-1365,1783
59,1997,1149,1073,-67,-97,0,297,13,146,160,0,0,605,664,3797,-1630,52,0,0,-115,928,0,0,-289,-1054,323,-1651,0,0,-704,-704,-675,0,-9,-2716,-22,-5,22,0,-1630,2167
59,1998,2142,1106,-53,79,0,84,86,196,51,0,0,6236,-76,9655,-1506,301,0,0,-827,177,0,0,-215,-2070,403,-2459,0,0,-3175,-3175,-736,0,5,-5962,-1621,-2,1621,0,-1506,8149
59,1999,1993,1234,-104,29,0,-195,-128,-398,150,0,0,0,232,3211,-5942,151,0,0,-525,1423,0,0,-126,-5019,415,-2230,0,2762,0,2762,-757,0,0,190,1617,1,-1617,0,-5942,-2731
59,2000,2505,1156,-141,-202,-209,357,274,79,573,0,0,0,-708,3605,-1341,643,0,0,-2209,2232,0,0,-497,-1172,383,-1667,0,391,0,391,-935,0,0,-1828,638,3,608,1246,-1341,2264
59,2001,2543,1093,-52,-51,-35,219,335,416,33,0,0,0,355,4440,-1352,90,0,0,-4959,4585,0,0,-360,-1996,690,-1684,0,0,-705,-705,-949,0,0,-2648,1246,-4,-208,1038,-1352,3088
59,2002,2400,1082,7,-75,-6,-236,389,79,45,0,0,0,214,3820,-1324,0,0,0,-2578,2078,0,0,-432,-2256,1147,-1731,0,0,-341,-341,-994,0,0,-1919,1038,0,-355,683,-1324,2496
59,2003,3000,1112,-260,-53,-78,426,270,305,174,0,0,0,36,4627,-1437,465,0,0,-76,833,0,0,-312,-527,456,-2190,0,0,-404,-404,-1041,0,0,-3179,683,34,955,1638,-1437,3190
59,2004,3568,1221,-220,-49,23,-11,182,-75,-323,0,0,0,-63,4328,-1345,49,0,0,-978,28,0,0,-25,-2271,689,-1945,0,0,-576,-576,-1070,0,0,-2902,1638,27,-818,820,-1345,2983
59,2005,4212,1264,-130,-100,-31,216,-268,-313,-203,0,0,0,94,5054,-1387,38,0,0,-1007,38,0,0,-12,-2330,965,-3055,0,1104,0,1104,-1329,0,0,-2315,820,51,460,1280,-1387,3667
59,2006,4078,1308,-272,-132,-56,188,609,337,440,0,0,0,-311,5852,-1736,88,0,0,-1075,298,0,0,-1092,-3517,1099,-3031,0,1696,0,1696,-1642,0,0,-1878,1280,-21,436,1716,-1736,4116
59,2007,5642,1406,-330,-186,-37,-16,-3,-572,-510,270,67,0,-219,6084,-2068,49,-522,37,-29,2364,0,0,-25,-194,1194,-3000,-10,236,-2683,-2447,-1854,0,134,-5983,1716,28,-65,1651,-2068,4016
59,2008,5658,1426,-405,-204,-16,650,-209,-184,118,260,102,0,-446,6934,-2430,47,-1320,0,-496,428,0,0,27,-3744,1108,-4300,-12,2251,-1057,1194,-2204,0,208,-4006,1651,75,-741,910,-2430,4504
59,2009,5166,1543,-549,-345,-68,538,-391,-815,573,238,543,0,-249,6999,-2446,98,-1965,6,-156,1796,0,0,0,-2667,0,-4720,-6,4433,-918,3515,-2541,0,727,-3025,910,-153,1154,2064,-2446,4553
59,2010,5979,1635,188,17,-127,186,0,264,284,227,0,0,-1593,6796,-2128,58,-500,99,-29,84,0,0,15,-2401,0,0,-7,1083,-1270,-187,-2732,0,429,-2497,2064,-19,1879,3943,-2128,4668
59,2011,6338,2327,-268,276,144,611,0,763,500,299,145,0,-1924,8448,-3253,81,-4279,12,-241,29,0,0,-17,-7668,0,-4978,-5,9029,-655,8374,-2978,0,973,1386,3943,-166,2000,5943,-3253,5195
59,2012,6462,2737,-666,-331,-27,180,0,-844,495,326,0,0,-232,8944,-3339,84,-3193,780,0,66,0,0,-16,-5618,0,-2489,-7,3862,-2926,936,-3157,0,-418,-5135,5943,-67,-1876,4067,-3339,5605
59,2013,6214,2689,-250,144,89,451,0,434,321,278,0,0,-1457,8479,-2714,95,-459,-32,0,61,0,0,44,-3005,0,-3219,-7,6548,-4459,2089,-3305,0,1136,-3306,4067,62,2230,6297,-2714,5765
59,2014,6787,2663,-88,4,-51,1093,0,958,-1058,303,0,0,35,9688,-2795,109,-109,130,0,61,0,0,-21,-2625,0,-3001,-7,5852,-4386,1466,-3434,0,1187,-3789,6297,-196,3078,9375,-2795,6893
59,2015,6558,2625,-343,-111,80,1533,0,1159,-19,297,0,0,-114,10506,-2859,115,-88,203,-6305,4007,0,0,-10,-4937,0,-5012,-10,3905,-4236,-331,-3730,0,819,-8264,9375,-546,-3241,6134,-2859,7647
59,2016,5501,2416,-461,-244,-50,1747,0,992,78,295,1359,0,223,10864,-2758,86,-654,76,-4428,4114,0,0,-5,-3569,0,-5000,-5,8770,-4138,4632,-4040,0,301,-4112,6134,-221,2962,9096,-2758,8106
59,2017,6379,2368,-349,-75,10,1310,0,896,452,284,0,0,284,10663,-3040,99,-212,85,-12504,8415,0,0,7,-7150,0,-3000,-7,9382,-5636,3746,-4227,0,277,-3211,9119,-252,50,9169,-3040,7623
59,2018,4908,2369,-202,-168,20,-137,0,-487,3070,292,0,0,-122,10030,-2969,180,-61,267,-18385,16536,0,0,29,-4403,0,-2000,-5,7600,-5550,2050,-4472,0,241,-4186,9169,47,1488,10657,-2969,7061
59,2019,12559,2399,-253,-174,9,1330,0,912,-559,256,0,0,-6152,9415,-3282,134,-1496,505,-5637,14338,0,0,2,4564,0,-2000,-2,3,-6965,-6962,-4930,0,125,-13769,10657,-98,112,10769,-3282,6133
59,2020,7353,2844,-650,-190,-87,448,0,-479,445,237,0,0,-751,9649,-4232,170,-2717,253,0,97,0,0,-8,-6437,0,-3000,0,4627,-4982,-355,-5304,0,170,-8489,10769,78,-5199,5570,-4232,5417
59,2021,7175,3026,-420,-516,26,607,0,-303,361,264,0,0,90,10613,-4240,55,-6372,6,-1135,27,0,0,40,-11619,0,-2000,0,17886,-6593,11293,-5509,0,35,3819,5570,-129,2684,8254,-4240,6373
59,2022,7679,3215,-651,-582,159,1792,0,718,488,301,0,0,-785,11616,-4625,166,-61,169,-58,1135,0,0,5,-3269,0,-106,0,4564,-8696,-4132,-5815,0,-727,-10780,8254,-114,-2547,5707,-4625,6991
59,2023,8978,3280,-1763,-1142,118,1899,0,-888,-787,343,3618,0,-3733,10811,-5207,251,-873,3505,-291,174,0,0,11,-2430,0,-1500,0,5346,-6156,-810,-6172,0,-41,-8523,5707,-465,-607,5100,-5207,5604
