enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
60,1994,657.5,258.2,-160.8,-142.3,0,30.5,193,-79.6,-336.1,0,0,0,763,1263,-634.2,0,0,0,-760.9,846.8,0,0,351.4,-196.9,0,-1019.6,0,0,-63.7,-63.7,-536.1,0,52.4,-1567,527.7,-26.8,-527.7,0,-634.2,628.8
60,1995,1298.4,292,-160.7,-110.8,0,167.9,-25,-128.6,32.6,0,0,0,-5.9,1488.5,-671.5,0,0,0,-1355.9,1288.2,0,0,-101.1,-840.3,64.2,-511.2,0,1070.6,0,1070.6,-594.6,0,32.9,61.9,-729.1,19,729.1,0,-671.5,817
60,1996,1572.9,374,-290.2,-24.6,0,407.9,-170.7,-77.6,-12.9,0,0,0,-35,1821.4,-696.3,0,0,0,-2610.4,2184.6,0,0,-1220.7,-2342.8,205,-108.5,0,58,0,58,-658.5,0,-15.1,-519.1,1055.2,-14.7,-1055.2,0,-696.3,1125.1
60,1997,1929,359,-259,-140,0,25,-1,-375,80,0,0,134,-165,1962,-1141,451,0,0,-2850,3490,0,0,-800,-850,280,-27,0,107,0,107,-771,0,44,-367,-747,2,747,0,-1141,821
60,1998,2213,428,-477,-350,0,-63,-211,-1101,13,0,0,118,-131,1540,-878,68,0,0,-221,28,0,0,40,-963,411,-586,0,183,0,183,-881,0,50,-823,1150,-27,-273,877,-878,662
60,1999,4633,797,-902,-566,0,970,1452,954,-164,0,0,4,-1043,5181,-1951,3302,0,0,-5965,4328,0,0,-482,-768,526,-2177,0,0,-489,-489,-1501,0,0,-3641,1614,21,793,2407,-1951,3230
60,2000,4972,905,-1274,-278,-127,378,394,-907,213,0,0,-20,310,5473,-2493,109,0,0,-9270,7785,0,0,-37,-3906,636,-2542,0,2099,0,2099,-1820,0,0,-1627,2407,11,-49,2358,-2493,2980
60,2001,3718,968,-498,-436,365,807,1565,1803,-265,0,0,0,-29,6195,-2191,468,0,0,-8820,6592,0,0,198,-3753,1188,-1005,0,0,-1691,-1691,-2197,0,0,-3705,2358,4,-1259,1099,-2191,4004
60,2002,7788,972,81,-110,106,-412,686,351,193,0,0,313,-443,9174,-2105,8,0,0,-17926,12888,0,0,0,-7135,773,-3665,0,3511,0,3511,-2715,0,0,-2096,1099,-6,-63,1036,-2105,7069
60,2003,9126,1036,-963,-129,-1423,461,2057,3,-385,0,0,319,84,10183,-1758,220,0,0,-15529,13258,0,0,-529,-4338,660,-4996,0,2505,0,2505,-3168,0,0,-4999,1036,-4,842,1878,-1758,8425
60,2004,3910,4025,207,-200,-918,909,-1258,-1260,631,0,0,14,4407,11727,-2629,5602,0,0,-11814,12416,0,0,1275,4850,1072,-13037,0,0,-591,-591,-4353,0,0,-16909,1878,-26,-358,1520,-2629,9098
60,2005,11361,5093,-465,-542,-640,-704,1512,-839,-1594,0,0,0,2319,16340,-2601,1276,0,0,-18828,13293,0,0,-2562,-9422,1012,-6659,0,4100,0,4100,-5082,0,0,-6629,1520,-1,288,1808,-2601,13739
60,2006,8085,5576,-803,72,615,-1054,373,-797,-1457,0,0,-77,3403,14733,-2106,127,0,0,-28727,28088,0,0,-2454,-5072,451,-3797,0,0,-321,-321,-5555,0,0,-9222,1808,0,439,2247,-2106,12627
60,2007,19337,5293,-172,118,314,-450,3206,3016,-1945,0,0,-10243,2136,17594,-2203,3,0,0,-11522,21004,0,0,-2181,5101,732,-6979,0,0,-9934,-9934,-6919,0,0,-23100,2247,-15,-420,1827,-2203,15391
60,2008,8144,5200,-320,720,-647,1509,-2062,-800,-2788,0,0,168,3429,13353,-1991,0,0,0,-27061,30460,0,0,-613,795,459,-9994,0,4900,0,4900,-7975,0,0,-12610,1827,41,1579,3406,-1991,11362
60,2009,8127,5090,195,294,0,4444,-74,4859,-1331,384,0,-6,1115,18238,-1701,0,-1184,0,-45062,36805,0,0,-1693,-12835,74,-500,0,40724,-38317,2407,-8541,0,0,-6560,3406,-127,-1284,2122,-1701,16537
60,2010,8644,4757,252,1631,0,10956,-867,11972,-9582,349,305,0,142,16587,-1205,0,-43123,0,-42219,54643,0,0,632,-31272,0,0,0,56056,-35936,20120,-5548,0,-91,14481,2122,60,-144,1978,-1205,15382
60,2011,8288,8399,-608,2917,0,-301,-12370,-10362,1953,405,3486,0,-715,11454,-1513,0,-273,0,-15210,16386,0,0,118,-492,0,-1000,0,6400,-10552,-4152,-6088,0,66,-11174,1978,-31,-243,1735,-1513,9941
60,2012,10049,9026,140,1084,0,-367,1676,2533,454,419,1198,0,-3439,20240,-1660,0,-3282,2376,-23067,27197,-222,0,501,1843,0,-9000,0,14720,-20262,-5542,-6234,0,169,-20607,1735,-29,1447,3182,-1882,18358
60,2013,14598,7655,367,-631,0,579,-2682,-2367,2198,481,1299,0,-7118,16746,-1327,0,-1050,11850,-35163,31751,-92,0,185,6154,0,-8228,0,7995,-9720,-1725,-6534,0,488,-15999,3182,-2,6899,10081,-1419,15327
60,2014,22072,6410,940,-538,0,382,-4162,-3378,1703,523,1145,0,-10791,17684,-1206,0,-15,0,-58058,48682,-259,0,312,-10544,0,-16290,0,14416,-8380,6036,-6580,0,1859,-14975,10081,-63,-7898,2183,-1465,16219
60,2015,9168,5537,148,175,0,297,1003,1623,317,586,531,0,-678,17084,-1199,0,-195,0,-61672,57449,-384,0,347,-5654,0,-5000,0,4504,-3961,543,-6609,0,879,-10187,2183,-83,1160,3343,-1583,15501
60,2016,6986,5157,21,-199,0,254,665,741,-20,669,1119,0,36,14688,-1397,0,-16466,0,-38123,52761,-99,0,344,-2980,0,-6160,0,5557,-4238,1319,-6940,0,1372,-10409,3342,-1000,299,3641,-1496,13192
60,2017,7246,5757,-134,365,0,871,-1004,98,-700,691,1613,0,1487,16192,-1823,0,-18368,0,-23968,36464,-176,0,80,-7791,0,-5000,0,18448,-15842,2606,-7317,0,483,-9228,3708,-215,-1042,2666,-1999,14193
60,2018,21355,6269,259,-357,0,46,1386,1334,-2410,840,634,0,-11220,16802,-1956,0,-1000,0,-18133,15939,-261,0,671,-4740,0,-5000,0,13738,-14679,-941,-7659,0,250,-13350,2666,53,-1235,1431,-2217,14585
60,2019,3861,6150,-458,-432,0,404,152,-334,-2204,923,3398,6952,-2919,15827,-1984,0,0,0,-13474,19908,-152,-60,287,4525,0,-12198,0,8685,-9620,-935,-7978,0,670,-20441,1430,-116,-205,1225,-2136,13691
60,2020,10738,5755,-1124,-1071,0,-341,-1366,-3902,561,687,2889,5572,-9712,12588,-2046,0,-10861,0,-7036,16340,-418,-120,196,-3945,0,-8865,0,23948,-15184,8764,-8043,0,-341,-8485,1224,-32,126,1350,-2046,10542
60,2021,7021,4777,-1249,-736,0,353,1357,-275,-1468,756,2049,3817,-2274,14403,-2226,0,0,0,-14402,12730,-539,-109,275,-4271,0,0,0,17574,-30329,-12755,-8440,0,11546,-9649,1350,-8,475,1825,-2226,12177
60,2022,22459,5191,-3811,-1125,0,1242,16498,12804,-4293,1182,276,-343,-4696,32580,-2711,0,0,0,-47613,28096,0,-12,-306,-22546,0,0,0,997,-2100,-1103,-8729,0,16,-9816,1824,-59,159,1983,-2711,29869
60,2023,31401,5064,261,592,0,1191,-6500,-4456,-3764,872,550,0,-400,29267,-3236,0,-22997,0,-38780,45462,0,0,3768,-15783,0,-2000,0,3891,-7407,-3516,-8983,0,-335,-14834,1983,-165,-1515,468,-3236,26031
