enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
63,1994,15.2,18.8,-28.8,-1.6,0,29.6,0.1,-0.7,-4,0,0,0,-2.8,26.5,-68.7,2.2,0,0,0,0,0,0,-18.5,-85,6.5,0,0,0,-3,-3,0,0,2.7,6.2,97.4,0,-52.3,45.1,-68.7,-42.2
63,1995,30.2,30.9,-19.8,-28.4,0,36.8,3.1,-8.3,-3,0,0,0,-12.1,37.7,-99.5,0,0,0,-84.3,98.4,0,0,-17,-102.4,499.2,0,0,7.1,0,7.1,0,0,13.9,520.2,-455.5,0,455.5,0,-99.5,-61.8
63,1996,21,56.8,-134.7,-127.5,0,134,-5.7,-133.9,0,0,0,0,-13,-69.1,-216.6,0,0,0,-587.9,422.1,0,0,-25.7,-408.1,23.6,0,0,80.7,0,80.7,0,0,-17.6,86.7,500.6,0,-390.5,110.1,-216.6,-285.7
63,1997,91.934,93.598,-339.45,-53.645,0,179.357,22.743,-190.995,-21.531,0,0,0,-1.629,-28.623,-163.115,0,0,0,-978.745,662.862,0,0,-57.887,-536.885,32.519,0,0,27.125,0,27.125,0,0,644.558,704.202,110.143,0,138.694,248.837,-163.115,-191.738
63,1998,108.5,141.9,-399.3,-161.4,0,245.2,-78.9,-394.4,18.2,0,0,0,101.1,-24.7,-321.6,0,0,0,-269.8,702.4,0,0,-245,-134,49.8,0,0,41,0,41,0,0,-5.1,85.7,248.8,0,-73,175.8,-321.6,-346.3
63,1999,200.9,158.4,-580.3,40.1,0,173.8,-5.9,-372.3,-96.6,0,0,0,291.8,182.2,-180.2,98.097,0,0,-858.1,158,0,0,-173.197,-955.4,1311.9,0,0,0,-39,-39,0,0,-2.6,1270.3,175.9,-13,484.1,660,-180.2,2
63,2000,670.211,243.842,-138.791,-68.776,0,-164.756,-111.471,-483.794,481.621,0,0,0,-99.768,812.112,-163.182,246.99,0,0,-2385.822,1789.681,0,0,-273.649,-785.982,143.768,0,0,0,-112,-112,0,0,-4.148,27.62,660.016,3.105,56.855,716.871,-163.182,648.93
63,2001,-548.743,319.811,-284.599,-40.735,0,-13.838,-21.063,-360.235,29.948,0,0,0,1250.71,691.491,-114.191,0,0,0,-1484.568,1977.894,0,0,-528.557,-149.422,132.69,0,0,0,0,0,0,0,0.895,133.585,716.871,-3.923,671.731,1388.602,-114.191,577.3
63,2002,525,349,-1,18,0,47,-21,43,12.394,0,0,-300,333.606,963,-127,0,0,0,-1947,1323,0,0,-322,-1073,119,-6,0,0,-3.291,-3.291,0,0,3.291,113,1389,15,18,1407,-127,836
63,2003,1029,146,53,-23,0,-24,19,25,332.964,0,0,-89,291.036,1735,-202,0,0,0,-4867,3444,0,0,633,-992,198,-166,0,0,-12.05,-12.05,-135,0,12.05,-103,1407,-2,638,2045,-202,1533
63,2004,1725,163,-93,-50,0,151,142,150,0,0,0,-13,443,2468,-332,0,0,0,-8593,5465,0,0,134,-3326,335,0,0,0,0,0,-308,0,0,27,2045,0,-831,1214,-332,2136
63,2005,2143,200,35,-23,0,57,-54,15,0,0,0,0,328,2686,-576,0,0,0,-8055,8082,0,0,-227,-776,423,-953,0,0,0,0,-524,0,0,-1054,1214,0,856,2070,-576,2110
63,2006,2470,272,-133,-71,0,51,140,-13,0,0,0,0,524,3253,-685,0,0,0,-12924,10983,0,0,3,-2623,703,-1500,0,0,0,0,-698,0,403,-1092,2069,0,-462,1607,-685,2568
63,2007,3303,383,-16,-234,0,209,65,24,0,0,0,0,101,3811,-818,0,0,0,-8492,7998,0,0,-586,-1898,573,-1482,0,0,0,0,-862,0,660,-1111,1607,2,804,2411,-818,2993
63,2008,3160,456,-802,-47,0,247,-106,-708,306,541,535,0,-732,3558,-1397,0,0,0,-8384,6689,0,0,273,-2819,1184,-1670,0,0,0,0,-982,0,161,-1307,2411,-3,-571,1840,-1397,2161
63,2009,1592,635,3083,69,0,1041,-200,3993,-33,584,763,0,-362,7172,-761,0,0,0,-10497,5623,0,0,178,-5457,642,-285,0,0,0,0,-1093,0,-97,-833,1840,-5,877,2717,-761,6411
63,2010,3247,666,-18,-80,0,-81,133,-46,116,612,125,0,-644,4076,-1490,0,-94,0,-9823,10440,-1064,0,1192,-839,689,-3016,0,2128,-1064,1064,-1177,0,35,-2405,2717,-2,830,3547,-1490,2586
