enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
64,1994,487,815,45,335,0,-25,-355,0,0,0,0,0,206,1508,-846,47,0,0,-20,0,0,0,-207,-1026,110,0,0,0,-206,-206,-267,0,-16,-379,354,-36,67,421,-846,662
64,1995,585,840,-756,290,0,239,-77,-304,0,0,0,0,236,1357,-759,298,0,0,0,0,0,0,172,-289,0,-270,0,0,-488,-488,-340,0,0,-1098,421,-5,-35,386,-759,598
64,1996,750,844,149,2,0,283,-240,194,0,0,0,0,256,2044,-984,103,0,0,0,0,0,0,227,-654,101,-221,0,0,-391,-391,-363,0,0,-874,386,-2,514,900,-984,1060
64,1997,906,841,-46,-341,0,584,-21,176,-11,0,0,0,167,2079,-1087,177,0,0,0,0,0,0,131,-779,96,-459,0,0,-341,-341,-326,0,0,-1030,739,-11,259,998,-1087,992
64,1998,1072,707,-182,113,0,331,399,661,-525,0,0,2,-12,1905,-1205,36,0,0,0,0,0,0,164,-1005,143,-849,0,0,-105,-105,-386,0,0,-1197,998,-46,-343,655,-1205,700
64,1999,1255,730,44,-113,0,135,213,279,-264,0,0,-9,314,2305,-673,0,0,0,0,0,0,0,-1398,-2071,220,-650,0,549,0,549,-454,0,0,-335,655,-4,-105,550,-673,1632
64,2000,1531,819,-256,331,0,595,-66,604,4,0,0,2159,-648,4469,-762,43,0,0,0,0,0,0,-3692,-4411,354,-822,0,1355,0,1355,-512,0,0,375,550,-26,407,957,-762,3707
64,2001,1808,859,-69,-184,0,-184,19,-418,108,0,0,0,146,2503,-937,0,-1168,0,0,0,0,0,4,-2101,438,-800,0,795,-435,360,-387,0,-193,-582,957,-29,-209,748,-937,1566
64,2002,1938,905,289,-147,0,-406,46,-218,297,0,0,0,54,2976,-793,0,-439,17,0,0,0,0,-62,-1277,224,-599,0,904,-819,85,-423,0,-147,-860,748,-29,810,1558,-793,2183
64,2003,2389,727,80,243,0,-217,10,116,318,0,0,0,-697,2853,-586,0,-402,26,0,0,0,0,-126,-1088,183,-700,0,500,-588,-88,-462,0,-184,-1251,1558,8,522,2080,-586,2267
64,2004,2529,799,-26,41,0,55,-14,56,254,0,0,0,-763,2875,-530,0,-1097,15,0,0,0,0,-149,-1761,331,-401,0,286,-1092,-806,-533,0,-287,-1696,2080,125,-457,1623,-530,2345
64,2005,2673,978,-368,-106,0,372,15,-87,196,169,0,0,-333,3596,-795,0,-1075,27,0,0,0,0,81,-1762,343,-992,0,577,-535,42,-660,0,-32,-1299,1623,107,642,2265,-795,2801
64,2006,3164,984,-830,-430,0,862,-39,-437,262,153,0,0,208,4334,-929,0,-4063,308,0,0,0,0,35,-4649,282,-1181,0,2610,-504,2106,-832,0,-40,335,2265,-38,-18,2247,-929,3405
64,2007,3998,1033,-35,-789,0,990,25,191,-214,180,0,0,-385,4803,-954,0,-911,451,0,0,0,0,153,-1261,346,-2068,0,1109,-1642,-533,-951,0,-136,-3342,2247,99,299,2546,-954,3849
64,2008,4548,1173,-462,-1111,0,1561,44,32,58,198,0,0,-679,5330,-1153,0,-2037,298,-2037,0,0,0,1747,-3182,415,-2001,0,1223,-330,893,-1080,0,-182,-1955,2546,165,358,2904,-1153,4177
64,2009,5053,1321,-546,-562,0,843,35,-230,45,211,0,0,-239,6161,-1216,0,-1252,337,-1252,0,0,0,1047,-2336,163,-3160,0,2339,-48,2291,-1210,0,-322,-2238,2904,-164,1423,4327,-1216,4945
64,2010,4179,1258,955,695,0,-582,-3,1065,451,153,0,0,-1753,5353,-826,0,-703,158,0,0,0,0,267,-1104,342,-1100,0,37,-1774,-1737,-1356,0,-340,-4191,4327,64,122,4449,-826,4527
64,2011,4523,1300,-313,-259,0,1168,-20,576,425,148,0,186,-1252,5906,-838,0,-2742,205,-219,162,0,-37,282,-3187,386,-2200,0,2362,-1892,470,-1482,0,-327,-3153,4449,68,-366,4083,-838,5068
64,2012,5216,1263,-697,-330,0,760,-24,-291,334,221,0,130,-283,6590,-929,0,-357,494,-42,92,0,-35,70,-707,226,-2175,0,621,-616,5,-1602,0,-459,-4005,4083,-1,1877,5960,-929,5661
64,2013,5200,1524,-165,-539,0,811,-4,103,120,210,0,41,-552,6646,-2932,0,-16026,425,-100,75,-1543,2974,1306,-15821,0,0,0,10899,-1056,9843,-1752,0,-70,8021,5960,30,-1124,4836,-2932,3714
64,2014,5655,1735,-476,-465,0,1023,72,154,268,250,0,-437,-748,6877,-2291,0,-151,1560,-565,108,-722,210,738,-1113,0,-1200,0,89,-2977,-2888,-1908,0,56,-5940,4836,-41,-217,4619,-2291,4586
64,2015,6468,1820,111,-636,0,-89,-115,-729,403,219,0,342,-1202,7321,-2187,0,-402,344,-202,424,-593,-113,649,-2080,0,-1500,0,98,-650,-552,-2048,0,-161,-4261,4405,-156,824,5229,-2187,5134
64,2016,4356,1863,-438,-766,0,490,-55,-769,662,158,0,-372,485,6383,-2089,0,-538,200,-364,277,-437,9000,157,6206,1100,-10000,0,2539,-1764,775,-2184,0,-476,-10785,5445,-174,1630,7075,-2089,4294
64,2017,5436,1962,-941,-719,0,450,49,-1161,398,152,0,-2532,-375,3880,-2087,0,-710,211,-438,466,-388,6,437,-2503,0,-2254,0,6469,-2783,3686,-2069,0,-551,-1188,7088,-120,69,7157,-2087,1793
64,2018,4920,2140,-448,-1074,0,1571,1478,1527,62,192,0,0,-3210,5631,-2394,0,-231,666,-1514,222,-380,0,612,-3019,0,-1453,0,4954,-1875,3079,-2074,0,-545,-993,7156,210,1829,8985,-2394,3237
64,2019,1406,1896,-1798,-417,0,2738,-320,203,763,169,0,3652,-1767,6322,-1867,0,-15039,74,-988,744,-400,286,217,-16973,0,-325,0,13337,-2890,10447,-2170,0,13,7965,9018,-120,-2806,6212,-1867,4455
