enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
66,1997,599.299,173.803,0,0,0,0,0,0,0,0,0,0,-262.546,510.556,0,0,0,0,0,0,0,0,0,-218.571,12.011,0,0,0,-0.397,-0.397,-141.093,0,237.752,108.273,283.081,0,400.258,683.339,0,510.556
66,1998,493.901,104.25,-60.826,0,0,0,-92.474,-153.3,0,0,0,0,0.985,445.836,-306.748,44.471,0,0,0,0,0,0,-42.033,-304.31,2.122,0,0,0,-1.975,-1.975,-128.201,0,86.426,-41.628,345.396,0,99.898,445.294,-306.748,139.088
66,1999,566.249,146.402,-297.215,-15.847,0,0,290.012,-23.05,-0.541,0,0,0,-27.1,661.96,-410.124,36.916,0,0,0,0,0,0,107.416,-265.792,13.866,-0.72,0,25.841,0,25.841,-158.737,0,-0.001,-119.751,427.861,-49.071,227.346,655.207,-410.124,251.836
66,2000,607.93,174.842,-493.378,-0.371,0,0,336.994,-156.755,15.073,0,0,0,6.029,647.119,-358.729,50.243,0,0,0,0,0,0,-151.732,-460.218,0.495,0,0,8.038,0,8.038,-167.809,0,-3.509,-162.785,628.027,64.31,88.426,716.453,-358.729,288.39
66,2001,574.47,200.552,-155.226,-2.392,-56.652,0,593.582,379.312,-118.55,0,0,0,-425.071,610.713,-256.347,392.959,0,0,0,0,0,0,-482.639,-346.027,113.049,0,0,72.899,0,72.899,-148.886,0,-0.341,36.721,637.162,-1.939,299.468,936.63,-256.347,354.366
66,2002,517.88,249.424,-17.029,0,0,0,-18.031,-35.06,-129.219,0,0,0,278.473,881.498,-336.572,58.099,0,0,0,0,0,0,-649.104,-927.577,0,-84.143,0,299.509,0,299.509,-161.275,0,-166.282,-112.191,929.581,-4.007,-162.277,767.304,-336.572,544.926
66,2003,518.934,225.702,146.01,0,0,0,136.337,282.347,105.866,0,0,0,588.075,1720.924,-315.011,38.567,0,0,0,0,0,0,48.459,-227.985,0,-284.932,0,0,-429.005,-429.005,-186.018,0,-54.918,-954.873,770.272,-163.87,374.196,1144.468,-315.011,1405.913
66,2004,1322.488,264.626,68.054,0,0,0,34.636,102.69,131.573,0,0,0,26.457,1847.834,-338.077,43.314,0,0,-785.071,0,0,0,-39.1,-1118.934,0,-108.241,0,12.183,0,12.183,-228.808,0,-50.148,-375.014,1377.308,-85.374,268.512,1645.82,-338.077,1509.757
66,2005,1755.433,280.85,-220.745,0,0,0,604.773,384.028,24.08,0,0,0,2.789,2447.18,-283.79,156.366,0,0,-777.787,0,0,0,-282.434,-1187.645,0,-144.043,0,30.26,0,30.26,-333.154,0,-51.584,-498.521,1318.589,-52.769,708.245,2026.834,-283.79,2163.39
66,2006,1773.752,241.375,-349.542,0,0,0,207.321,-142.221,-19.03,0,0,2.004,50.077,1905.957,-299.465,20.031,0,0,-5336.28,5216.093,0,-11.017,-280.434,-691.072,294.457,-537.834,0,0,-1.001,-1.001,-402.625,0,-11.018,-658.021,1785.771,104.161,661.025,2446.796,-299.465,1606.492
66,2007,2471.251,282.258,-304.277,0,0,0,41.038,-263.239,-3.003,0,0,3.003,-50.048,2440.222,-482.44,38.034,0,0,-2736.491,3672.345,0,-3.003,-665.606,-177.161,282.258,-1517.382,0,0.054,0,0.054,-590.538,0,8.954,-1816.654,2726.483,-4.004,442.403,3168.886,-482.44,1957.782
66,2008,2798.39,380.373,-759.748,0,0,0,327.46,-432.288,11.98,0,0,3.993,63.896,2826.344,-585.036,38.936,0,0,-1149.106,1516.502,0,-0.999,-1850.952,-2030.655,291.52,-1465.585,0,0,-0.999,-0.999,-810.664,0,109.818,-1875.91,3496.241,-71.882,-1152.103,2344.138,-585.036,2241.308
66,2009,2497.297,728.378,-64.865,0,0,-374.324,66.216,-372.973,-122.973,0,20.27,45.624,120.593,2916.216,-458.108,59.459,-5706.757,0,-535.135,804.054,0,0,747.298,-5089.189,141.892,-658.108,0,5214.865,-2122.973,3091.892,-802.703,0,-41.892,1731.081,2172.973,-1.351,-443.243,1729.73,-458.108,2458.108
66,2010,2551.02,727.405,864.431,0,0,-180.758,368.805,1052.478,-56.851,0,14.577,0,106.415,4395.044,-327.988,65.598,-106.414,0,-1564.14,1497.085,0,0,-0.001,-435.86,43.732,0,0,1016.035,-3357.143,-2341.108,-865.889,0,5.831,-3157.434,1865.889,78.717,880.467,2746.356,-327.988,4067.056
