enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
69,1994,11.4,139.6,79.4,11.3,0,7.8,-10,88.5,-39.1,0,0,0,265.2,465.6,-49.8,0.5,0,0,0,0,0,0,-398.4,-447.7,19,0,0,111.5,0,111.5,-111.8,0,-0.5,18.2,-34.8,-1.3,34.8,0,-49.8,415.8
69,1995,203.1,230,-120.3,-7,0,-3.3,1,-129.6,39,0,0,0,71.4,413.9,-77.1,12.3,0,0,0,0,0,0,-116.2,-181,14,0,0,0,-166.1,-166.1,-114.3,0,-1.5,-267.9,39.9,-4.9,-39.9,0,-77.1,336.8
69,1996,227.1,231.4,-147.2,-30.8,0,51.7,34.3,-92,18.9,0,0,0,47.8,433.2,-58.8,35.5,0,0,0,0,0,0,-169.7,-193,20.6,0,0,0,-134.2,-134.2,-119.7,0,-2.6,-235.9,-2.1,-2.2,2.1,0,-58.8,374.4
69,1997,495.7,238.6,-118.2,4,0,207.3,-44.6,48.5,0,0,0,0,-322.6,460.2,-63.3,9.4,0,0,0,0,0,0,-186.3,-240.2,19.9,-63.3,0,0,-46.7,-46.7,-131.4,0,-4.9,-226.4,6.7,-0.3,-6.7,0,-63.3,396.9
69,1998,290.7,293.5,-185.8,-20.7,0,91.4,-189.1,-304.2,0,0,0,0,93.1,373.1,-122.5,54.5,0,0,0,0,0,0,-156.8,-224.8,20.4,-79.9,0,62.3,0,62.3,-142.7,0,-5.6,-145.5,3.5,-1.5,1.3,4.8,-122.5,250.6
69,1999,339.3,299.2,-80.4,6.4,0,66.5,35.9,28.4,0,0,0,0,88.2,755.1,-203.6,66.5,0,0,0,0,0,0,-195,-332.1,22.3,-105.6,0,0,-156.7,-156.7,-154.4,0,-21.2,-415.6,4.8,-1.7,5.7,10.5,-203.6,551.5
69,2000,425.6,308.4,-156.4,-10.5,0,54.9,63.9,-48.1,-8.3,0,0,0,30.5,708.1,-221.4,67.2,0,0,0,0,0,0,-246.3,-400.5,22.8,-173.8,0,11.9,0,11.9,-169,0,-1.7,-309.8,10.4,-1.7,-3.9,6.5,-221.4,486.7
69,2001,403.794,362.325,-117.031,0,-19.707,-19.717,-13.541,-169.996,34.68,0,0,0,89.951,720.754,-97.721,142.418,0,0,0,0,0,0,-968.918,-924.221,45.317,-167.611,0,511.233,0,511.233,-182.462,0,-3.239,203.238,6.489,-3.089,-3.318,3.171,-97.721,623.033
69,2002,377.031,420.598,23.308,0,27.023,42.202,3.118,95.651,7.357,0,0,0,198.944,1099.581,-116.895,17.876,0,0,0,0,0,0,-656.612,-755.631,63.917,-176.468,0,11.396,0,11.396,-189.834,0,-0.376,-291.365,3.171,-2.221,50.364,53.535,-116.895,982.686
69,2003,576.76,408.771,61.623,0,7.185,4.373,-18.753,54.428,64.492,0,0,0,37.94,1142.391,-70.019,24.304,0,0,0,0,0,0,-320.805,-366.52,77.465,-183.111,0,0,-478.501,-478.501,-197.016,0,-0.575,-781.738,53.535,10.518,4.651,58.186,-70.019,1072.372
69,2004,687.65,403.179,77.055,0,18.927,32.692,234.272,362.946,-50.017,0,0,0,-21.413,1382.345,-114.984,502.665,0,0,0,0,0,0,-249.872,137.809,79.162,-216.356,0,0,-552.719,-552.719,-206.543,0,-0.408,-896.864,58.186,14.115,637.405,695.591,-114.984,1267.361
69,2005,755.823,392.713,-126.98,0,-80.828,-54.136,159.746,-102.198,0,0,0,0,17.134,1063.472,-139.003,46.904,0,0,0,0,0,0,-554.615,-646.714,218.791,-409.35,0,0,-22.718,-22.718,-228.166,0,-0.302,-441.745,695.591,10.019,-14.968,680.623,-139.003,924.469
69,2006,844.306,385.261,-134.975,-9.484,57.913,93.879,298.314,305.647,0,0,0,0,24.676,1559.89,-120.232,131.335,0,0,0,0,0,0,-736.093,-724.99,192.764,-677.659,0,0,-12.677,-12.677,-246.048,0,-0.169,-743.789,680.623,-22.947,68.164,748.787,-120.232,1439.658
69,2007,882.231,389.992,-131.686,21.619,10.588,44.334,220.185,165.04,-86.613,0,0,0,158.654,1509.304,-426.381,12.381,0,0,0,0,0,0,-13.48,-427.48,262.856,-1540.126,0,0,-0.605,-0.605,-260.323,0,58.254,-1479.944,748.787,2.831,-395.289,353.498,-426.381,1082.923
69,2008,1013.559,401.171,71.448,-11.601,24.356,34.84,98.903,217.946,-46.615,0,0,0,130.89,1716.951,-246.263,62.261,0,0,-298.984,0,0,0,-86.707,-569.693,146.867,-2212.655,0,1186.458,0,1186.458,-277.746,0,35.849,-1121.227,353.498,16.567,42.598,396.096,-246.263,1470.688
69,2009,799.491,448.788,95.07,-26.482,1.702,-242.327,63.519,-108.518,-0.017,-1.93,0,0,30.939,1168.753,-105.978,0.44,-48.261,0,0,0,-25.353,0,-254.106,-433.258,0,-447.233,0,70,0,70,-280.455,0,45.401,-612.287,396.096,-47.633,75.575,471.671,-385.437,783.316
69,2010,749.761,460.528,50.313,67.645,-11.807,0.079,-61.012,45.218,5.688,22.27,0,0,46.476,1329.941,-92.29,15.196,0,0,-24.602,0,-23.764,0,-153.232,-278.692,0,0,0,0,-70,-70,-290.715,0,25.503,-335.212,471.671,22.219,738.256,1209.927,-269.286,1060.655
69,2011,599,108,-73,26.923,-55,100,-124.923,-126,33,51,0,0,39,704,-115.443,0,-327,25,0,0,0,0,31.443,-386,0,-256,0,0,0,0,-292,0,18,-530,1643,-15,-227,1416,-86,618
69,2012,626,126,14,13,39,-29,-15,22,17,77,0,0,56,924,-92,0,-194,21,-165,0,0,0,159,-271,0,-1500,0,0,0,0,-296,0,136,-1660,1852,-10,-1017,835,-92,832
69,2013,701,141,-250,0,122,73,-235,-290,53,90,0,0,35,730,-96,0,-177,0,0,0,0,0,27,-246,0,-295,0,457,-400,57,-984,0,317,-905,1176,5,-416,760,-96,634
69,2014,874,137,-35,0,-267,-94,-90,-486,43,96,0,0,118,782,-117,0,-47,51,0,0,0,0,-17,-130,0,-978,0,0,-457,-457,-308,0,0,-1743,2634,-1,-1092,1542,-117,665
69,2015,-191,134,-9,0,-100,-165,7,-267,-245,100,0,0,1678,1209,-92,0,-71,83,0,0,0,0,15,-65,0,-362,0,0,0,0,-326,0,226,-462,1880,-65,617,2497,-92,1117
69,2016,1268,157,-118,0,134,-1633,17,-1600,280,78,0,0,173,356,-139,0,-2396,14,0,0,0,0,-4,-2525,0,-974,0,2817,0,2817,-363,0,-131,1349,2368,-67,-887,1481,-139,217
69,2017,2228,181,-177,0,179,-131,133,4,79,76,0,0,-1008,1560,-115,0,-177,1498,0,0,0,0,-35,1171,0,-1123,0,493,-564,-71,-380,0,-88,-1662,1481,-158,911,2392,-115,1445
69,2018,1638,180,-196,0,42,71,15,-68,0,99,0,0,167,2016,-123,0,-83,2,0,0,0,0,-5,-209,0,-1001,0,0,0,0,-421,0,-85,-1507,2392,87,387,2779,-123,1893
69,2019,2121,206,-164,0,-8,-214,-126,-512,81,94,0,0,74,2064,-113,0,-401,6,0,0,0,0,-5,-513,0,-1660,0,489,-403,86,-503,0,-211,-2288,2779,-84,-821,1958,-113,1951
69,2020,2303,204,-135,0,-122,73,182,-2,46,78,11,0,136,2776,-115,0,-91,85,0,0,0,0,-10,-131,0,-1240,0,1086,-868,218,-560,0,-169,-1751,1958,34,928,2886,-115,2661
69,2021,2534,206,18,0,-87,132,184,247,-31,90,120,0,401,3567,-76,0,-201,18,0,0,0,0,19,-240,0,-1164,0,1276,-1394,-118,-645,0,-239,-2166,2886,75,1236,4122,-76,3491
69,2022,3263,178,-144,0,-122,38,158,-70,13,122,31,0,61,3598,-35,0,-99,16,0,0,0,0,-2,-120,0,0,0,0,0,0,-743,0,-270,-1013,4122,-82,2383,6505,-35,3563
69,2023,3522,1013,36,0,-258,43,105,-74,-353,214,132,0,-1851,2603,-89,0,0,3719,0,0,0,0,-2,3628,0,-12004,0,5395,-3730,1665,-1024,0,37,-11326,6505,-123,-5218,1287,-89,2514
