enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
72,1994,76.6,42.4,-43.2,-6.5,0,10,15.2,-24.5,13.9,0,0,0,18.3,126.7,-56.6,0,0,0,-214.5,16.7,0,0,-144.9,-399.3,378.8,-57.2,0,90.5,0,90.5,0,0,-1,411.1,-135.1,-3.4,135.1,0,-56.6,70.1
72,1995,103.4,62.3,-7.6,10,0,1.2,21,24.6,9.4,0,0,0,4.5,204.2,-60.2,21.4,0,0,-748.9,495.4,0,0,-157.7,-450,60.6,-101.5,0,341.5,0,341.5,0,0,0.3,300.9,325.8,1.9,57,382.8,-60.2,144
72,1996,140.1,85,-49.4,-31.8,0,16.3,16.7,-48.2,4.6,0,0,0,13.1,194.6,-62.9,5.6,0,0,-570.1,617.1,0,0,-371.7,-382,173.3,-97.8,0,186.6,0,186.6,0,0,1.1,263.2,382.9,3.3,79.1,462,-62.9,131.7
72,1997,190.8,115.2,-17.1,-1.3,0,-14.3,-65.6,-98.3,20.9,0,0,0,-4.1,224.5,-124.5,10.5,0,0,-831,0,0,0,-366.3,-1311.3,304,-140.9,0,876.2,0,876.2,0,0,-1.3,1038,48.4,0.4,-48.4,0,-124.5,100
72,1998,239.4,86.1,-19.8,10.8,0,-9.1,-36.7,-54.8,29.6,0,0,-412.2,-94.1,-206,-549.1,15.6,0,0,-830.3,1397.1,0,0,58.5,91.8,129.7,-121.6,0,192.3,0,192.3,0,0,12.7,213.1,414.5,-7.8,91.1,505.6,-549.1,-755.1
72,1999,181.5,96.1,-1.1,10.5,0,-9.3,47.8,47.9,-13.5,0,0,-249.5,-34.2,28.3,-260.2,12.8,0,0,-1905.2,1640,0,0,-62.5,-575.1,384.7,-470.6,0,326.1,0,326.1,0,0,-23.3,216.9,593.6,4.7,-325.2,268.4,-260.2,-231.9
72,2000,-176.1,113.6,-27.3,15.2,0,14.2,-10.2,-8.1,-61.3,0,0,-189,348.8,27.9,-488,22.5,0,0,-551.4,1075.8,0,0,24.6,83.5,14.9,-190.4,0,0,-27.5,-27.5,0,0,-7.3,-210.3,396.8,-16.1,-115,281.8,-488,-460.1
72,2001,-23.725,97.486,-27.395,-77.356,0,17.742,43.272,-43.737,-39.7,0,0,142.152,67.445,199.921,-74.039,275.411,0,0,-473.576,516.354,0,0,-14.573,229.577,58.466,0,0,0,-209.584,-209.584,0,0,13.537,-137.581,357.215,-12.88,279.037,636.252,-74.039,125.882
72,2002,-0.781,98.521,-19.041,7.724,0,-19.082,37.375,6.976,-16.751,0,0,4.025,96.411,188.401,-84.799,58.405,0,0,-969.267,830.566,0,447.654,-106.403,176.156,69.873,-511.393,0,0,-59.75,-59.75,0,0,-195.043,-696.313,636.252,0.704,-331.052,305.2,-84.799,103.602
72,2003,309.73,56.376,4.535,21.47,0,-8,-82.675,-64.67,23.77,0,0,-9.462,-212.852,102.892,-51.212,34.575,0,0,-0.083,339.105,0,150.991,35.103,508.479,25.335,-334.152,0,0,-286.885,-286.885,0,0,2.736,-592.966,305.2,15.462,33.867,339.067,-51.212,51.68
