enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
73,2001,-20.609,0.003,0,0,0,0,0,0,0,0,0,0,11.143,-9.463,0,0,0,0,0,0,0,0,0,-15.093,0,0,0,0,0,0,0,0,0,31.015,-6.459,0,6.459,0,0,-9.463
73,2002,-44.213,0.208,0,0,0,0,0,0,0,0,0,0,11.604,-32.401,0,0,0,0,0,0,0,0,0,24.183,0,0,0,0,0,0,0,0,0,41.708,-33.49,0,33.49,0,0,-32.401
73,2003,130.305,0,0,0,0,0,0,0,0,0,0,0,-180.977,-50.672,0,0,0,0,0,0,0,0,0,-88.311,0,0,0,0,0,0,0,0,0,157.039,-18.056,0,18.056,0,0,-50.672
73,2004,15.75,42.428,-1.041,-7.745,-0.182,21.305,11.347,23.684,18.716,0,0,0,12.027,112.605,-117.731,0.006,0,0,-209.149,210.102,-2.062,0,-188.034,-306.868,65.58,0,0,146.324,-9.077,137.247,0,0,-0.876,201.951,60.724,0,7.688,68.412,-119.793,-7.188
73,2005,64.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2006,198.677,87.895,-7.056,-5.717,-2.613,41.204,4.899,30.717,125.055,0,0,0,-159.128,283.216,-782.229,230.146,0,0,-739.589,386.444,0,0,0,-905.228,55.872,0,0,687.648,0,687.648,0,0,-31.276,712.244,22.477,0,90.232,112.709,-782.229,-499.013
73,2007,53.806,135.028,-12.143,-53.32,-6.538,108.492,14.903,51.394,32.341,0,0,0,92.192,364.761,-1947.597,3.021,0,0,-1269.919,1274.83,0,0,0,-1939.665,2.744,0,0,1673.383,0,1673.383,0,0,-52.434,1623.693,112.709,0,48.789,161.498,-1947.597,-1582.836
73,2008,100.403,178.202,-3.797,-16.275,-6.887,63.884,13,49.925,118.524,0,0,0,142.252,589.306,-787.701,3.759,0,0,-3358.427,3625.942,0,0,-0.661,-517.088,872.206,0,0,407.5,0,407.5,0,0,-43.214,1236.492,161.498,0,1308.71,1470.208,-787.701,-198.395
73,2009,149.438,255.319,-2.865,-46.816,-15.102,-119.166,-25.165,-209.114,124.347,41.14,30.857,0,55.503,447.49,-938.967,0.856,-25.162,0,0,0.037,-331.039,0,0,-1294.275,12.582,0,0,79.353,-17.41,61.943,0,0,0,74.525,1470.208,0,-772.26,697.948,-1270.006,-822.516
73,2010,176.844,377.856,-17.056,8.554,-8.438,128.167,27.725,138.952,110.161,47.78,2.386,0,45.37,899.349,-864.789,5.33,0,0,-486.645,262.5,-18.237,0,-15.113,-1116.954,0,0,0,492.25,-39.913,452.337,0,0,-3.299,449.038,697.948,0,231.433,929.381,-883.975,15.374
73,2011,193.415,449.732,-6.523,-13.648,-3.368,30.946,35.712,43.119,115.478,46.54,0,0,146.216,994.5,-762.185,8.793,-50.844,0,-711.827,562.5,-8.873,0,12.018,-950.418,0,-1.914,0,1992.77,-2142.558,-149.788,0,0,-25.23,-176.932,929.381,0,-132.85,796.531,-771.058,223.442
73,2012,-4718,2982,-558,166,-5.244,103,19.244,-275,-233,0,7133,0,91,4980,-2729,2,-17,0,73,675,-23,0,-2680,-4699,0,-4.918,0,567.939,-567.939,0,0,0,4.918,0,109,0,281,390,-2752,2228
73,2013,-7336,3187,-820,-2,-9.292,-32,-136.708,-1000,308,0,8836,0,-133,3862,-2901,51,-22,0,-5,755.569,-387,0,-1406.569,-3915,0,-4.33,0,2469,0,2469,-2403,0,-4.67,57,390,0,4,394,-3288,574
73,2014,35,3627,-2174,42,0,611,455,-1066,10,100,463,0,376,3545,-4025,3,-33,2144,0,0,-381,0,200,-2092,1787,0,0,2494,-253,2241,-41,0,57,4044,394,0,5497,5891,-4406,-861
73,2015,247,4412,-2519,-499,0,2395,-220,-843,122,196,444,0,-432,4146,-4317,20,-40,0,0,0,-2900,0,-9,-7246,0,0,982,2993,-1437,1556,0,0,-14,2524,5891,0,-576,5315,-7217,-3071
73,2016,733,4688,830,-2495,0,693,-380,-1352,256,201,547,0,341,5414,-4724,0,0,0,-2997,0,-1935,0,96,-9560,0,0,0,3979,-621,3358,-55,0,110,3413,5315,0,-733,4582,-6659,-1245
73,2017,1460,6243,-4132,-802,0,-1201,25,-6110,914,235,477,0,-440,2779,-4702,0,0,0,0,2998,-3968,0,3348,-2324,0,0,0,997,-375,622,-55,0,-104,463,4582,0,918,5500,-8670,-5891
73,2018,4536,5984,-5743,-844,0,1079,-808,-6316,-1404,306,388,0,337,3831,-5237,0,0,0,0,0,-5828,0,4320,-6745,0,-427,0,13390,-13926,-536,-55,0,-349,-1367,5500,0,-4281,1219,-11065,-7234
73,2019,2888,6486,-6215,-201,0,-867,-250,-7533,980,424,297,0,357,3899,-5541,0,-338,0,0,0,-127,0,5427,-579,0,-1071,0,8759,-10614,-1855,0,0,-410,-3336,1219,0,-16,1203,-5668,-1769
73,2020,3468,6616,-4724,-617,0,17,-235,-5559,1091,495,307,0,406,6824,-6391,38,-31,0,0,0,-967,0,3226,-4125,0,0,0,2340,-4513,-2173,0,0,-201,-2374,1203,0,325,1528,-7358,-534
73,2021,3064,14151,-4726,-2222,0,-2123,-2814,-11885,822,694,1020,0,774,8640,-11034,0,-5000,1224,0,632,-1333,0,2796,-12715,19840,-19536,0,54080,-40847,13233,0,0,-527,13010,1528,0,8935,10463,-12367,-3727
73,2022,3024,16383,-6366,201,0,549,-1498,-7114,197,540,452,0,435,13917,-12326,40,-1916,0,0,0,-9366,0,4182,-19386,0,0,0,14727,-12395,2332,0,0,-623,1709,10463,0,-3760,6703,-21692,-7775
73,2023,2590,13651,-6342,744,0,558,1985,-3055,492,595,1503,0,1005,16781,-13970,9,-52,0,0,0,-3331,0,4985,-12359,0,-3000,0,3714,-6795,-3081,0,0,-370,-6451,6703,0,-2029,4674,-17301,-520
