enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
74,2008,-78.157,2.895,-0.059,-2.108,-1.884,8.095,15.166,19.21,0,0.2,0,0,2.383,-53.469,-9.802,0,0,0,0,0,0,0,0.04,-9.762,0,0,44.941,0,0,0,0,0,0.1,45.041,35.401,0,-18.19,17.211,-9.802,-63.271
74,2009,-82.782,4.157,-3.261,-18.839,0.75,11.448,26.134,16.232,0,0.44,4.297,0,5.244,-52.412,-10.63,0,0,0,0,0,0,0,-0.96,-11.59,0,0,0,55.782,-0.191,55.591,0,0,0.477,56.068,17.211,0,-7.934,9.277,-10.63,-63.042
74,2010,-55.74,6.94,-0.168,-7.925,-2.042,4.289,-31.697,-37.543,0,1.43,1.353,0,2.735,-80.825,-11.884,0,0,0,0,0,0,0,-2.36,-14.244,0,0,131.822,25.468,-0.322,25.146,0,0,-1.549,155.419,9.277,0,60.35,69.627,-11.884,-92.709
74,2011,-154.328,10.623,-3.222,-28.513,-4.977,13.133,12.404,-11.175,0,21.16,0.951,0,4.952,-127.817,-105.413,0,0,0,0,0,0,0,-74.884,-180.297,268.842,0,0,71.828,-0.315,71.513,0,0,-2.31,338.045,69.627,0,29.931,99.558,-105.413,-233.23
74,2012,-254.411,16.919,-2.829,-13.638,-0.248,30.511,61.432,75.228,0,29.42,1.828,0,2.982,-128.034,-184.226,0,0,0,-64.952,40,0,0,46.92,-162.258,231.468,0,0,204.423,-0.416,204.007,0,0,10.525,446,99.558,0,155.708,255.266,-184.226,-312.26
74,2013,-396.213,28.825,-17.303,-194.726,1.121,199.547,56.303,44.942,0,50.15,4.929,0,3.552,-263.815,-239.228,0,0,0,-14.992,40,0,0,7.29,-206.93,221.496,0,0,188.796,-15.542,173.254,0,0,24.885,419.635,255.266,-2.266,-53.376,201.89,-239.228,-503.043
74,2014,-74.014,106.083,-21.705,-460.561,-17.533,87.413,561.344,148.958,0,80.74,14.476,0,-11.439,264.804,-264.224,0,0,0,0,0,0,0,14.807,-249.417,415,0,0,660,-460.762,199.238,0,0,21.184,635.422,201.89,-6.81,643.999,845.889,-264.224,0.58
74,2015,-294.04,231.931,-183.658,-1050.264,-60.637,414.856,622.878,-256.825,0,156.5,15.609,0,89.488,-57.337,-969.885,0,0,0,-205.841,189.131,0,0,-3.849,-990.444,0,0,0,2303.271,-11.179,2292.092,0,0,-148.962,2143.13,845.889,-35.525,1059.824,1905.713,-969.885,-1027.222
74,2016,-888.663,422.59,46.267,-369.364,-29.595,263.345,-403.942,-493.289,0,198,44.94,0,191.923,-524.499,-1634.85,0,-12.26,0,0,0,0,0,-26.441,-1673.551,750,0,0,887.717,-203.78,683.937,0,0,89.586,1523.523,1905.713,-34.278,-708.805,1196.908,-1634.85,-2159.349
74,2017,-773.046,947.099,-216.565,-632.867,56.806,750.64,-651.875,-693.861,0,334.23,65.52,0,-3.771,-123.829,-1440.471,0,0,0,0,16.667,0,0,342.719,-1081.085,1701.734,0,0,3622.673,-1904.483,1718.19,0,0,324.052,3743.976,1234.391,-6.553,2532.509,3766.9,-1440.471,-1564.3
74,2018,-2241,1636,-25,-179,-72,388,-609,-497,0,467,132,0,442,-61,-4081,0,-115,0,0,0,0,0,0,-4196,400,0,0,7649,-4264,3385,0,0,630,4415,3767,40,198,3965,-4081,-4142
74,2019,-1063,1901,-497,-1023,-82,1797,-137,58,0,749,85,0,368,2098,-2319,0,-18,0,0,0,0,0,0,-2337,0,0,0,6176,-6087,89,0,0,485,574,3965,-23,312,4277,-2319,-221
74,2020,-775,2154,-367,-429,-288,646,89,-349,0,898,193,0,284,2405,-1432,0,-45,0,0,0,-5,0,46,-1436,848,0,0,10669,-9871,798,0,0,-117,1529,4277,8,2506,6783,-1437,968
74,2021,862,2322,-652,-422,-251,2102,-593,184,0,1734,202,0,639,5943,-3232,0,-13,0,0,0,-10,0,123,-3132,12269,0,0,9713,-12201,-2488,0,0,192,9973,6783,334,13118,19901,-3242,2701
74,2022,5644,2911,-130,-1709,-271,4578,-1950,518,0,2121,140,0,163,11497,-6514,0,0,0,-132,0,-1228,0,6,-7868,0,0,0,8883,-14615,-5732,0,0,529,-5203,19901,-183,-1757,18144,-8014,3483
74,2023,12587,3747,-1124,-6465,-1417,6029,-931,-3908,0,1560,177,0,561,14724,-7163,0,0,0,-5835,22,927,0,76,-11973,0,0,0,0,-3866,-3866,0,0,339,-3527,18144,-444,-1220,16924,-7172,7552
