enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
76,1994,504.2,986.7,0,0,0,0,0,430.4,0,0,0,0,263.7,2185,-1774.5,275.1,0,0,-650.2,0,0,0,-182.2,-2331.8,695.3,0,0,1021.8,0,1021.8,-124.3,0,-1.9,1590.9,-1480.1,36,1480.1,0,-1774.5,410.5
76,1995,634,1243.5,0,0,0,0,0,-157.3,0,0,0,0,347.6,2067.8,-1849.4,395.4,0,0,-118.6,43.1,0,0,-245.7,-1775.2,95.9,-176.8,0,88.8,0,88.8,-236.7,0,-7.6,-236.4,13.7,-69.9,-13.7,0,-1849.4,218.4
76,1996,458.4,1681,0,0,0,0,0,128.9,0,0,0,0,193.6,2461.9,-2540.4,150.9,0,0,-11.6,0,0,0,308.3,-2092.8,20,0,0,889,0,889,-197.2,0,-12.8,699,-952.3,-115.8,952.3,0,-2540.4,-78.5
76,1997,1089.1,1536.4,0,0,0,0,0,-200.4,0,0,0,0,555,2980.1,-3158.9,291.5,0,0,-56.3,0,0,0,329.8,-2593.9,40.7,0,0,396.2,0,396.2,-164.2,0,-10,262.7,5509.8,14.1,663,6172.8,-3158.9,-178.8
76,1998,1263.4,1506.1,0,0,0,0,0,-284.7,0,0,0,0,153,2637.8,-2753.9,182.9,0,0,-126.5,0,0,0,-596.4,-3293.9,85.4,0,0,0,-2055.1,-2055.1,-455.3,0,-9.9,-2434.9,3211.7,-120.7,-3211.7,0,-2753.9,-116.1
76,1999,1038.4,1627.4,475.8,383.8,0,-432.6,-158.8,268.2,0,0,0,0,27.2,2961.2,-3348.2,324.3,0,0,-417.2,0,0,0,-42.3,-3483.4,20.2,0,0,524,0,524,-587.4,0,-10.9,-54.1,2259.6,99.5,-476.8,1782.8,-3348.2,-387
76,2000,1534,2499,-2428,-1597,0,1439,608,-1978,0,0,0,0,1371,3426,-3760,387,0,0,0,251,0,0,-352,-3474,309,0,0,1528,0,1528,-997,0,-15,825,1669,-284,493,2162,-3760,-334
76,2001,6788,5237,-653,-1309,-1074,-20,2991,-65,0,0,0,0,650,12610,-6207,901,0,0,-39,1516,0,0,-1011,-4840,229,-1936,0,0,-3597,-3597,-1724,0,-27,-7055,3711,-94,621,4332,-6207,6403
76,2002,6974,4804,0,0,0,0,0,-1948,0,0,0,0,1136,10966,-6700,1007,0,0,-381,4130,0,0,-1612,-3556,32,-7161,0,0,-1350,-1350,0,0,-17,-8496,4100,172,-914,3186,-6700,4266
76,2003,6253,6555,-545,-188,1728,1207,-2269,-67,0,0,0,0,-1181,11560,-7291,310,0,0,-530,1414,0,0,-1097,-7194,518,-3093,0,2508,0,2508,-2745,0,-11,-2823,3754,-81,1462,5216,-7291,4269
