enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
77,1994,476,617,-258,-88,-3,37,142,-170,-59,0,0,0,70,934,-730,0,0,0,0,19,0,0,0,-711,100,-150,0,0,-38,-38,-86,0,6,-168,356,-7,48,404,-730,204
77,1995,592,580,-227,-74,-11,331,36,55,-32,0,0,252,85,1532,-1020,0,0,0,-779,732,0,-56,0,-1123,110,0,0,0,-88,-88,-79,0,-2,-59,404,6,356,760,-1020,512
77,1996,996,681,-795,-221,9,691,315,-1,-54,0,0,-26,71,1667,-1351,0,0,0,-733,1076,0,-88,0,-1096,111,0,0,24,0,24,-111,0,-1,23,760,10,604,1364,-1351,316
77,1997,-46,904,250,245,9,-404,-207,-107,-51,0,0,86,98,884,-2063,150,0,0,-27,202,0,-80,-313,-2131,35,0,0,958,0,958,-129,0,-1,863,1364,-16,-400,964,-2063,-1179
77,1998,339,1157,-49,-36,-20,-29,119,-15,7,0,0,73,383,1944,-1285,2315,0,0,-2516,560,0,-16,-304,-1246,151,-86,0,0,-542,-542,-131,0,-2,-610,1019,-24,64,1083,-1285,659
77,1999,452,1248,291,60,-15,-440,34,-70,-45,0,0,0,-199,1386,-1067,100,0,0,-2323,2601,0,0,-832,-1521,154,-256,0,0,-67,-67,-133,0,0,-302,1137,5,-432,705,-1067,319
77,2000,1451,1074,-444,-207,-20,96,319,-256,-11,0,0,0,99,2357,-1398,0,0,0,-2616,2509,0,0,-469,-1974,225,-473,0,136,0,136,-134,0,0,-246,705,-61,76,781,-1398,959
77,2001,3087,1376,-348,-372,27,246,-2009,-2456,1,0,0,0,177,2185,-2762,107,0,0,-5542,6376,0,0,-3,-1824,242,-155,0,0,-53,-53,-141,0,-261,-368,781,-29,-36,745,-2762,-577
77,2002,-201,1828,977,482,-254,-687,-277,241,19,0,0,0,-68,1819,-1790,0,0,0,-3989,4153,0,0,0,-1626,183,-395,0,0,-132,-132,-147,0,0,-491,745,-16,-314,431,-1790,29
77,2003,-344,1689,-114,-39,191,-81,-77,-120,13,0,0,0,754,1992,-802,0,0,0,-3172,2934,0,0,-69,-1109,167,-370,0,0,-29,-29,-147,0,0,-379,431,14,518,949,-802,1190
77,2004,1198,1528,-197,-194,-183,264,-3,-313,75,0,0,0,-337,2151,-800,0,0,0,-4402,4510,0,0,-150,-842,157,-284,0,0,-426,-426,-147,0,261,-439,949,-1,869,1818,-800,1351
77,2005,1861,1637,-214,-257,155,-68,281,-103,70,0,0,3,-322,3146,-1260,0,0,0,-3696,3841,0,-46,0,-1161,192,-753,0,0,-435,-435,-154,0,0,-1150,1818,15,850,2668,-1260,1886
77,2006,2324,1527,-127,-23,111,254,-105,110,-194,0,0,13,-8,3772,-1288,42,0,0,-5868,5483,0,-56,0,-1687,461,-4151,0,264,0,264,-173,0,59,-3540,2668,6,-1449,1219,-1288,2484
77,2007,4341,1221,-116,-248,-96,-104,-688,-1252,-200,0,0,-1696,46,2460,-1272,3000,0,0,-6861,8429,0,-16,-205,3075,419,-5302,0,0,-586,-586,-199,0,100,-5568,1214,2,-31,1183,-1272,1188
77,2008,2657,1070,40,11,13,77,221,362,34,0,0,-16,299,4406,-686,61,0,0,-5065,5992,0,0,-87,215,761,-4886,0,0,-43,-43,-425,0,116,-4477,1183,1,145,1328,-686,3720
77,2009,1920,1059,865,43,-125,-428,0,355,-182,213,0,0,-35,3330,-763,0,-19,0,-1755,1355,0,0,0,-1182,210,-2122,0,0,0,0,-537,0,19,-2430,1328,0,-282,1046,-763,2567
77,2010,1470,925,-364,177,35,40,0,-112,146,186,0,0,28,2643,-753,0,-155,0,-2282,2094,0,0,0,-1096,109,-954,0,0,0,0,-567,0,1,-1411,1046,0,136,1182,-753,1890
77,2011,3228,913,-231,-304,-8,38,246,-259,-188,190,0,0,-64,3820,-1199,148,-199,0,-2518,2711,0,0,0,-1057,407,-2454,0,0,0,0,-592,0,13,-2626,1182,0,137,1319,-1199,2621
77,2012,2236,1108,112,-17,-203,-83,-77,-268,55,269,0,0,-144,3256,-816,0,-5425,0,-3653,3555,0,0,167,-6172,690,-1973,0,4897,-400,4497,-644,0,19,2589,1319,0,-327,992,-816,2440
77,2013,1759,1401,311,5,162,-130,-82,266,130,263,0,0,-405,3414,-495,0,0,0,-2802,2198,0,0,60,-1039,523,-1800,0,1492,-1375,117,-819,0,28,-1951,992,0,424,1416,-495,2919
77,2014,2162,1297,16,26,-136,-206,18,-282,50,287,0,0,-130,3384,-412,0,0,0,-3907,4249,0,0,67,-3,1314,-2868,0,986,-1500,-514,-1175,0,73,-3170,1416,0,211,1627,-412,2972
77,2015,2821,1230,-49,-53,65,-213,89,-161,-61,277,0,0,-52,4054,-385,0,0,0,-3107,2966,0,0,149,-377,554,-2831,0,498,-1000,-502,-1323,0,-3,-4105,1627,0,-428,1199,-385,3669
77,2016,2986,1133,77,93,94,-131,7,140,-55,286,0,0,-93,4397,-551,0,0,0,-2767,2892,0,0,124,-302,396,-2741,0,498,-1000,-502,-1444,0,-3,-4294,1199,0,-199,1000,-551,3846
77,2017,3595,955,-108,-99,-81,405,36,153,-202,252,0,0,-139,4614,-531,0,0,0,-3503,3390,0,0,-6,-650,472,-2132,0,499,-1000,-501,-1646,0,-3,-3810,1000,0,154,1154,-531,4083
77,2018,3682,904,-7,-167,76,519,-3,418,112,242,0,0,5,5363,-695,0,0,0,-4555,4095,0,0,28,-1127,483,-2556,0,1099,-625,474,-2104,0,-31,-3734,1154,0,502,1656,-695,4668
77,2019,5580,954,71,-282,669,151,-7,602,-105,232,0,0,-74,7189,-1131,0,0,0,-5641,6708,0,0,-14,-78,373,-5100,0,1500,-500,1000,-2555,0,-47,-6329,1656,0,782,2438,-1131,6058
