enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
79,1994,2711.546,944.911,-538.949,-176.383,0,0,475.954,-239.378,0,0,0,0,-1182.888,2234.191,-1924.819,205.78,-816.124,65.794,0,114.789,0,0,-191.782,-2546.362,57.395,0,0,1185.69,-1364.873,-179.184,0,0,0,-121.789,943.512,-82.592,-516.552,426.96,-1924.819,309.372
79,1995,3400.612,985.451,-53.85,-230.208,0,0,351.371,67.313,0,0,0,0,-2219.957,2233.419,-1922.437,156.165,-809.093,144.049,-2.693,0,0,0,13.462,-2420.547,41.734,-379.641,0,2182.263,-1545.489,636.774,0,0,-0.001,298.866,410.605,288.096,399.834,810.439,-1922.437,310.982
79,1996,3214.521,1012.968,162.889,-491.213,0,0,16.544,-311.78,0,0,0,0,-1790.512,2125.197,-1544.904,109.441,-941.704,146.346,-52.175,1.272,0,0,328.324,-1953.4,21.634,0,0,2346.625,-2466.247,-119.622,0,0,0,-97.988,-170.525,0,73.809,-96.716,-1544.904,580.293
79,1997,4175.786,1233.556,69.741,74.1,0,0,-239.735,-95.894,0,0,0,0,-2186.694,3126.754,-1698.502,194.696,-1766.791,505.627,-61.024,0,0,0,-425.715,-3251.709,20.341,0,0,2743.174,-2336.347,406.827,0,0,0,427.168,14.532,-200.508,101.705,116.237,-1698.502,1428.252
79,1998,5175.766,1167.984,-242.801,123.78,0,0,436.407,317.386,0,0,0,0,-3182.211,3478.925,-1314.389,6514.825,-1425.067,7923.563,-36.499,11.109,0,0,-6473.106,5200.436,47.608,0,0,883.923,-1686.911,-802.988,-977.056,0,-6654.999,-8387.435,9055.798,-93.629,198.297,9254.095,-1314.389,2164.536
79,1999,3091.365,932.587,-224.18,-427.436,0,0,239.125,-412.491,0,0,0,0,-99.798,3511.663,-1468.97,354.479,-324.314,662.077,-147.959,0,0,0,-189.804,-1114.491,17.935,0,0,548.493,-524.581,23.912,-1126.916,0,-2100.656,-3185.725,11629.62,61.276,-727.277,10902.343,-1468.97,2042.693
79,2000,4608.403,1204.525,-182.061,19.507,0,0,502.292,339.738,0,0,0,0,-9268.825,-3116.159,-1406.091,69.898,-525.05,134.92,-282.844,11.379,0,0,6079.517,4081.729,4.877,0,0,269.839,-430.767,-160.928,0,0,-0.001,-156.052,1599.53,154.427,963.945,2563.475,-1406.091,-4522.25
79,2001,4683.274,1755.615,271.339,372.866,0,0,-25.157,619.048,0,0,0,0,-3244.819,3813.118,-1930.146,668.39,-24593.89,902.553,-261.445,18.188,0,0,1863.017,-23333.333,0,-25.008,0,36447.692,-3933.04,32514.651,-1226.415,0,-11912.824,19350.404,2853.988,-336.468,-506.279,2347.709,-953.279,2859.839
79,2002,1851.159,2535.651,392.157,-157.754,0,0,-35.651,198.752,0,0,0,0,-1477.719,3107.843,-1210.339,0,3098.93,0,0,0,0,0,985.741,2874.332,0,0,0,0,0,0,-1265.597,0,-4543.672,-5809.269,1486.631,0,172.906,1659.537,-1210.339,1897.504
79,2003,5143.706,2634.511,89.371,-100.057,0,0,472.114,461.428,0,0,0,0,-3379.595,4860.05,-1321.141,2108.968,0,0,-68.971,0,0,0,-669.314,49.542,8.743,0,0,0,-2652.967,-2652.967,-1611.597,0,-604.229,-4860.05,2247.883,0,49.542,2297.425,-1321.141,3538.909
79,2004,6732.164,2502.22,671.947,-131.85,0,0,-786.218,-246.121,0,0,0,0,-3795.326,5192.937,-1274.55,1091.914,0,0,0,0,0,0,-310.58,-493.216,0,-9.766,0,0,-3571.67,-3571.67,-2105.694,0,-50.786,-5737.916,3314.805,0,-1038.195,2276.61,-1274.55,3918.387
79,2005,3942.359,2765.416,399.464,296.247,0,0,37.533,733.244,0,292.225,0,0,-297.587,7435.657,-1310.992,202.413,-53.619,553.619,-33.512,91.153,-119.303,0,509.383,-160.858,10.877,-455.917,0,3975.871,-8053.619,-4077.748,-3360.59,203.753,-280.161,-7959.786,1914.209,655.496,-29.491,1884.718,-1430.295,6005.362
79,2006,4715.302,1511.269,410.439,-181.495,0,0,0,228.944,0,227.758,0,0,-1519.572,5163.701,-1084.223,147.094,-23.725,953.737,-59.312,98.458,-109.134,0,688.018,610.913,0,-1513.642,0,4706.999,-5688.019,-981.02,-2902.728,-62.871,-258.6,-5718.861,1667.853,-223.013,-167.26,1500.593,-1193.357,3970.344
79,2007,6624.835,1297.226,321.004,-206.077,0,0,0,114.927,0,158.52,0,0,-2236.459,5959.049,-1338.177,253.633,-126.816,2474.24,-118.89,80.581,-149.273,0,450.462,1525.76,129.458,0,0,5690.885,-9931.308,-4240.423,-4236.46,-93.791,-240.422,-8681.638,1671.07,463.672,-733.157,937.913,-1487.45,4471.599
79,2008,6020.378,1372.635,-62.591,-484.716,0,0,586.608,39.301,0,171.761,0,0,-1962.154,5641.921,-1522.562,237.263,-311.499,238.719,-72.78,48.035,-197.962,0,673.945,-906.841,643.377,-2183.406,0,10449.782,-4215.429,6234.352,-3979.622,-71.325,-5023.289,-4379.913,1033.479,-77.147,278.02,1311.499,-1720.524,3921.397
79,2009,7141.892,1355.405,-335.135,-466.216,0,0,583.783,-217.568,0,168.919,0,0,-3217.567,5231.081,-1543.243,256.757,-285.135,3345.946,-170.27,63.514,-198.649,0,443.242,1912.162,139.189,-2031.081,0,6140.541,0,6140.541,-3477.027,0,-5001.352,-4229.73,1217.568,-941.892,1971.621,3189.189,-1741.892,3489.189
79,2010,5333.819,1504.373,932.945,689.504,0,0,857.143,2479.592,1832.362,284.257,0,0,-3017.493,8416.91,-1819.242,161.808,-596.21,393.586,-530.612,326.531,-176.385,0,399.416,-1841.108,150.146,0,0,4246.356,-6495.627,-2249.271,-3069.971,-34.985,-1065.598,-6269.679,3440.233,-252.187,53.936,3494.169,-1995.627,6421.283
79,2011,6082.011,1313.492,-453.704,-757.937,0,0,1435.186,223.545,2029.101,190.476,0,0,-2576.72,7261.905,-2166.667,150.794,-1656.085,1178.571,-112.434,964.286,-234.127,0,335.979,-1539.683,0,-164.021,0,113.757,-1900.794,-1787.037,-3072.751,-29.101,-1043.651,-6096.561,3170.635,-195.767,-570.106,2600.529,-2400.794,4861.111
79,2012,6082.895,1353.947,-525,-288.158,0,0,580.263,-232.895,2134.211,138.158,0,0,-2302.632,7173.684,-2414.474,164.474,-4076.316,1813.158,-1526.316,234.211,-347.368,0,274.999,-5877.632,39.474,0,0,6157.895,-1193.421,4964.474,-3269.737,-21.053,-1172.369,540.789,2586.843,-505.263,1331.578,3918.421,-2761.842,4411.842
79,2013,6346.457,1573.491,1.312,-11.811,0,0,1089.239,1078.74,2227.034,200.787,0,0,-2455.38,8971.129,-2591.864,311.024,-174.541,322.835,-119.423,1433.071,-531.496,0,359.58,-990.814,62.992,0,0,1891.076,-5820.21,-3929.134,-3541.995,-19.685,-1262.467,-8690.289,3908.137,-288.714,-998.688,2909.449,-3123.36,5847.769
79,2014,7209.589,1576.712,-1256.164,230.137,0,0,1300,273.973,2535.616,312.329,0,0,-3286.301,8621.918,-2453.425,193.151,-194.521,1442.466,-798.63,413.699,-516.438,0,323.287,-1590.411,32.877,0,0,6258.904,-4512.329,1746.575,-4100,-15.068,-5047.946,-7383.562,3036.987,115.068,-236.987,2800,-2969.863,5652.055
79,2015,6800.247,1765.721,101.11,-57.953,0,0,-33.293,9.864,2627.62,231.813,0,0,-4600.493,6834.772,-2334.155,255.24,-385.943,2146.732,-101.11,90.012,-442.663,0,351.418,-420.469,0,-575.832,0,6796.547,-6541.307,255.24,-3932.182,-19.729,-2127.004,-6399.507,2520.346,-180.025,-165.229,2355.117,-2776.819,4057.953
79,2016,5728.758,1492.375,2.179,-140.523,0,0,922.658,784.314,2136.166,163.399,0,0,-2320.263,7984.749,-2033.769,138.344,-2066.449,216.776,-205.882,138.344,-363.834,0,321.35,-3855.12,0,-300.654,0,8508.715,-6830.065,1678.649,-3628.54,-15.251,-1037.036,-3302.832,2080.611,-589.325,237.472,2318.083,-2397.603,5587.146
79,2017,5851.266,1544.304,149.789,200.422,0,0,-296.414,53.797,2027.426,208.861,0,0,-2252.11,7433.544,-1902.954,166.667,-1825.949,31.646,-77.004,182.489,-244.726,0,306.962,-3362.869,0,-271.097,0,7404.008,-5498.945,1905.063,-3806.962,-36.92,-1031.645,-3241.561,2244.726,299.578,1128.692,3373.418,-2147.679,5285.865
79,2018,7675.74,1820.118,-598.817,-123.077,0,0,641.421,-80.473,1972.781,336.095,0,0,-3094.675,8629.586,-1785.799,54.438,-5794.083,663.905,-551.479,297.041,-186.982,0,345.563,-6957.396,0,-6175.148,-530.178,13663.905,-3081.657,10582.249,-4634.32,-16.568,-921.893,-1695.858,3784.615,-10.651,-34.319,3750.296,-1972.781,6656.805
79,2019,11135.381,2521.047,-1476.678,-535.836,0,0,1110.352,-902.162,2926.052,222.981,0,0,-7577.929,8325.37,-1511.945,122.867,-1519.909,8069.397,-118.316,171.786,-230.944,0,300.34,5283.276,0,-7141.069,0,12053.47,-12081.911,-28.441,-4625.711,-547.213,-1437.998,-13780.432,3605.233,81.911,-89.875,3515.358,-1742.89,6582.48
79,2020,6695.556,2202.222,-494.444,347.778,0,0,136.666,-10,2514.444,167.778,0,0,-2560,9010,-1462.222,107.778,-1246.667,196.667,-253.333,61.111,-233.333,0,344.443,-2485.556,0,-223.333,0,6942.222,-5457.778,1484.444,-4676.667,-483.333,-1286.667,-5185.556,3433.334,-198.889,1139.999,4573.333,-1695.556,7314.444
79,2021,7388.078,2454.988,1368.613,-714.112,0,0,172.75,827.251,2339.416,131.387,0,0,-2121.655,11019.465,-1049.878,108.273,-1734.793,47.445,-155.718,740.876,-192.214,0,434.306,-1801.703,0,0,0,4670.316,-4351.582,318.735,-5205.596,-538.929,-1635.037,-7060.827,5007.299,-503.65,1653.285,6660.584,-1242.092,9777.373
79,2022,7481.356,1992.09,-346.893,-517.514,0,0,811.3,-53.107,2186.441,181.921,0,0,-2780.791,9007.91,-1251.977,114.124,-2407.91,48.588,-439.548,154.802,-262.147,0,376.271,-3667.797,0,-3410.169,0,6106.215,-4011.299,2094.915,-5065.537,-524.294,-1116.384,-8021.469,6186.441,322.034,-2359.322,3827.119,-1514.124,7493.786
79,2023,8759.534,2061.441,-1961.864,-1480.932,0,0,2995.762,-447.034,2190.678,187.5,0,0,-5038.136,7713.983,-1542.373,86.864,-1037.076,4896.186,-318.856,281.78,-268.008,0,500,2598.517,0,-1598.517,0,8237.288,-9518.008,-1280.72,-4585.805,-548.729,-1403.602,-9417.373,3587.924,-7.415,887.712,4475.636,-1810.381,5903.602
