enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
80,1994,194.6,-50.3,-40.3,0,0,3.2,92.7,55.6,-7.3,0,0,0,86.2,278.8,-55.3,0,0,0,-947.7,776.4,0,0,-80.7,-307.3,18.6,0,0,0,-10.5,-10.5,-2.1,0,0.2,6.2,22.3,0,-22.3,0,-55.3,223.5
80,1995,-1089,64.079,-24.486,0,0,2.792,47.2,25.506,0,0,0,0,1325.672,326.257,-79.609,0,-51.442,0,-1354.859,964.813,0,0,1460.193,939.096,48.609,0,0,0,-18.547,-18.547,-4.626,0,0,25.436,228.26,0,1290.789,1519.049,-79.609,246.648
80,1996,427.101,94.458,-25.079,0,0,-56.481,-81.56,-163.12,0,0,0,0,75.836,434.275,-109.23,0,-969.392,0,-3289.186,3321.097,0,0,0.961,-1045.75,41.374,0,0,0,-3.646,-3.646,-5.192,0,0,32.536,1519.049,0,-578.939,940.11,-109.23,325.045
80,1997,355.637,133.166,-137.431,0,0,173.807,36.376,72.752,0,0,0,0,0.704,562.259,-165.223,0,-51.864,0,-5008.848,4754.929,0,0,-1.504,-472.51,41.563,0,0,0,-0.62,-0.62,-34.086,0,0,6.857,940.11,0,96.606,1036.716,-165.223,397.036
80,1998,460,146,-84,0,0,70,-14,-28,91,0,0,0,14,683,-187,0,0,0,-6706,5889,0,0,0,-1004,79,-16,0,0,0,0,-35,0,6,34,1037,0,-287,750,-187,496
80,1999,-166,185,67,0,0,718,785,1570,-184,0,0,0,-334,1071,-210,59,-464,0,-2799,3435,0,0,0,21,84,-436,-520,708,0,708,-34,0,0,-198,750,0,894,1644,-210,861
80,2000,568,233,84,0,0,269,353,706,35,0,0,0,-353,1189,-196,51,-334,0,-2208,2064,0,0,0,-623,102,-983,0,282,0,282,-6,0,0,-605,1644,0,-39,1605,-196,993
80,2001,736,247,26,0,0,439,465,930,73,0,0,0,-465,1521,-245,12,-76,0,-3022,2363,0,0,0,-968,228,-1180,0,400,-182,218,-5,0,0,-739,1605,0,-186,1419,-245,1276
80,2002,913,265,7,0,0,567,52,626,40,0,0,0,0,1844,-425,0,-92,0,-2088,1467,0,0,0,-1138,178,-1129,0,525,-150,375,-9,0,0,-585,1419,0,121,1540,-425,1419
80,2003,1352,255,83,0,0,567,12,662,154,0,0,0,0,2423,-419,0,-302,0,-3246,2576,0,0,0,-1391,205,-1815,0,400,-223,177,-9,0,0,-1442,1540,0,-410,1130,-419,2004
