enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
81,1994,530,508,-80,-3,0,42,49,8,278,0,0,0,-349,975,-1574,96,0,0,-65,0,0,0,576,-967,0,-10,0,930,-1683,-753,-309,0,926,-146,251,0,-138,113,-899,76
81,1995,546,541,-19,-29,0,-21,124,55,175,0,0,0,-238,1079,-1597,361,0,0,0,0,0,-295,388,-1143,0,-1,0,0,-319,-319,-334,0,731,77,108,0,13,121,-876,203
81,1996,946,642,47,19,0,80,-462,-316,151,0,0,0,31,1454,-1058,0,0,0,-2146,0,0,467,168,-2569,844,0,0,0,-1531,-1531,-353,0,2270,1230,115,0,115,230,-1058,396
81,1997,904,762,-8,12,0,4,547,555,166,0,0,0,-730,1657,-1360,0,0,0,-539,0,0,41,764,-1094,0,0,0,0,-2047,-2047,-353,0,1798,-602,230,0,-39,191,-1360,297
81,1998,432,1043,-157,8,0,47,123,21,300,0,0,0,-196,1600,-2101,0,0,0,0,0,0,0,329,-1772,0,0,0,0,-572,-572,-422,0,1065,71,191,0,-101,90,-2101,-501
81,1999,-633,1070,84,-47,0,-183,-170,-316,-74,0,547,0,-29,565,-2111,0,0,0,0,0,0,0,213,-1898,0,0,0,0,-1789,-1789,-255,0,3463,1419,90,0,86,176,-2111,-1546
81,2000,783,1083,62,6,0,11,-27,52,529,0,0,0,-578,1869,-1834,0,0,0,-1834,0,0,0,2054,-1614,0,0,0,0,-692,-692,-198,0,634,-256,176,0,-1,175,-1834,35
81,2001,842,1140,-16,-23,0,73,-12,22,447,0,0,0,-398,2053,-1783,211,0,0,0,0,0,0,-65,-1637,0,0,0,0,-796,-796,-199,0,509,-486,175,0,-70,105,-1783,270
81,2002,934,1126,-24,97,0,-115,-142,-184,419,0,0,0,-430,1865,-1572,316,0,0,-1736,0,0,0,1610,-1382,0,0,0,0,-1219,-1219,-198,0,933,-484,104,0,-1,103,-1572,293
81,2003,1265,1147,-85,-22,0,-81,-123,-311,596,0,0,0,-498,2199,-1694,409,0,0,0,0,0,0,-51,-1336,0,0,0,0,-1196,-1196,-201,0,798,-599,103,0,264,367,-1694,505
81,2004,1330,1067,59,10,0,79,-118,30,494,0,0,0,-478,2443,-1752,150,0,0,0,0,0,620,105,-877,0,0,0,746,-2117,-1371,-234,0,199,-1406,367,0,160,527,-1752,691
81,2005,604,1111,-40,-42,0,100,78,96,359,21,0,0,66,2257,-674,145,0,0,0,0,0,0,-1203,-1732,0,0,0,745,-588,157,-310,0,78,-75,527,0,450,977,-2550,-293
81,2006,1026,1175,-201,-22,0,224,150,151,320,21,0,0,-98,2595,-872,185,0,0,0,0,0,0,-1360,-2047,0,0,0,0,-699,-699,-314,0,261,-752,977,0,-204,773,-3041,-446
