enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
82,1999,1741,1112,-308,37,0,171,-264,-364,23,0,0,0,405,2917,-1645,1861,0,0,-390,0,0,0,-1481,-1655,785,-823,0,287,-310,-23,-466,0,45,-482,460,0,780,1240,-1645,1272
82,2000,883,1139,-454,-18,-593,87,189,-789,562,0,0,0,464,2259,-1476,1689,-63,0,-3981,2290,0,0,-1584,-3125,5951,-1232,0,502,-679,-177,-672,0,-1,3869,1240,-39,2964,4204,-1476,783
82,2001,2934,-1173,-851,0,-689,317,-332,-1555,-81,0,0,0,2679,2804,-2147,251,-245,0,-8127,9345,0,0,-14,-937,88,-5465,0,2297,-1168,1129,-786,0,-127,-5161,4204,-31,-3325,879,-2147,657
82,2002,2399,-1396,415,0,-290,-313,-134,-322,481,0,0,0,3368,4530,-2372,165,-466,0,-3361,3690,0,0,-669,-3013,228,-2019,0,2312,-1089,1223,-856,0,-69,-1493,879,-45,-21,858,-2372,2158
82,2003,3182,-1464,312,0,-87,-56,822,991,162,0,0,0,2817,5688,-1658,89,-14,0,-2303,2211,0,0,-519,-2194,116,-604,0,419,-1099,-680,-840,0,-82,-2090,858,-51,1353,2211,-1658,4030
82,2004,2898,1549,-264,0,-990,149,185,-920,317,0,0,0,732,4576,-1947,2065,0,0,-8083,7118,0,0,-1895,-2742,154,-398,0,361,-1245,-884,-956,0,-26,-2110,1124,216,-60,1064,-1947,2629
82,2005,3333,1543,-686,0,-238,245,-44,-723,289,0,0,0,889,5331,-2127,2202,-238,0,-6322,4724,0,0,-1877,-3638,193,-1310,0,811,-468,343,-1208,0,-32,-2014,1064,-4,-325,739,-2127,3204
82,2006,3870,1644,-789,0,-695,214,1248,-22,450,0,0,0,-149,5793,-2187,27,-1488,0,-7623,10375,0,0,-79,-975,164,-2479,0,128,-589,-461,-1391,0,-8,-4175,739,-13,630,1369,-2187,3606
82,2007,4202,1748,-60,0,0,36,-38,-62,99,369,0,0,-767,5589,-3085,75,-50,0,-9056,9776,0,0,0,-2340,164,-2460,0,649,-603,46,-1577,0,-24,-3851,1369,27,-575,794,-3085,2504
82,2008,382,1745,-1571,0,0,71,53,-1447,-249,447,221,0,24,1123,-2820,85,-2,0,-9063,9599,0,0,2,-2199,174,-2639,0,6707,-198,6509,-1703,0,-44,2297,794,12,1233,2027,-2820,-1697
82,2009,3003,1814,1358,0,0,131,-328,1161,187,516,575,0,1170,8426,-2636,147,0,0,-3391,3113,0,0,-412,-3179,169,-3570,0,3613,-4534,-921,-2219,0,-161,-6702,2027,-65,-1520,507,-2636,5790
82,2010,2152,1747,-3,0,0,-209,320,108,471,430,181,0,196,5285,-1602,60,0,0,-2251,2240,0,0,305,-1248,149,-561,0,3160,-3682,-522,-1751,0,-360,-3045,507,43,1035,1542,-1602,3683
82,2011,3338,1792,-532,0,0,363,-490,-659,919,519,0,0,-2074,3835,-1389,304,0,0,-2490,2520,0,0,401,-654,218,-817,0,2195,-949,1246,-1818,0,-175,-1346,1542,-7,1828,3370,-1389,2446
82,2012,3804,1782,-657,0,0,588,293,224,314,524,0,0,425,7073,-2005,27,0,0,-4903,4490,0,0,-146,-2537,290,-2665,0,279,-374,-95,-1997,0,-395,-4862,3370,-10,-336,3034,-2005,5068
82,2013,807,1858,-124,0,0,40,216,132,-2083,547,0,0,5955,7216,-2153,95,-100,0,-2357,2985,0,0,195,-1335,301,-1621,0,1745,-16,1729,-2130,0,-96,-1817,3034,229,4293,7327,-2153,5063
82,2014,4372,1867,-515,0,0,634,-153,-34,-246,513,0,0,832,7304,-2065,104,-22,0,-2948,2957,0,0,-140,-2114,491,-3838,0,100,-1875,-1775,-2260,0,-425,-7807,7327,-45,-2662,4665,-2065,5239
82,2015,3032,1923,-523,0,0,382,429,288,385,536,0,0,-438,5726,-2328,53,-88,0,-3525,3106,0,0,-19,-2801,274,-2695,0,1525,-1694,-169,-2366,0,-205,-5161,4665,-138,-2374,2291,-2328,3398
82,2016,4844,2084,-452,0,0,-210,408,-254,540,574,0,0,-358,7430,-2379,26,-1904,0,-7415,6388,0,0,-25,-5309,249,-2702,0,6312,-2724,3588,-2525,0,-175,-1565,2291,-117,439,2730,-2379,5051
82,2017,3422,2224,-704,0,0,551,-541,-694,117,591,0,0,813,6473,-2965,88,-547,0,-4813,5724,0,0,-50,-2563,245,-2678,0,5927,-3893,2034,-2643,0,-98,-3140,3172,-21,749,3921,-2965,3508
82,2018,4905,2282,-1022,0,0,799,-1227,-1450,1224,584,0,0,-6066,1479,-5227,24,-134,0,-1630,1990,0,0,6,-4971,247,-1813,0,12016,-4189,7827,-2771,0,-203,3287,3921,53,-152,3769,-5227,-3748
82,2019,4791,2207,-421,0,0,1539,924,2042,758,634,0,0,2279,12711,-6283,37,0,0,-973,886,0,0,3,-6330,240,-1011,0,1265,-2887,-1622,-3011,0,-288,-5692,3769,-91,598,4367,-6283,6428
82,2020,4440,2360,-717,0,0,-27,880,136,100,915,0,0,688,8639,-6380,65,0,0,-561,883,0,0,-68,-6061,218,-1004,0,5515,-3096,2419,-3194,0,-166,-1727,4367,20,871,5238,-6380,2259
82,2021,1343,2698,-1562,0,0,2535,108,1081,-858,796,0,0,5399,10459,-5412,40,-20,40,-254,360,0,0,-37,-5283,285,-224,0,5003,-5854,-851,-3374,0,-353,-4517,5238,13,672,5910,-5412,5047
82,2022,12890,2953,-2147,0,0,1020,463,-664,1645,878,0,0,-2695,15007,-4194,872,-602,872,-312,366,0,0,-820,-3818,251,-500,0,0,-2773,-2773,-3437,0,-364,-6823,5910,-21,4345,10255,-4194,10813
82,2023,11548,3188,-322,0,0,-155,108,-369,531,1568,0,0,-2362,14104,-4769,0,-755,12,-1906,255,0,0,-309,-7472,262,-3500,0,0,-2304,-2304,-5114,0,-529,-11185,10255,-100,-4653,5602,-4769,9335
