enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
83,2005,360.445,135.528,-31.909,0,0,3.138,-704.036,-732.807,85.186,0,1.276,0,631.001,480.629,-119.267,0,0,97.424,-1896.715,1425.427,0,0,20,-473.131,0,0,0,0,-33.768,-33.768,0,0,-12.198,-45.966,173.865,0,-38.468,135.397,-119.267,361.362
83,2006,455,155,-24,0,0,-269,-611,-904,32,0,13,0,699,450,-102,0,0,0,-3784,3608,0,0,0,-278,0,0,0,0,-37,-37,0,0,0,-37,135,0,135,270,-102,348
83,2007,-1076,126,3,0,0,-228,-822,-1047,-874,0,0,0,3376,505,-160,0,-2.5,0,-304,0,0,0,3.5,-463,0,0,0,0,-37,-37,0,0,0,-37,270,0,5,275,-160,345
83,2008,804,237,-567,0,0,-1232,-1539,-3338,-27,74,34,0,2747,531,-415,4,0,0,-1008,949,0,0,1024,554,19100,-13446,0,2,-24,-22,-93,0,-1915,3624,275,-5,4704,4979,-415,116
83,2009,2352,226,424,0,0,-2475,-1211,-3262,297,115,11,0,819,558,-306,0,0,0,-55,1305,0,0,886,1830,0,-2646,0,0,-54,-54,-318,0,267,-2751,4979,1,-362,4617,-306,252
83,2010,2964,265,196,0,0,-1103,-1428,-2335,249,131,3,0,1414,2691,-241,3,-1805,0,-28,78,0,0,89,-1904,0,-1000,0,0,-24,-24,-368,0,-150,-1542,4617,5,-750,3867,-241,2450
83,2011,3646,288,-55,0,0,-96,-1883,-2034,164,154,0,0,1654,3872,-353,0,-268,0,-1923,245,0,0,0,-2299,0,-2024,0,0,-54,-54,-423,0,-803,-3304,3867,-9,-1740,2127,-353,3519
83,2012,2142,333,-270,0,0,-114,-1716,-2100,-1690,147,0,0,6177,5009,-376,2,-3,0,-4152,2115,0,0,0,-2414,0,-710,0,0,-6,-6,-595,0,-1344,-2655,2127,7,-53,2074,-376,4633
83,2013,4980,397,-383,0,0,-3136,-2842,-6361,1527,179,0,0,2300,3022,-471,0,0,0,-3167,2474,0,0,0,-1164,0,-5365,0,0,-6,-6,-864,0,4489,-1746,2074,0,112,2186,-471,2551
83,2014,5438,435,-40,0,0,1562,-2774,-1252,-580,172,0,0,2992,7205,-553,0,-149,0,-2581,2342,0,0,0,-941,0,-4118,0,0,0,0,-1006,0,-1354,-6478,2186,-1,-215,1971,-553,6652
83,2015,6328,494,359,0,0,-879,-3011,-3531,195,187,0,0,2911,6584,-414,10,-93,0,-2875,1937,0,0,0,-1435,0,-2910,0,0,0,0,-1177,0,484,-3603,1971,1,1547,3518,-414,6170
83,2016,5991,502,326,0,0,-25,-3823,-3522,-764,221,0,0,3146,5574,-523,0,-9082,0,-10436,9125,0,0,0,-10916,0,-7157,0,15971,0,15971,-1350,0,13,7477,3518,-34,2101,5619,-523,5051
83,2017,6699,556,40,0,0,260,-4775,-4475,1700,235,0,0,4602,9317,-707,12,-302,0,-3284,5016,0,0,0,735,0,-6891,0,2488,0,2488,-1579,0,58,-5924,7647,236,4364,12011,-707,8610
83,2018,10301,613,-293,0,0,2477,-4623,-2439,-1277,327,0,0,5416,12941,-718,14,-196,0,-5822,3636,0,0,2,-3084,0,-7192,0,0,-1750,-1750,-1918,0,70,-10790,12011,-101,-1034,10977,-718,12223
83,2019,12080,656,-1866,0,0,2303,-6740,-6303,214,407,0,0,5730,12784,-756,0,-699,0,-3154,3996,0,0,22,-591,0,-8607,0,0,0,0,-2269,0,-1185,-12061,10977,-277,-145,10832,-756,12028
83,2020,10866,767,1815,0,0,-1730,-8483,-8398,307,416,0,0,6482,10440,-736,0,-77,0,-2342,4510,0,0,72,1427,0,-8114,0,7212,0,7212,-2664,0,-402,-3968,10832,440,8339,19171,-736,9704
83,2021,12311,804,-811,0,0,1766,-7657,-6702,873,542,0,0,7399,15227,-705,0,-75,0,-5182,5701,0,0,109,-152,0,-8676,0,0,-3000,-3000,-2798,0,64,-14410,19171,-37,628,19799,-705,14522
83,2022,14957,861,-494,0,0,2854,-10017,-7657,-336,602,0,0,10422,18849,-970,0,-1948,0,-6083,4585,0,0,128,-4288,0,-11589,0,3218,-1000,2218,-3203,0,-122,-12696,19799,-1287,578,20377,-970,17879
83,2023,17273,943,-410,0,0,1426,-11038,-10022,-483,765,0,0,12279,20755,-1059,0,0,0,-4484,3562,0,0,-25,-2006,0,-12101,0,0,-2250,-2250,-3751,0,330,-17772,20377,636,1613,21990,-1059,19696
