enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
86,1994,2333,849,-165,-1324,0,557,0,-932,21.2,0,0,0,-76.2,2195,-3644,272,-1028,0,-197.8,0,0,0,111.8,-4486,9.7,0,0,3108,-470,2638,-299,0,-49.7,2299,12,0,8,20,-3644,-1449
86,1995,2681,1070,-84,-3053,0,2410,0,-727,9,0,0,0,-127,2906,-3734,502,-352,0,0,0,0,0,-208,-3792,0,-68,0,1470,-107,1363,-391,0,7,911,20,0,25,45,-3734,-828
86,1996,2740,1304,-61,-1850,0,477,0,-1434,76,0,0,0,-303,2383,-3566,0,0,0,0,0,0,0,234,-3332,0,-105,0,1664,-207,1457,-458,0,93,987,45,0,38,83,-3566,-1183
86,1997,3056,1463,-58,99,0,1638,0,1679,-180,0,0,0,-88,5930,-2643,464,0,0,0,0,0,0,111,-2068,0,-208,0,0,-3073,-3073,-481,0,700,-3062,83,0,800,883,-2643,3287
86,1998,3526,1634,-78,-365,0,2377,0,1934,20,0,0,0,9,7123,-2636,0,-1865,0,0,0,0,0,80,-4421,0,-1569,0,547,-648,-101,-611,0,143,-2138,883,0,564,1447,-2636,4487
86,1999,4430,1872,-148,-379,0,2367,0,1840,-640,0,0,0,78,7580,-3734,0,-855,0,0,0,0,0,171,-4418,0,-1202,0,536,-1176,-640,-693,0,-221,-2756,1447,26,432,1879,-3734,3846
86,2000,5377,2375,-255,-2088,0,2864,0,521,-138,0,0,0,59,8194,-6183,0,-10419,0,0,0,0,0,-244,-16846,0,-101,0,10316,-996,9320,-890,0,224,8553,1879,76,-23,1856,-6183,2011
86,2001,6295,2868,-422,-1795,0,2072,0,-145,342,0,0,0,244,9604,-8042,284,-627,0,0,0,0,0,-329,-8714,581,-193,0,3778,-3714,64,-1070,0,176,-442,1856,-250,198,2054,-8042,1562
86,2002,6448,3228,-212,-1125,0,1536,0,199,140,0,0,36,468,10519,-8285,248,0,0,0,1134,0,-89,-231,-7223,0,-1214,0,4591,-5219,-628,-1249,0,113,-2978,2054,-211,107,2161,-8285,2234
86,2003,7818,3364,-159,-2219,0,2960,0,582,474,0,0,82,685,13005,-9245,311,-749,0,0,0,0,-83,-73,-9839,0,-3383,0,3880,-1477,2403,-1328,0,-62,-2370,2161,-199,597,2758,-9245,3760
