Code,Ticker,Price,Country,Exchange,Sector,Group,Industry
ZIVB,-1x Short VIX Mid-Term Futures Strategy ETF (ZIVB),$22.29,USA,BATS,Not Available,Not Available,Not Available
OONEF,01 Communique Laboratory Inc (OONEF),$0.08,USA,OTCPK,Technology,Software,Software - Application
FLWS,1-800-Flowers.com Inc (FLWS),$8.52,USA,NAS,Consumer Cyclical,Retail - Cyclical,Specialty Retail
VCVCU,10X Capital Venture Acquisition Corp (VCVCU),$11.15,USA,NAS,Financial Services,Diversified Financial Services,Shell Companies
VCXA,10X Capital Venture Acquisition Corp II (VCXA),$8.19,USA,NAS,Financial Services,Diversified Financial Services,Shell Companies
VCXB,10X Capital Venture Acquisition Corp III (VCXB),$10.67,USA,AMEX,Financial Services,Diversified Financial Services,Shell Companies
TXG,10x Genomics Inc (TXG),$41.93,USA,NAS,Healthcare,Healthcare Providers & Services,Health Information Services
YI,111 Inc (YI),$2.16,USA,NAS,Healthcare,Healthcare Providers & Services,Pharmaceutical Retailers
RETC,12 Retech Corp (RETC),$0,USA,OTCPK,Technology,Software,Software - Application
CBDW,1606 Corp (CBDW),$0.03,USA,OTCPK,Consumer Defensive,Tobacco Products,Tobacco
YQ,17 Education & Technology Group Inc (YQ),$0.53,USA,NAS,Consumer Defensive,Education,Education & Training Services
TURN,180 Degree Capital Corp (TURN),$3.81,USA,NAS,Financial Services,Asset Management,Asset Management
ATNF,180 Life Sciences Corp (ATNF),$0.32,USA,NAS,Healthcare,Biotechnology,Biotechnology
EFSH,1847 Holdings LLC (EFSH),$0.55,USA,AMEX,Industrials,Conglomerates,Conglomerates
BCOW,1895 Bancorp of Wisconsin Inc (BCOW),$6.33,USA,NAS,Financial Services,Banks,Banks - Regional
AUMBF,1911 Gold Corp (AUMBF),$0.05,USA,OTCPK,Basic Materials,Metals & Mining,Gold
TGIFF,1933 Industries Inc (TGIFF),$0.01,USA,OTCPK,Healthcare,Drug Manufacturers,Drug Manufacturers - Specialty & Generic
MILFF,1CM Inc (MILFF),$1.73,USA,OTCPK,Healthcare,Drug Manufacturers,Drug Manufacturers - Specialty & Generic
OPMZ,1PM Industries Inc (OPMZ),$0,USA,GREY,Consumer Defensive,Consumer Packaged Goods,Packaged Foods
FISB,1st Cap Bancorp (FISB),$9.95,USA,OTCPK,Financial Services,Banks,Banks - Regional
SRCE,1st Source Corp (SRCE),$47.80,USA,NAS,Financial Services,Banks,Banks - Regional
DIBS,1stdibs.com Inc (DIBS),$4.29,USA,NAS,Consumer Cyclical,Retail - Cyclical,Internet Retail
SVIX,1x Short VIX Futures ETF (SVIX),$34.65,USA,BATS,Not Available,Not Available,Not Available
TTBKF,2020 Bulkers Ltd (TTBKF),$9.48,USA,OTCPK,Industrials,Transportation,Marine Shipping
TWTG,2020 Genesystems Inc (TWTG),$3.50,USA,GREY,Healthcare,Medical Diagnostics & Research,Diagnostics & Research
XXII,22nd Century Group Inc (XXII),$0.21,USA,NAS,Consumer Defensive,Tobacco Products,Tobacco
ME,23andMe Holding Co (ME),$0.89,USA,NAS,Healthcare,Medical Diagnostics & Research,Diagnostics & Research
TFSVF,24SevenOffice Group AB (TFSVF),$0.46,USA,GREY,Technology,Software,Software - Application
ADER,26 Capital Acquisition Corp (ADER),$11.08,USA,NAS,Financial Services,Diversified Financial Services,Shell Companies
ZGBEF,2G Energy AG (ZGBEF),$84.00,USA,GREY,Industrials,Industrial Products,Specialty Industrial Machinery
FBSBF,2invest AG (FBSBF),$15.50,USA,OTCPK,Financial Services,Asset Management,Asset Management
TSVT,2seventy bio Inc (TSVT),$1.80,USA,NAS,Healthcare,Biotechnology,Biotechnology
TWOU,2U Inc (TWOU),$1.15,USA,NAS,Consumer Defensive,Education,Education & Training Services
BITX,2x Bitcoin Strategy ETF (BITX),$19.63,USA,BATS,Not Available,Not Available,Not Available
UVIX,2x Long VIX Futures ETF (UVIX),$17.43,USA,BATS,Not Available,Not Available,Not Available
SAYFF,3 Sixty Risk Solutions Ltd (SAYFF),$0,USA,OTCPK,Industrials,Business Services,Specialty Business Services
DMTRF,3-D Matrix Ltd (DMTRF),$1.11,USA,OTCPK,Healthcare,Medical Devices & Instruments,Medical Devices
TSIOF,361 Degrees International Ltd (TSIOF),$0.48,USA,OTCPK,Consumer Cyclical,Manufacturing - Apparel & Accessories,Footwear & Accessories
KRKR,36KR Holdings Inc (KRKR),$0.74,USA,NAS,Communication Services,Interactive Media,Internet Content & Information
HHHEF,37 Capital Inc (HHHEF),$0.09,USA,OTCPK,Basic Materials,Metals & Mining,Other Industrial Metals & Mining
SCWO,374Water Inc (SCWO),$1.21,USA,NAS,Industrials,Industrial Products,Pollution & Treatment Controls
TOILF,3D Oil Ltd (TOILF),$0.04,USA,OTCPK,Energy,Oil & Gas,Oil & Gas E&P
DPSM,3D Pioneer Systems Inc (DPSM),$0,USA,OTCPK,Technology,Hardware,Computer Hardware
DDD,3D Systems Corp (DDD),$5.32,USA,NYSE,Technology,Hardware,Computer Hardware
TGOPY,3i Group PLC (TGOPY),$14.17,USA,OTCPK,Financial Services,Asset Management,Asset Management
MMM,3M Co (MMM),$98.73,USA,NYSE,Industrials,Conglomerates,Conglomerates
TRSBF,3SBio Inc (TRSBF),$0.80,USA,OTCPK,Healthcare,Biotechnology,Biotechnology
FNINF,49 North Resources Inc (FNINF),$0.01,USA,OTCPK,Financial Services,Asset Management,Asset Management
CATV,4Cable TV International Inc (CATV),$0,USA,OTCPK,Healthcare,Drug Manufacturers,Drug Manufacturers - Specialty & Generic
FDMT,4D Molecular Therapeutics Inc (FDMT),$12.21,USA,NAS,Healthcare,Biotechnology,Biotechnology
LBPWQ,4d pharma PLC (LBPWQ),$0,USA,OTCPK,Healthcare,Biotechnology,Biotechnology
FDMDF,4DMedical Ltd (FDMDF),$0.47,USA,OTCPK,Healthcare,Medical Devices & Instruments,Medical Devices
FRDSF,4DS Memory Ltd (FRDSF),$0.05,USA,OTCPK,Technology,Semiconductors,Semiconductors
FFNTF,4Front Ventures Corp (FFNTF),$0.16,USA,OTCPK,Healthcare,Drug Manufacturers,Drug Manufacturers - Specialty & Generic
COE,51 Talk Online Education Group (COE),$7.50,USA,AMEX,Consumer Defensive,Education,Education & Training Services
JOBS,51job Inc (JOBS),$60.90,USA,NAS,Industrials,Business Services,Staffing & Employment Services
WUBA,58.com Inc (WUBA),$55.88,USA,NYSE,Communication Services,Interactive Media,Internet Content & Information
FVAM,5:01 Acquisition Corp (FVAM),$10.00,USA,NAS,Financial Services,Diversified Financial Services,Shell Companies
FEAM,5E Advanced Materials Inc (FEAM),$1.99,USA,NAS,Basic Materials,Chemicals,Specialty Chemicals
FPLSF,5N Plus Inc (FPLSF),$2.48,USA,OTCPK,Basic Materials,Chemicals,Specialty Chemicals
