enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
4,2001,13.978,2.096,1.653,1.132,2.017,0,2.036,2.441,2.012,0,0.302,0.302,0.205,14.9
4,2002,12.801,1.369,1.09,0.56,0.804,0,0.808,1.065,1.395,0,0.465,0.287,0.07,16.45
4,2003,13.441,1.877,1.639,1.05,1.035,0,1.337,1.549,2.495,0,0.89,0.688,0.064,21.16
4,2004,15.071,2.039,1.783,1.22,1.237,0,1.47,1.751,2.985,0,1.548,1.322,0.072,26.1
4,2005,17.791,2.398,2.104,1.56,1.489,0,1.633,1.964,3.428,0,1.973,1.533,0.087,24.4
4,2006,20.384,2.364,2.005,1.59,1.572,1.925,2.641,2.983,4.142,0.3,2.294,1.655,0.063,29.66
4,2007,24.889,3.438,2.923,1.97,1.993,1.847,2.629,3.052,4.662,0.35,2.713,1.867,0.035,41.21
4,2008,30.75,4.4,3.803,2.65,2.666,2.021,3.016,3.405,4.955,0.42,3.474,2.326,0.011,41.36
4,2009,29.461,4.056,3.423,2.44,2.671,2.236,3.708,4.018,7.303,0.5,4.551,3.227,0.002,33
4,2010,30.126,4.44,3.821,2.66,2.683,2.733,3.722,4.033,7.746,1.125,4.537,3.191,0.003,36.6
4,2011,36.804,5.436,4.746,3.39,3.391,3.172,4.088,4.631,8.896,0.9,6.047,4.283,0.007,53.59
4,2012,40.938,6.204,5.388,3.84,3.842,4.509,5.341,5.852,10.488,1.35,6.546,4.627,0,61.6
4,2013,42.608,6.934,6.103,4.93,4.618,3.495,4.112,4.631,8.859,1.62,7.799,4.427,0.04,72.25
4,2014,46.036,7.129,6.233,4.52,4.501,3.164,4.57,5.035,7.834,1.86,9.12,4.675,0.043,81.06
4,2015,48.492,7.471,6.519,4.76,4.76,4.585,5.571,6.153,6.962,2.04,9.787,4.37,0.044,94.27
4,2016,52.11,9.508,8.416,6.45,5.464,6.313,6.246,6.99,7.908,2.2,12.173,5.535,0.044,115
4,2017,54.775,8.227,7.013,5.44,5.44,4.612,6.748,7.53,6.709,2.42,14.539,5.258,0.041,130.76
4,2018,62.556,10.307,8.893,6.34,6.34,6.793,8.252,9.197,7.925,2.66,16.219,6.721,0.039,169.07
4,2019,66.464,11.023,9.65,7.36,7.36,7.77,9.271,10.192,9.642,2.92,22.664,11.581,0.036,198.17
4,2020,68.427,13.246,10.509,7.89,7.46,10.27,11.757,12.682,13.419,3.2,26.808,14.65,5.496,239.93
4,2021,78.236,15.036,12.108,9.16,8.8,11.422,12.997,13.895,12.929,3.52,30.897,13.295,5.548,336.56
4,2022,95.816,17.628,14.379,10.71,10.824,11.594,13.725,14.842,12.507,3.88,35.024,14.216,5.269,288.46
4,2023,100.395,17.958,14.386,10.77,11.67,11.265,14.087,14.914,14.404,4.48,40.895,16.108,5.012,323.77
