enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
17,2003,10.545,1.905,1.098,0.702,0.702,0,0.661,1.576,0.371,0,6.381,0.664,4.336,0
17,2004,12.779,2.504,1.522,0.913,0.913,0,0.853,2.088,0.811,0,7.855,0.616,5.28,0
17,2005,15.034,4.208,3.032,1.263,1.823,0,0.919,2.428,1.439,0,11.69,0.353,6.461,0
17,2006,14.313,4.127,3.037,1.111,1.357,0,1.503,2.953,0.957,0,13.464,-0.675,6.917,0
17,2007,17.913,5.908,4.436,1.898,2.047,3.459,2.567,4.424,1.143,0,17.689,-0.576,8.668,0
17,2008,20.117,7.582,6.147,3.06,3.11,4.326,3.461,5.665,2.249,0,20.387,-2.183,10.5,0
17,2009,23.507,7.6,5.688,1.93,2.306,2.482,2.881,5.533,2.001,0,14.005,-32.101,38.609,0
17,2010,23.075,9.571,7.802,2.9,2.974,4.435,4.652,5.728,2.334,0,18.898,-28.032,31.834,52.03
17,2011,22.531,8.479,6.748,2.5,3.13,4.589,4.693,6.148,3.21,0.494,21.966,-25.292,27.968,57.09
17,2012,24.192,9.592,7.867,3.58,3.95,6.064,5.644,7.736,3.394,1.181,23.47,-23.54,25.135,60.99
17,2013,24.421,9.945,8.257,4.4,4.42,6.327,6.145,8.15,8.662,1.574,25.688,-21.836,27.677,87.41
17,2014,26.179,14.57,12.761,8.72,4.81,10.888,6.058,8.402,6.202,3.028,31.356,-30.443,30.584,106.46
17,2015,28.266,11.778,9.765,5.54,5.32,8.038,5.855,8.495,5.387,3.253,31.09,-31.548,31.805,112.32
17,2016,25.818,10.709,8.819,4.96,5.1,7.689,5.619,8.466,4.344,3.951,26.232,-32.746,30.794,125
17,2017,25.936,7.209,5.228,0.71,2.77,1.865,2.924,5.761,7.361,4.004,36.882,-56.747,63.458,105.44
17,2018,27.293,9.96,7.659,3.98,4.299,5.391,5.095,7.423,6.09,4.046,37.532,-59.077,61.333,111.56
17,2019,26.375,10.754,8.455,2.17,2.035,3.94,5.002,7.491,3.66,3.299,32.959,-58.092,57.089,65.81
17,2020,25.829,11.02,8.722,4.53,4.222,5.917,4.374,6.928,3.741,2.007,38.646,-48.405,52.589,82.04
17,2021,23.015,5.674,3.303,0.69,1.314,2.126,3.49,5.347,7.934,0.567,34.491,-47.902,49.976,69.91
17,2022,26.555,8.731,6.261,2.28,2.711,5.088,4.479,7.237,5.511,0.601,30.342,-38.688,39.251,60.55
17,2023,28.188,9.29,6.813,2.91,3.286,4.257,3.97,6.487,5.076,0.543,36.999,-40.237,40.322,60.04
