enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
24,1994,28.145,3.99,2.107,0.97,4.041,0,0.69,3.242,1.547,0.875,10.742,10.742,5.785,21.78
24,1995,27.509,4.281,2.416,1.3,1.3,0,-0.391,2.222,1.002,0.925,11.198,11.198,6.246,22.31
24,1996,28.433,4.272,1.679,0.715,0.715,0,0.419,3.125,1.068,0.963,11.003,11.003,6.383,26.19
24,1997,33.621,5.607,3.909,1.995,1.995,0,1.818,4.44,1.253,1.04,11.961,11.961,5.125,32.5
24,1998,31.888,6.168,4.419,2.475,2.475,2.066,0.52,3.484,1.273,1.14,13.318,13.318,4.625,38.5
24,1999,23.277,3.473,1.706,1.02,1.02,-0.093,-0.114,2.842,1.082,1.22,13.042,13.042,5.787,41.47
24,2000,64.983,13.63,9.889,1.57,1.2,3.337,-0.094,5.892,2.261,1.24,22.466,22.466,14.633,43.31
24,2001,91.102,20.794,16.725,3.985,3.545,6.736,4.464,10.299,2.528,1.3,25.792,25.792,12.413,42.22
24,2002,50.015,11.492,8.169,1.545,2.096,1.882,0.821,5.393,1.476,1.325,15.91,15.91,8.16,44.81
24,2003,46.135,9.022,6.602,0.53,1.629,0.374,1.098,4.655,1.77,1.4,14.794,14.794,7.616,33.24
24,2004,58.374,12.347,9.783,3.48,3.25,3.065,3.22,5.928,2.463,1.43,16.974,16.974,5.891,43.5
24,2005,73.176,15.994,13.669,6.28,5.586,5.667,3.949,6.922,5.098,1.53,21.465,21.465,5.349,52.51
24,2006,91.938,18.743,16,6.54,6.31,7.057,5.29,9.326,4.991,1.75,28.072,25.996,5.764,56.77
24,2007,95.631,18.207,14.79,7.8,7.535,8.671,4.783,11.07,5.288,2.01,31.847,29.711,4.545,73.53
24,2008,103.614,19.3,15.216,8.77,7.956,9.355,3.893,11.715,3.872,2.26,36.877,34.658,3.46,93.33
24,2009,130.556,25.651,21.003,11.67,11.67,10.397,4.861,14.455,4.77,2.53,43.233,40.928,4.441,73.97
24,2010,84.118,15.325,9.273,5.24,5.24,3.943,-0.235,9.682,4.394,2.66,45.78,43.48,5.237,76.99
24,2011,98.753,22.752,15.997,9.48,9.48,9.31,5.851,15.622,7.081,2.84,52.345,50.045,5.717,91.25
24,2012,122.124,25.781,19.14,13.44,13.44,14.38,7.294,20.537,10.131,3.09,61.268,58.925,5.124,106.4
24,2013,117.349,24.927,17.818,13.32,13.32,12.066,4.007,19.752,11.256,3.51,70.131,67.747,6.263,108.14
24,2014,113.952,21.782,14.085,11.09,11.09,7.464,-1.544,18.117,8.631,3.9,77.923,75.499,10.677,124.91
24,2015,106.419,25.939,16.562,10.14,10.14,6.269,-2.087,16.706,7.031,4.21,82.477,80.034,14.8,112.18
24,2016,69.293,15.034,2.582,2.45,2.45,-2.054,-5.359,10.377,6.019,4.28,81.111,78.674,20.474,89.96
24,2017,58.844,9.603,-1.046,-0.27,-0.27,-6.303,-2.893,6.775,3.701,4.29,76.952,74.53,24.386,117.7
24,2018,70.956,15.319,5.02,4.85,4.85,1.982,3.653,10.715,2.532,4.32,77.768,75.389,20.351,125.19
24,2019,83.021,21.645,11.141,7.74,7.74,9.369,8.791,15.997,5.437,4.48,81.223,78.848,18.109,108.79
24,2020,73.807,18.852,3.342,1.54,1.54,9.786,6.965,14.414,3.054,4.76,76.621,74.249,14.331,120.51
24,2021,49.204,7.181,-3.519,-2.96,-2.96,-0.144,0.862,5.509,2.923,5.16,68.403,66.116,23.019,84.45
24,2022,81.045,21.039,11.641,8.14,8.14,12.596,11.006,15.202,2.941,5.31,72.063,69.79,16.255,117.35
24,2023,121.504,34.534,25.871,18.28,18.28,24.107,19.396,25.568,9.347,5.68,83.166,80.701,12.186,179.49
