enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
29,2002,0.006,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0
29,2003,0.031,0.015,0.013,0.007,0.007,0,0.008,0.011,0.01,0,0.009,0.009,0.001,0
29,2004,0.105,0.029,0.025,0.008,0.008,0,0.016,0.028,0.024,0,0.039,0.031,0,0
29,2005,0.292,0.073,0.06,0.037,0.048,0,0.057,0.089,0.195,0,0.268,0.25,0,96.49
29,2006,0.526,0.209,0.184,0.126,0.131,0,0.139,0.211,0.676,0,0.793,0.77,0,207.63
29,2007,0.856,0.333,0.287,0.249,0.246,0,0.135,0.289,0.905,0,1.371,1.219,0,232.46
29,2008,1.312,0.478,0.402,0.332,0.33,0,0.267,0.457,1.135,0,1.812,1.593,0,346.08
29,2009,1.716,0.64,0.522,0.333,0.399,6.63,0.433,0.618,1.258,0,2.241,1.778,0,153.97
29,2010,1.851,0.775,0.656,0.51,0.52,10.74,0.666,0.729,1.928,0,2.835,2.388,0,310.29
29,2011,2.268,0.943,0.835,0.658,0.668,12.11,0.546,0.857,2.599,0,3.601,3.033,0.27,297.27
29,2012,2.896,1.088,0.946,0.744,0.788,15.79,0.85,1.113,3.437,0,4.478,3.791,0.324,323.26
29,2013,3.464,1.318,1.095,0.808,0.872,18.08,1.004,1.25,3.576,0,5.439,4.073,0.416,354.04
29,2014,4.097,1.47,1.179,0.94,0.987,19.51,0.834,1.377,4.281,0,6.506,5.197,0.391,560.89
29,2015,4.803,1.626,1.263,1.029,0.992,1.06,0.874,1.676,4.598,0,7.624,6.141,0.385,26.248
29,2016,5.411,1.791,1.425,1.142,1.187,1.04,1.199,1.917,5.315,0,8.753,7.319,0.38,37.944
29,2017,6.46,2.177,1.737,1.393,1.424,1.52,1.848,2.579,6.244,0,10.056,8.626,0.285,38.591
29,2018,7.878,2.432,1.94,0.9,1.023,1.45,1.699,2.636,7.331,0,10.975,9.576,0.286,52.32
29,2019,9.727,3.133,2.49,2.185,2.091,2.39,1.623,3.41,7.846,0,12.769,11.323,0.288,51.781
29,2020,11.585,3.687,2.843,2.458,2.383,2.42,2.217,3.902,8.693,0,14.633,12.991,1.16,66.851
29,2021,13.284,4.506,3.509,2.931,2.566,3.07,3.118,4.74,10.122,0,16.479,14.804,1.982,87.594
29,2022,19.01,7.638,6.72,5.61,4.866,5.34,4.944,6.762,10.546,0,19.002,17.162,2.144,144.68
29,2023,21.494,6.658,5.448,4.56,4.955,3.53,4.56,6.953,8.854,0,19.935,17.519,2.31,88.73
