enterprise_id,years,revenue_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
31,2001,0.043,0.057,0.057,0,0.15,0.181,0.696,0,0.287,0.287,0.503,0
31,2002,0.204,0.068,0.068,0,0.066,0.105,0.761,0,0.485,0.485,0.523,1.54
31,2003,0.27,0.079,0.079,0,0.268,0.325,0.537,0.016,0.586,0.586,0.531,1.55
31,2004,0.396,0.109,0.109,0,0.872,0.921,0.778,0.02,0.736,0.736,0.711,3.01
31,2005,0.57,0.156,0.156,-0.04,-0.016,0.041,0.836,0.024,1.097,1.097,1.492,4.2
31,2006,0.772,0.197,0.197,0.61,0.619,0.699,1.53,0.027,1.184,1.184,1.986,5.45
31,2007,1.12,0.236,0.236,0.48,0.653,0.722,2.007,0.038,1.408,1.408,2.775,6.45
31,2008,1.612,0.282,0.297,-1.51,-1.204,-1.065,3.104,0.052,2.514,2.514,3.419,9.82
31,2009,1.5,0.212,0.214,1.5,1.678,1.775,2.362,0.045,3.441,2.232,1.308,6.09
31,2010,1.85,0.367,0.367,1.31,1.54,1.629,4.291,0.063,4.406,3.197,2.509,13.94
31,2011,2.213,0.587,0.587,0.44,0.631,0.715,5.653,0.077,4.975,3.807,2.44,16.99
31,2012,2.261,0.629,0.629,0.26,0.374,0.474,4.332,0.098,5.014,4.011,3.693,17.05
31,2013,2.567,0.714,0.714,0.64,0.711,0.826,4.881,0.109,5.427,4.538,5.106,18.71
31,2014,2.692,0.811,0.811,1.21,1.2,1.299,5.653,0.14,5.457,4.686,5.601,20.52
31,2015,3.1,0.974,0.974,0.98,0.985,1.073,4.936,0.154,7.186,6.468,6.438,29.45
31,2016,3.429,1.039,1.039,1.46,1.41,1.498,4.712,0.179,7.711,7.046,6.882,30.82
31,2017,4.091,1.244,1.244,3.31,3.245,3.357,5.041,0.217,9.128,8.461,9.369,37.61
31,2018,5.009,1.575,1.575,0.2,0.751,0.832,6.39,0.256,10.434,9.768,15.214,49.39
31,2019,5.324,1.755,1.755,0.86,1.331,1.462,6.78,0.268,12.94,12.346,13.464,57.96
31,2020,5.787,1.902,1.902,0.31,1.117,1.251,5.334,0.3,13.894,13.344,10.785,38.46
31,2021,6.986,2.431,2.431,7.5,6.742,6.875,7.782,0,16.139,15.579,11.093,77.69
31,2022,7.215,2.732,2.732,3.32,3.926,4.112,11.355,0.255,17.785,17.253,15.526,61.33
31,2023,7.867,3.234,3.234,2.69,2.83,3.115,15.45,0.547,19.033,18.543,21.188,66.67
