enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
35,2005,1.177,0.259,0.195,0.135,0.135,0,0.127,0.262,0.163,0,0.502,0.486,0.06,0
35,2006,1.316,0.285,0.213,0.156,0.156,0,0.124,0.277,0.192,0,0.564,0.547,0.055,0
35,2007,1.714,0.374,0.284,0.209,0.209,0,0.112,0.292,0.189,0,0.719,0.695,0.04,0
35,2008,2.238,0.509,0.391,0.296,0.296,0,0.209,0.431,0.348,0,0.995,0.962,0.098,0
35,2009,2.217,0.466,0.343,0.267,0.267,0,0.18,0.378,0.312,0,1.004,0.972,0.053,0
35,2010,2.537,0.554,0.406,0.302,0.302,0.4,0.417,0.531,0.554,0.15,1.22,1.186,0.009,6.25
35,2011,2.687,0.636,0.491,0.372,0.372,0.33,0.4,0.548,0.737,0.138,1.37,1.336,0.001,7.53
35,2012,2.856,0.683,0.531,0.4,0.4,0.26,0.249,0.499,0.718,0.169,1.535,1.363,0.093,8.72
35,2013,3.402,0.835,0.665,0.504,0.504,0.36,0.385,0.665,0.875,0.235,1.802,1.627,0.118,13.95
35,2014,3.657,0.858,0.671,0.52,0.52,0.35,0.345,0.618,0.887,0.295,2.021,1.836,0.13,14.9
35,2015,3.379,0.765,0.596,0.466,0.466,0.32,0.271,0.606,0.75,0.223,1.946,1.781,0.126,14.7
35,2016,3.645,0.819,0.641,0.501,0.501,0.46,0.52,0.785,0.926,0.283,1.99,1.835,0.129,16.42
35,2017,3.982,0.868,0.687,0.539,0.539,0.4,0.461,0.706,1.035,0.32,2.138,1.985,0.151,16.54
35,2018,4.962,1.043,0.854,0.66,0.66,0.38,0.429,0.776,1.254,0.415,2.643,2.463,0.183,17.88
35,2019,4.793,1.016,0.814,0.631,0.631,0.39,0.441,0.739,1.246,0.426,2.686,2.5,0.196,14
35,2020,5.04,1.365,0.862,0.648,0.648,0.83,1.024,1.229,1.443,0.488,2.657,2.547,1.272,16.82
35,2021,3.991,0.895,0.299,0.216,0.216,0.4,0.452,0.59,1.481,0.213,2.839,2.713,1.241,14.85
35,2022,5.035,1.314,0.783,0.589,0.589,0.86,1.022,1.227,1.706,0.196,2.857,2.713,1.092,15.17
35,2023,5.638,1.445,0.952,0.715,0.715,0.93,0.91,1.155,1.746,0.499,2.945,2.771,0.969,15.62
