enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
36,1994,1.245,0.582,0.481,0.33,0.313,0.245,0.123,0.397,0.469,0.013,1.121,1.121,0.138,3.88
36,1995,1.648,0.634,0.484,0.33,0.33,0.232,0.071,0.42,0.365,0.014,1.402,1.402,0.138,3.99
36,1996,2.291,0.938,0.743,0.51,0.51,0.301,0.066,0.568,0.374,0.018,1.848,1.848,0.114,7.09
36,1997,2.935,1.329,1.064,0.73,0.73,0.912,0.805,1.231,1.204,0.023,2.569,2.569,0.17,16.37
36,1998,3.492,1.682,1.377,0.97,0.97,1.029,0.767,1.394,1.494,0.028,2.963,2.963,0.118,17.56
36,1999,3.735,1.622,1.215,0.865,0.863,0.899,0.837,1.343,1.15,0.033,3.526,3.509,0.13,29.64
36,2000,4.235,1.982,1.464,1.05,1.004,1.341,1.258,1.748,1.768,0.055,4.879,4.139,0.178,41.16
36,2001,4.828,2.196,1.504,1.51,1.511,1.699,0.881,1.836,2.057,0.07,5.553,4.669,0.161,30.06
36,2002,3.858,1.31,0.357,0.19,0.262,0.381,0.215,1.278,1.726,0.08,5.356,4.709,0.218,31.45
36,2003,3.96,1.442,0.651,0.46,0.464,0.524,0.655,1.351,1.914,0.08,5.394,4.736,0.208,15.57
36,2004,4.552,1.904,1.138,0.85,0.921,0.845,1.187,1.739,2.492,0.08,5.834,5.263,0.179,32.05
36,2005,5.268,2.313,1.56,1.16,1.156,1.272,1.428,2.02,2.746,0.16,6.17,5.575,0.145,23.39
36,2006,6.285,2.701,1.957,1.4,1.399,1.636,1.458,2.399,2.158,0.32,6.113,5.459,0.409,24.96
36,2007,6.017,1.891,1.056,0.86,0.856,0.945,0.823,1.806,1.734,0.4,6.373,5.703,0.352,20.25
36,2008,6.458,2.241,1.433,1.18,1.246,1.236,1.285,2.127,2.211,0.45,7.388,6.711,0.367,26.66
36,2009,6.539,2.142,1.339,0.92,1.017,0.557,0.997,1.901,1.561,0.548,7.11,6.403,0.231,14.66
36,2010,6.223,1.906,1.011,0.77,0.802,0.945,1.179,1.979,2.52,0.56,7.551,6.75,0.402,20.4
36,2011,7.659,3.631,2.817,2.01,1.952,2.085,2.014,2.93,3.971,0.63,8.969,7.991,0.384,21.03
36,2012,9.979,4.414,3.294,2.39,2.347,2.854,1.873,3.874,2.967,0.782,9.182,6.078,1.466,24.25
36,2013,10.337,4.358,2.9,2.13,2.098,2.221,1.365,3.66,3.674,0.87,10.357,7.131,2.72,20.62
36,2014,10.341,4.098,2.522,1.89,1.845,2.375,1.968,4.076,4.044,0.9,11.729,8.575,2.707,25.96
36,2015,11.05,4.854,3.163,2.31,2.283,2.116,2.04,4.038,2.96,0.9,11.766,8.542,2.876,36.29
36,2016,11.311,4.753,2.973,2.33,2.49,1.718,2.389,3.886,5.357,0.96,12.928,9.697,4.798,34.45
36,2017,12.182,4.402,2.804,2.12,2.72,2.436,2.499,4.473,3.615,1.04,14.001,9.013,5.345,36.27
36,2018,12.981,6.024,4.343,1.99,3.46,3.468,2.137,4.573,2.987,1.078,14.726,6.803,5.721,46.16
36,2019,15.071,6.992,5.06,4.48,4.58,4.106,3.031,6.261,2.58,1.2,16.511,8.462,5.837,46.93
36,2020,16.089,7.908,5.488,4.71,4.97,4.999,3.785,7.41,3.059,1.26,18.066,9.417,6.76,59.85
36,2021,18.4,8.966,6.074,4.94,5.1,5.719,4.946,8.361,5.883,1.32,19.95,11.088,8.961,49.82
36,2022,19.321,8.335,5.452,4.86,5.3,3.045,2.232,7.202,7.187,1.39,23.438,15.027,9.364,51.5
36,2023,15.293,5.166,2.004,1.94,1.84,-0.047,-2.333,3.743,6.85,1.46,24.516,16.392,10.154,26.43
