enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
41,1994,8.988,2.216,1.25,0.435,0.513,0,0.645,1.53,0.126,0.125,2.361,2.361,5.058,8.31
41,1995,9.683,2.632,1.657,0.725,0.75,0,0.793,1.957,0.228,0.14,3.043,2.716,4.588,10.25
41,1996,10.912,2.817,1.849,0.91,0.87,0.63,0.038,2.119,0.053,0.2,3.988,3.369,4.689,16.81
41,1997,13.987,3.537,2.216,0.885,0.998,0.683,-0.902,1.905,0.2,0.19,6.108,2.384,10.366,23.06
41,1998,14.431,3.907,2.554,1.23,1.145,0.596,-0.457,2.292,0.137,0.22,6.742,2.888,10.501,22.5
41,1999,14.793,4.01,2.58,1.3,1.243,0.786,0.499,2.889,0.108,0.25,7.4,3.364,10.389,17.63
41,2000,14.298,3.696,2.324,1.33,1.158,0.689,0.974,2.987,0.239,0.28,7.199,7.199,9.415,25.16
41,2001,15.653,3.656,2.194,1.125,1.228,0.016,0.605,2.79,0.097,0.31,7.394,7.394,9.854,22.19
41,2002,15.773,3.972,2.446,1.31,1.4,0.931,1.3,3.119,0.12,0.34,7.638,7.638,9.217,27.63
41,2003,15.563,4.267,2.801,1.24,1.53,1.159,1.527,3.038,0.12,0.38,7.21,4.021,8.467,28.89
41,2004,16.958,4.348,2.786,1.77,1.782,1.477,0.465,3.435,0.153,0.458,9.47,6.001,8.636,38.2
41,2005,19.897,5.072,3.328,2.1,2.054,2.025,1.735,3.751,0.077,0.6,11.149,6.084,10.892,44.15
41,2006,23.222,5.939,3.922,2.2,2.2,2.736,1.814,4.474,0.537,0.72,12.105,7.061,10.694,52.96
41,2007,25.278,6.727,4.613,3,2.928,3.204,1.98,5.32,0.112,1,14.193,8.945,9.87,59.33
41,2008,28.943,7.881,5.498,3.62,3.613,3.632,1.792,6.028,0.054,1.2,16.415,9.708,13.382,88.71
41,2009,33.917,8.64,5.969,3.8,4.162,3.139,1.341,6.403,0.104,1.5,13.055,6.444,16.364,59.36
41,2010,28.67,7.75,5.042,4.01,4.875,2.551,2.612,6.94,0.147,1.6,17.342,10.125,16.494,80.31
41,2011,32.486,9.679,6.709,3.84,4.74,3.661,1.66,6.118,0.128,1.8,19.053,11.822,18.28,95.47
41,2012,36.685,11.365,8.095,5.45,5.43,4.441,2.145,8.004,0.301,2,18.383,9.878,21.981,106.9
41,2013,37.185,11.44,8.123,5.61,5.57,4.652,1.895,9.117,0.53,2.2,20.471,11.424,24.852,109.45
41,2014,39.888,12.503,8.794,5.87,5.93,4.423,3,9.757,0.469,2.4,22.469,9.584,29.956,130.03
41,2015,41.518,12.78,8.822,5.73,6.27,3.915,4.053,9.766,0.436,2.6,19.439,6.565,31.892,129.56
41,2016,37.28,11.856,8.03,5.35,5.8,3.344,3.992,9.323,0.516,2.86,15.407,2.931,32.403,102.4
41,2017,36.607,11.677,7.777,5.21,5.48,3.52,4.601,9.692,1.839,3,17.624,4.637,33.398,117.19
41,2018,39.286,12.704,8.609,4.32,5.85,4.73,5.984,10.518,2.151,3.15,20.985,6.974,31.383,154.68
41,2019,44.402,21.495,16.018,13.11,6.35,10.278,5.444,11.08,8.161,3.3,94.284,15.531,27.951,156.04
41,2020,51.778,14.396,5.82,4.19,7.34,8.769,4.597,11.351,5.053,3.5,91.833,11.074,27.943,212.9
41,2021,51.29,15.56,6.851,4.71,8.23,9.8,7.585,13.986,7.174,3.852,90.421,5.603,32.913,263.51
41,2022,59.005,18.978,10.096,7.33,10.69,14.018,12.721,18.635,5.55,4.24,86.567,6.281,29.913,346.43
41,2023,66.193,19.764,11.424,8.23,12.29,10.424,11.291,17.586,11.039,4.68,81.282,3.637,38.158,326.18
