enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
61,1994,10.415,1.621,1.231,0.725,0.669,0.562,0.622,1.254,0.867,0.31,2.517,1.146,2.322,13.26
61,1995,11.201,1.839,1.42,0.87,0.816,0.606,0.476,1.194,0.793,0.35,3.159,1.494,2.232,17.86
61,1996,11.749,2.056,1.603,0.98,0.907,0.694,0.659,1.385,0.919,0.4,3.587,2.026,2.11,22.52
61,1997,11.882,2.317,1.823,1.1,1.053,1.304,1.247,1.954,1.151,0.45,3.771,2.309,1.848,35.1
61,1998,11.926,2.457,1.944,1.18,1.137,0.843,0.747,1.568,0.899,0.505,3.894,1.273,3.008,45.26
61,1999,26.351,5.807,4.322,1.27,1.165,1.263,1.877,3.832,1.061,0.57,3.894,1.309,3.554,44.36
61,2000,27.993,5.707,4.172,1.17,1.034,0.974,1.161,3.276,0.613,0.64,4.039,0.675,4.692,28.46
61,2001,13.96,2.493,1.685,1.035,0.883,1.234,1.18,2.065,0.972,0.7,3.978,0.775,4.64,31.71
61,2002,14.321,2.979,2.377,1.545,1.47,1.799,2.158,2.755,1.393,0.76,4.64,-0.522,5.74,44.65
61,2003,15.477,3.41,2.802,1.7,1.642,2.213,2.575,3.104,2.39,0.82,5.619,0.423,5.25,44.59
61,2004,18.425,3.984,3.363,2.2,2.162,2.543,2.628,3.353,2.316,0.933,6.192,-3.203,8.193,54.44
61,2005,20.73,4.513,3.825,2.53,2.442,2.434,2.374,3.171,3.289,1.03,6.871,-2.9,9.838,52.75
61,2006,20.762,4.832,4.032,2.64,2.58,2.655,2.65,3.462,2.462,1.15,19.333,-8.673,11.987,55.6
61,2007,23.057,5.602,4.658,3.04,2.92,3.28,3.163,4.051,1.78,1.28,20.942,-7.954,11.348,61.19
61,2008,24.647,6.11,5.155,3.64,3.455,3.9,3.606,4.525,1.092,1.45,22.453,-8.526,12.083,60.81
61,2009,24.316,5.977,5,4.26,3.297,4.632,3.703,4.73,1.639,1.64,21.178,-9.374,12.675,51.1
61,2010,25.027,6.105,5.102,4.11,3.47,5.066,4.215,5.205,1.012,1.802,21.044,-9.077,10.491,59.98
61,2011,27.018,6.218,5.273,3.93,3.87,3.457,3.339,4.441,1.001,1.97,24.011,-8.597,11.575,63.57
61,2012,27.882,5.61,4.521,3.66,3.79,3.463,3.169,4.517,1.614,2.137,22.651,-8.194,10.836,61.25
61,2013,27.338,6.083,5.066,3.86,3.89,3.946,3.707,5.075,2.169,2.288,24.405,-7.232,11.502,76.99
61,2014,25.614,5.976,4.895,4.01,3.85,3.488,3.481,4.805,3.942,2.448,25.123,-6.066,13.065,78.59
61,2015,24.535,5.123,4.036,2.44,3.76,2.26,3.77,5.066,4.274,2.594,22.598,-3.054,11.179,78.24
61,2016,22.957,5.986,4.904,3.69,3.67,3.894,4.261,5.426,5.003,2.658,21.103,-4.713,11.469,84.67
61,2017,23.74,6.036,5.007,5.59,3.92,5.106,3.419,4.654,5.928,2.698,21.219,-5.76,12.373,87.15
61,2018,25.156,6.273,5.206,3.67,4.22,3.963,4.197,5.596,4.744,2.786,20.546,-7.106,12.524,78.06
61,2019,26.652,3.702,2.59,1.43,4.52,1.389,4.684,6.002,4.107,2.898,18.471,-7.275,12.014,109.65
61,2020,27.02,7.355,6.207,4.96,5.12,5.242,5.457,6.628,6.525,3.028,18.399,-7.287,14.265,119.57
61,2021,29.265,8.017,6.965,5.5,5.66,5.606,5.992,7.063,4.234,3.242,18.73,-7.844,13.515,134.93
61,2022,31.581,8.366,7.26,5.81,5.81,5.294,5.343,6.586,3.014,3.523,19.11,-7.366,13.49,143.79
61,2023,33.015,8.786,7.693,5.9,5.9,5.319,5.55,6.783,3.491,3.681,19.456,-7.825,14.997,151.74
