enterprise_id,years,revenue_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
65,1994,3.838,0.087,0.087,0,0.808,0.934,6.524,0.219,3.409,3.141,2.065,0
65,1995,4.346,0.592,0.592,0,0.906,1.055,9.694,0.215,3.726,3.383,2.049,0
65,1996,4.309,0.65,0.65,0,0.637,0.788,10.472,0.219,4.164,3.967,2.09,5.625
65,1997,4.672,0.759,0.759,0,-1.5,-1.358,14.12,0.247,5.117,5.117,2.162,8.25
65,1998,5.328,0.874,0.874,0,2.142,2.31,12.079,0.275,5.031,4.676,2.471,13.422
65,1999,5.2,0.841,0.841,-1.55,-2.523,-2.255,8.591,0.286,5.108,4.789,2.142,11.5
65,2000,5.677,0.839,0.839,-2.31,2.482,2.618,12.622,0.316,5.716,5.354,2.518,10.797
65,2001,6.51,1.124,1.124,-7.32,-6.586,-6.433,10.759,0.379,6.313,5.844,3.197,15.813
65,2002,7.902,1.129,1.129,-3.73,-3.723,-3.541,8.276,0.437,7.618,5.004,2.98,14.75
65,2003,8.05,1.305,1.305,-1.7,-1.608,-1.413,10.156,0.482,8.211,5.511,3.15,17.635
65,2004,9.73,1.66,1.66,2.65,-5.763,-5.54,10.119,0.637,10.113,7.135,3.599,24.09
65,2005,10.89,1.692,1.884,0.42,0.913,1.181,6.203,0.864,10.801,7.816,6.475,26.01
65,2006,12.489,2.183,2.497,-19.53,-19.471,-19.222,6.717,1.004,12.564,9.537,6.277,35.355
65,2007,14.069,3.181,3.199,-10.2,-10.096,-9.748,10.309,1.264,14.577,11.156,8.589,44.39
65,2008,17.861,4.296,4.296,14.03,14.923,15.484,12.939,1.856,17.985,13.664,8.048,59.16
65,2009,13.804,2.853,2.853,8.38,6.503,7.312,19.589,1.682,17.681,10.117,8.517,38.73
65,2010,17.753,2.437,3.66,3.2,4.508,4.971,11.555,1.896,21.465,14.508,4.321,50.4
65,2011,17.872,3.399,3.753,6.44,7.081,7.739,14.957,1.953,23.537,17.766,4.606,53.38
65,2012,18.422,4.109,4.462,-0.29,2.017,2.985,12.877,2.04,23.785,17.155,5.965,48.92
65,2013,19.996,4.974,5.095,-2.69,-2.047,-1.136,16.03,2.31,27.652,20.524,5.337,57.03
65,2014,20.073,5.298,5.289,3.38,4.049,4.662,16.466,2.441,28.838,21.399,4.984,67.18
65,2015,20.852,5.351,5.44,8.09,8.567,9.321,15.968,2.533,30.065,23.001,116.234,71.17
65,2016,18.522,5.148,5.166,11.66,12.039,12.745,18.625,2.356,30.235,23.82,127.484,56.83
65,2017,19.225,5.117,4.896,12.34,12.93,13.564,21.735,2.445,32.67,24.641,113.568,62.48
65,2018,21.585,5.997,5.914,19.02,19.562,20.295,33.341,2.76,36.806,28.352,124.669,78.15
65,2019,22.54,6.429,6.417,7.88,8.214,9.264,35.639,2.899,39.312,30.854,134.684,72.84
65,2020,24.087,6.634,6.628,5.97,6.318,7.507,34.279,3.086,41.256,32.821,144.018,80.66
65,2021,24.942,5.916,5.935,70.09,72.114,73.506,83.98,3.246,42.929,34.391,142.15,69.99
65,2022,27.924,8.895,8.896,34.11,33.178,34.41,109.235,3.474,51.909,43.257,172.221,104.01
65,2023,25.341,8.079,8.046,10.42,10.101,11.4,95.115,3.623,53.113,43.433,224.162,92.47
