enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
87,1994,19.64,2.447,1.466,1.045,0.824,0.855,0.913,2.309,0.198,0.72,6.869,6.869,2.539,15.78
87,1995,19.781,2.391,1.396,1.018,0.787,0.889,0.637,1.955,0.233,0.728,7.42,7.42,2.554,15.19
87,1996,21.595,2.919,1.841,1.295,1.033,1.247,1.345,2.772,0.304,0.75,8.048,8.048,2.018,20.13
87,1997,23.159,3.053,1.996,1.505,1.167,1.499,1.181,2.611,0.594,0.78,8.704,8.704,1.962,24.5
87,1998,35.103,4.959,3.323,1.685,1.201,2.676,1.947,4.263,0.824,0.813,8.846,8.846,2.025,30.59
87,1999,33.564,3.497,1.804,1.14,0.602,1.767,0.751,3.331,0.502,0.82,12.639,12.639,3.504,36.56
87,2000,26.079,2.56,1.374,1.125,0.948,1.095,0.595,2.145,0.253,0.835,9.127,9.127,2.728,40.28
87,2001,32.971,8.482,7.344,2.52,2.51,2.723,2.061,3.262,1.022,0.88,10.21,10.21,1.94,43.47
87,2002,30.695,7.996,6.85,2.21,2.238,1.714,1.861,3.302,0.962,1.13,10.745,10.745,1.586,39.3
87,2003,29.98,7.165,5.947,1.68,1.51,1.62,1.441,3.118,1.079,0.92,11.134,11.134,1.604,35
87,2004,37.051,9.876,8.518,3.23,2.627,3.341,2.348,4.279,1.618,0.98,13.69,13.69,1.453,41
87,2005,45.77,8.051,6.551,3.89,3.718,5.073,4.387,6.228,2.895,1.06,15.897,15.897,1.296,51.26
87,2006,58.582,11.218,9.597,5.71,5.312,6.571,5.421,7.608,4.675,1.14,18.129,18.129,1.303,56.17
87,2007,63.29,18.587,16.674,6.62,6.099,7.044,5.669,8.26,4.93,1.28,19.872,19.872,1.457,76.63
87,2008,70.732,15.04,12.85,7.26,7.26,8.008,6.546,9.297,6.41,1.37,22.624,22.624,1.777,93.69
87,2009,89.296,18.471,16.1,8.66,8.66,9.477,7.738,11.438,6.477,1.55,22.86,21.669,1.907,79.83
87,2010,62.591,9.745,7.287,3.98,3.98,3.673,1.227,5.866,2.298,1.66,23.391,23.391,2.032,68.19
87,2011,75.58,13.881,10.867,6.22,6.22,6.902,4.399,9.886,1.572,1.74,29.492,29.492,3.015,73.12
87,2012,95.899,18.293,15.093,8.42,8.42,8.355,5.004,11.364,2.675,1.85,32.614,32.614,3.598,84.76
87,2013,97.56,20.514,17.081,9.7,9.7,9.051,4.732,12.137,2.128,2.18,36.842,36.842,2.572,86.55
87,2014,95.233,16.95,13.062,7.37,7.37,5.034,2.545,10.164,1.071,2.46,40.139,40.139,5.236,101.2
87,2015,92.038,16.164,12.124,7.6,7.6,4.324,2.841,10.536,1.099,2.7,41.514,41.514,6.932,92.45
87,2016,57.163,9.61,5.309,3.85,3.85,1.041,0.918,7.232,0.891,2.88,41.1,41.1,9.309,77.95
87,2017,48.032,7.357,2.016,1.88,1.88,0.675,1.417,5.287,0.882,2.98,40.339,40.339,10.309,90.26
87,2018,55.711,9.201,4.528,4.63,4.63,4.001,3.445,7.063,0.749,3.06,44.276,44.276,9.987,83.64
87,2019,65.417,11.818,7.428,4.88,4.88,4.475,3.85,8.434,0.718,3.23,45.266,45.266,8.92,68.19
87,2020,59.856,9.341,4.891,3.36,3.36,4.075,1.254,6.959,0.73,3.43,45.265,45.265,11.082,69.78
87,2021,41.811,4.281,-6.491,-5.25,-5.25,1.39,-0.612,3.434,1.031,3.48,37.125,37.125,15.979,41.22
87,2022,64.784,12.36,7.535,5.39,5.39,7.642,8.441,11.269,1.605,3.49,39.768,39.768,11.254,61.19
87,2023,93.257,23.998,18.375,13.26,13.26,14.239,13.658,17.964,7.261,3.55,47.783,47.783,10.091,110.3
