,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,3,1994,8407.843,3684.727,4723.116,56.175,1988.176,880.974,-70,2799.15,1923.966,22.883,0,0,0,19.264,1943.23,-544.104,28,0,1399.126,1399.126,0,0,1399.126,16.641,0,0.85,0.85,1657.976,1923.966,484.081,2408.047,28.641
1,3,1995,9156.009,3993.831,5162.178,56.38,2054.455,963.516,0,3017.971,2144.207,23.419,0,0,0,22.483,2166.69,-650.007,30,0,1516.683,1516.683,0,0,1516.683,16.565,0,0.935,0.935,1624.472,2144.207,510.504,2654.711,28.994
2,3,1996,10012.194,4325.805,5686.389,56.795,2230.74,1072.745,0,3303.485,2382.904,23.8,0,0,0,12.415,2395.319,-706.619,29.5,0,1688.7,1688.7,0,0,1688.7,16.866,0,1.06,1.06,1594.642,2382.904,566.423,2949.327,29.457
3,3,1997,11013.5,4045.9,6967.6,63.264,2459.6,1204.8,686.1,4350.5,2617.1,23.763,0,0,0,52.4,2669.5,-787.5,29.5,0,1882,1882,0,0,1882,17.088,0,1.21,1.19,1581.513,2617.1,686.1,3303.2,29.992
4,3,1998,11889.3,4323.2,7566.1,63.638,2695.8,1307.4,729.1,4732.3,2833.8,23.835,0,0,0,100.8,2934.6,-855.5,29.15,0,2079.1,2079.1,0,0,2079.1,17.487,0,1.34,1.32,1575.076,2833.8,729.1,3562.9,29.967
5,3,1999,12512.7,4620.3,7892.4,63.075,2759.8,1228.8,786.4,4775,3117.4,24.914,0,0,0,124.5,3241.9,-907.5,27.99,0,2334.4,2334.4,0,0,2334.4,18.656,0,1.52,1.5,1560.958,3117.4,786.4,3903.8,31.199
6,3,2000,13177.6,5149.2,8028.4,60.925,2857.1,1194,828,4879.1,3149.3,23.899,0,0,0,247.6,3396.9,-951.1,28,0,2445.8,2445.8,0,0,2445.8,18.56,0,1.59,1.57,1557.655,3149.3,828,3977.3,30.182
7,3,2001,13745.916,6238.646,7507.27,54.615,2894.178,1351.024,-138.507,4106.695,3400.575,24.739,0,0,0,415.832,3816.407,-1030.43,27,0,2785.977,2785.977,0,0,2785.977,20.268,0,1.8,1.78,1565.579,3400.575,827.431,4228.006,30.758
8,3,2002,16285.246,7748.382,8536.864,52.421,3734.88,1577.552,0,5312.432,3224.432,19.8,0,0,0,-1341.284,1883.148,-332.758,17.67,0,1550.39,1550.39,0,0,1550.39,9.52,0,1,0.99,1566.051,3224.432,1168.018,4392.45,26.972
9,3,2003,15279.537,6820.501,8459.036,55.362,3724.855,1474.537,0,5199.392,3259.644,21.333,0,0,0,61.343,3320.987,-773.982,23.31,246.698,2793.703,2547.005,246.698,0,2793.703,18.284,0,1.79,1.78,1573.293,3259.644,1043.623,4303.267,28.164
10,3,2004,17280.333,7774.239,9506.094,55.011,4808.09,1623.752,0,6431.842,3074.252,17.791,0,0,0,312.899,3387.151,-882.426,26.05,248.508,2753.233,2504.725,248.508,0,2753.233,15.933,0,1.76,1.75,1571.869,3074.252,1127.439,4201.691,24.315
11,3,2005,19680.016,8884.157,10795.859,54.857,4921.78,1696.753,0,6618.533,4177.326,21.226,0,0,0,-51.726,4125.6,-949.764,23.02,60.015,3235.851,3175.836,60.015,0,3235.851,16.442,0,2.07,2.06,1570.611,4177.326,1288.7,5466.026,27.775
12,3,2006,22337.808,10641.111,11696.697,52.363,5496.123,1821.175,0,7317.298,4379.399,19.605,0,0,0,240.521,4619.92,-1247.855,27.01,0,3372.065,3372.065,0,0,3372.065,15.096,0,2.17,2.16,1564.103,4379.399,1358.939,5738.338,25.689
13,3,2007,22476.322,9815.147,12661.175,56.331,6349.685,2255.271,0,8604.956,4056.219,18.047,0,0,0,-1779.849,2276.37,-559.615,24.58,0,1716.755,1716.755,0,0,1716.755,7.638,0,1.12,1.12,1536.724,4056.219,1558.75,5614.969,24.982
14,3,2008,25914.238,11422.046,14492.192,55.924,7407.998,2505.649,0,9913.647,4578.545,17.668,0,0,0,-108.897,4469.648,-863.334,19.32,0,3606.314,3606.314,0,0,3606.314,13.916,0,2.34,2.31,1560.057,4578.545,1854.886,6433.431,24.826
15,3,2009,29527.552,12612.022,16915.53,57.287,8435.624,2688.811,0,11124.435,5791.095,19.613,201.229,-528.474,-327.245,392.436,5856.286,-1122.07,19.16,146.503,4880.719,4734.216,146.503,0,4880.719,16.529,0,3.16,3.12,1564.333,6384.76,1838.829,8223.589,27.851
16,3,2010,30764.707,13209.329,17555.378,57.063,8405.904,2913.733,0,11319.637,6235.741,20.269,137.779,-519.656,-381.877,1339.91,7193.774,-1447.936,20.13,0,5745.838,5745.838,0,0,5745.838,18.677,0,3.71,3.69,1555.126,7713.43,2089.51,9802.94,31.864
17,3,2011,35166.721,14665.192,20501.529,58.298,10376.324,3724.424,0,14100.748,6400.781,18.201,105.453,-553.135,-447.682,-240.265,5712.834,-1086.662,19.02,0,4626.172,4626.172,0,0,4626.172,13.155,0,2.98,2.96,1556.022,6265.969,2624.305,8890.274,25.28
18,3,2012,21407,10017,11390,53.207,7365,1512,884,9761,1629,7.61,65,-359,-294,-99,1236,-110,8.9,3602,4728,1126,3602,0,4728,22.086,0,3.03,3.01,1567,1595,3044,4639,21.671
19,3,2013,19050,8899,10151,53.286,6735,1461,595,8791,1360,7.139,59,-320,-261,-1319,-220,457,207.73,5726,5963,237,5726,0,5963,31.302,0,3.76,3.72,1592,100,2782,2882,15.129
20,3,2014,19657,9193,10464,53.233,6372,1371,588,8331,2133,10.851,67,-145,-78,-14,2041,-53,2.6,588,2576,1988,588,0,2576,13.105,0,1.64,1.62,1574,2186,1719,3905,19.866
21,3,2015,20247,9218,11029,54.472,6530,1345,555,8430,2599,12.837,77,-150,-73,-8,2518,-797,31.65,563,2284,1721,563,0,2284,11.281,0,1.5,1.49,1527,2668,1548,4216,20.823
22,3,2016,20405,8747,11658,57.133,6785,1405,601,8791,2867,14.051,105,-163,-58,374,3183,-577,18.13,1817,4423,2606,1817,0,4423,21.676,0,2.94,2.92,1506,3346,1472,4818,23.612
23,3,2017,20853,9094,11759,56.39,6736,1447,550,8733,3026,14.511,99,-431,-332,-1281,1413,-350,24.77,337,1400,1063,337,0,1400,6.714,0,0.94,0.94,1483,1844,1353,3197,15.331
24,3,2018,27390,12409,14981,54.695,9182,2260,1975,13417,1564,5.71,124,-904,-780,1447,2231,-1878,84.18,124,477,353,124,0,477,1.742,0,0.27,0.27,1749,3135,3021,6156,22.475
25,3,2019,30578,12706,17872,58.447,9744,2300,2178,14222,3650,11.937,105,-826,-721,-56,2873,-539,18.76,34,2368,2334,34,0,2368,7.744,0,1.34,1.33,1770,3699,3278,6977,22.817
26,3,2020,31904,13231,18673,58.529,9765,2440,1936,14141,4532,14.205,94,-670,-576,121,4077,-390,9.57,0,3687,3687,0,0,3687,11.557,0,2.07,2.06,1781,4747,3014,7761,24.326
27,3,2021,34608,15003,19605,56.649,9696,2420,2132,14248,5357,15.479,46,-546,-500,111,4968,-497,10,24,4495,4471,24,0,4495,12.988,0,2.52,2.5,1786,5514,3327,8841,25.546
28,3,2022,43075,18537,24538,56.966,11324,2742,2047,16113,8425,19.559,43,-533,-490,276,8211,-1140,13.88,0,7071,7071,0,0,7071,16.416,0,3.97,3.94,1789,8744,3538,12282,28.513
29,3,2023,43653,19142,24511,56.15,11248,2888,2013,16149,8362,19.156,183,-558,-375,319,8306,-1373,16.53,0,6933,6933,0,0,6933,15.882,0,3.94,3.91,1764,8864,3267,12131,27.79
