,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,5,1994,580.103,107.792,472.311,81.418,272.994,100.2,10.498,383.692,88.619,15.276,0,0,0,-16.261,72.358,-30.351,41.95,0,42.007,42.007,0,0,42.007,7.241,0,0.137,0.137,487.567,88.619,49.841,138.46,23.868
1,5,1995,675.617,122.023,553.594,81.939,295.302,113.797,14.329,423.428,130.166,19.266,0,0,0,-77.22,52.946,-37.609,71.03,0,15.337,15.337,0,0,15.337,2.27,0,0.027,0.027,568.837,130.166,57.794,187.96,27.821
2,5,1996,762.339,130.301,632.038,82.908,301.239,138.616,11.095,450.95,181.088,23.754,0,0,0,-17.235,163.853,-70.368,42.95,0,93.485,93.485,0,0,93.485,12.263,0,0.155,0.155,601.944,181.088,60.435,241.523,31.682
3,5,1997,786.563,141.147,645.416,82.055,317.006,152.914,2.504,472.424,172.992,21.993,0,0,0,71.832,244.824,-91.547,37.39,0,153.277,153.277,0,0,153.277,19.487,0,0.252,0.252,608.519,172.992,55.621,228.613,29.065
4,5,1998,911.894,116.188,795.706,87.259,391.146,165.859,2.566,559.571,236.135,25.895,0,0,0,59.955,296.09,-109.253,36.9,0,186.837,186.837,0,0,186.837,20.489,0,0.325,0.315,593.28,236.135,59.384,295.519,32.407
5,5,1999,894.791,101.034,793.757,88.709,434.159,188.261,7.745,630.165,163.592,18.283,0,0,0,4.102,167.694,-62.55,37.3,0,105.144,105.144,0,0,105.144,11.751,0,0.198,0.193,543.792,163.592,56.264,219.856,24.571
6,5,2000,1015.434,94.54,920.894,90.69,432.127,197.476,4.83,634.433,286.461,28.211,0,0,0,87.966,374.427,-136.676,36.5,0,237.751,237.751,0,0,237.751,23.414,0,0.49,0.46,516.82,286.461,50.77,337.231,33.211
7,5,2001,1266.378,87.255,1179.123,93.11,517.716,240.212,7.013,764.941,414.182,32.706,0,0,0,29.557,443.739,-155.931,35.14,0,287.808,287.808,0,0,287.808,22.727,0,0.605,0.565,511.548,414.182,43.275,457.457,36.123
8,5,2002,1229.72,81.451,1148.269,93.376,519.346,224.122,14.281,757.749,390.52,31.757,0,0,0,-83.589,306.931,-101.287,33,0,205.644,205.644,0,0,205.644,16.723,0,0.43,0.415,498.29,390.52,56.645,447.165,36.363
9,5,2003,1164.788,104.288,1060.5,91.047,488.501,246.082,20.973,755.556,304.944,26.18,0,0,0,-20.255,284.689,-93.29,32.77,0,191.399,191.399,0,0,191.399,16.432,0,0.405,0.395,486.238,304.944,63.481,368.425,31.63
10,5,2004,1294.749,93.022,1201.727,92.815,545.844,276.98,0,822.824,378.903,29.265,0,0,0,1.589,380.492,-114.148,30,0,266.344,266.344,0,0,266.344,20.571,0,0.57,0.55,482.9,378.903,49.014,427.917,33.05
11,5,2005,1666.581,104.378,1562.203,93.737,659.113,311.296,0,970.409,591.794,35.51,0,0,0,16.851,608.645,-158.247,26,0,450.398,450.398,0,0,450.398,27.025,0,0.94,0.91,494.943,591.794,81.867,673.661,40.422
