,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,10,1996,471.322,292.034,179.288,38.039,65.885,0,6.835,72.72,106.568,22.61,0,0,0,0.33,106.898,-39.366,36.83,0,67.532,67.532,0,0,67.532,14.328,0,0.225,0.225,300.667,106.568,6.835,113.404,24.061
1,10,1997,654.06,381.457,272.603,41.679,101.643,0,10.012,111.655,160.948,24.608,0,0,0,3.819,164.767,-57.778,35.07,-0.001,106.988,106.988,0,0,106.988,16.358,0,0.342,0.342,313.215,160.948,10.012,170.96,26.138
2,10,1998,853.7,478.256,375.444,43.978,60.094,83.037,16.704,159.835,215.609,25.256,0,0,0,15.455,231.064,-75.262,32.57,0.001,155.803,155.803,0,0,155.803,18.25,0,0.972,0.972,320.406,215.609,16.703,232.313,27.213
3,10,1999,817.996,469.819,348.177,42.565,98.862,120.381,35.745,254.988,93.189,11.392,0,0,0,1.261,94.45,-29.353,31.08,0,65.097,65.097,0,0,65.097,7.958,0,0.199,0.199,327.476,93.189,35.746,128.935,15.762
4,10,2000,1210.836,763.882,446.954,36.913,141.784,175.847,43.007,360.638,86.316,7.129,0,0,0,33.36,119.676,-37.983,31.74,0.001,81.694,81.694,0,0,81.694,6.747,0,0.284,0.284,287.699,86.316,43.007,129.324,10.681
5,10,2001,1941.403,1083.474,857.929,44.191,166.72,192.901,59.328,418.949,438.98,22.612,0,0,0,1.901,440.881,-131.464,29.82,3.798,313.215,309.419,0,-2.847,310.368,15.987,0,1.089,1.05,299.101,438.98,59.328,498.308,25.667
6,10,2002,1646.677,1600.378,46.299,2.812,249.983,364.47,-0.001,614.452,-568.153,-34.503,0,0,0,-54.337,-622.49,194.838,31.3,-3.219,-430.871,-427.652,0,3.219,-427.652,-25.971,0,-1.342,-1.342,318.859,-568.153,141.778,-426.375,-25.893
7,10,2003,1995.288,1518.942,476.346,23.874,268.164,303.982,0.001,572.147,-95.801,-4.801,0,0,0,-37.469,-133.27,43.579,32.7,-122.016,-211.707,-89.691,-122.016,0,-211.707,-10.61,0,-0.655,-0.655,326.388,-95.801,169.139,73.337,3.676
8,10,2004,1894.273,1441.458,452.815,23.904,261.055,352.053,0.001,613.109,-160.294,-8.462,0,0,0,-65.855,-226.149,73.273,32.4,-43.848,-196.724,-152.877,-43.847,0,-196.724,-10.385,0,-0.594,-0.594,330.067,-160.294,177.796,17.502,0.924
9,10,2005,3302.354,2089.257,1213.097,36.734,270.08,443.316,0.001,713.397,499.7,15.132,0,0,0,-13.679,486.021,-170.625,35.11,0.001,315.397,315.397,0,0,315.397,9.551,0,0.962,0.962,331.724,499.7,120.842,620.542,18.791
10,10,2006,2997.683,1842.932,1154.751,38.521,238.495,383.9,0.001,622.396,532.355,17.759,0,0,0,-16.705,515.65,-146.459,28.4,0,369.191,369.191,0,0,369.191,12.316,0,1.105,1.105,371.639,532.355,107.31,639.664,21.339
11,10,2007,4731.536,2810.825,1920.711,40.594,270.54,546.51,-35.854,781.196,1139.515,24.083,0,0,0,-1.128,1138.387,-321.283,28.22,0,817.104,817.104,0,0,817.104,17.269,0,2.228,2.16,388.067,1139.515,115.049,1254.564,26.515
12,10,2008,5493.63,3234.385,2259.245,41.125,329.001,744.262,-1.771,1071.492,1187.753,21.621,0,0,0,48.768,1236.521,-258.269,20.89,0,978.252,978.252,0,0,978.252,17.807,0,2.749,2.673,373.945,1187.753,184.197,1371.949,24.974
13,10,2009,3991.457,2619.141,1372.316,34.381,286.947,697.47,0,984.417,387.899,9.718,97.969,-67.43,30.539,0,418.438,17.197,-4.11,0,435.635,435.635,0,0,435.635,10.914,0,1.316,1.299,334.338,485.868,161.068,646.935,16.208
14,10,2010,2326.622,1658.412,668.21,28.72,225.592,680.41,0,906.002,-237.792,-10.221,62.341,-74.622,-12.281,0,-250.073,30.066,12.02,0,-220.007,-220.007,0,0,-220.007,-9.456,0,-0.663,-0.663,333.114,-175.45,206.459,31.009,1.333
15,10,2011,5962.881,3376.677,2586.204,43.372,239.478,692.362,0,931.84,1654.364,27.744,20.007,-30.821,-10.815,0,1643.549,-291.935,17.76,0,1351.614,1351.614,0,0,1351.614,22.667,0,3.108,3.082,438.974,1674.37,200.323,1874.693,31.439
