,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,14,1994,25438,23747,1691,6.648,0,0,0,0,1691,6.648,0,0,0,130,1821,-577,31.69,0,1244,1244,0,0,1244,4.89,0,1.83,1.83,679.781,1691,1025,2716,10.677
1,14,1995,21924,20773,1151,5.25,0,0,0,0,1151,5.25,0,0,0,-8,1143,-287,25.11,0,856,856,0,0,856,3.904,0,1.255,1.255,682.072,1151,1142,2293,10.459
2,14,1996,32960,27370,5590,16.96,1794,1674,2438,5906,-316,-0.959,0,0,0,-96,-412,376,91.26,0,-36,-36,0,0,-36,-0.109,0,0.575,0.575,683.6,-316,1306,990,3.004
3,14,1997,35453,29383,6070,17.121,1952,1633,0,3585,2485,7.009,0,0,0,-5,2480,-662,26.69,0,1818,1818,0,0,1818,5.128,0,1.88,1.85,981.9,2485,1266,3751,10.58
4,14,1998,45800,42001,3799,8.295,2088,1924,43,4055,-256,-0.559,0,0,0,-85,-341,163,47.8,0,-178,-178,0,0,-178,-0.389,0,-0.18,-0.18,970.1,-256,1458,1202,2.625
5,14,1999,56154,50492,5662,10.083,2146,1895,54,4095,1567,2.791,0,0,0,-170,1397,-277,19.83,0,1120,1120,0,0,1120,1.995,0,1.16,1.15,976.7,1567,1622,3189,5.679
6,14,2000,57993,51320,6673,11.507,2253,1341,-91,3503,3170,5.466,0,0,0,154,3324,-1015,30.54,0,2309,2309,0,0,2309,3.982,0,2.52,2.49,925.9,3170,1645,4815,8.303
7,14,2001,51321,43712,7609,14.826,2651,1441,-132,3960,3649,7.11,0,-445,-445,-205,2999,-871,29.04,0,2128,2128,0,0,2128,4.147,0,2.48,2.44,871.3,3444,1479,4923,9.593
8,14,2002,58198,48778,9420,16.186,2767,1936,800,5503,3917,6.731,0,-650,-650,297,3564,-738,20.71,1,2827,2826,0,0,2827,4.858,0,3.46,3.41,829.3,4214,1743,5957,10.236
9,14,2003,54061,45976,8085,14.955,2981,1639,47,4667,3418,6.323,0,-320,-320,82,3180,-861,27.08,-1827,492,2319,0,0,492,0.91,0,0.62,0.61,808.4,3500,1497,4997,9.243
10,14,2004,50256,44150,6106,12.15,3200,1651,-21,4830,1276,2.539,0,-358,-358,-418,500,185,-37,33,718,685,33,0,718,1.429,0,0.9,0.89,808.9,858,1400,2258,4.493
11,14,2005,52457,45025,7432,14.168,3657,1879,-91,5445,1987,3.788,0,-335,-335,308,1960,-140,7.14,52,1872,1820,52,0,1872,3.569,0,2.33,2.3,813,2295,1509,3804,7.252
12,14,2006,53621,44984,8637,16.107,4228,2205,0,6433,2204,4.11,0,-294,-294,909,2819,-257,9.12,10,2572,2562,10,0,2572,4.797,0,3.27,3.2,802.9,3113,1503,4616,8.609
13,14,2007,61530,50437,11093,18.029,4171,3257,425,7853,3240,5.266,0,-240,-240,194,3194,-988,30.93,9,2215,2206,9,0,2215,3.6,0,2.89,2.85,787.6,3434,1545,4979,8.092
14,14,2008,66387,53402,12985,19.56,3531,3850,-188,7193,5792,8.725,0,-196,-196,522,6118,-2060,33.67,16,4074,4058,16,0,4074,6.137,0,5.38,5.28,772.5,6314,1486,7800,11.749
15,14,2009,60909,50352,10557,17.332,3084,3768,-241,6611,3946,6.479,0,-202,-202,251,3995,-1341,33.57,18,2672,2654,18,0,2672,4.387,0,3.7,3.67,729,4197,1491,5688,9.339
16,14,2010,68281,56540,11741,17.195,3364,6506,-249,9621,2120,3.105,0,-339,-339,-50,1731,-396,22.88,-23,1312,1335,-23,0,1312,1.922,0,1.86,1.84,713.4,2070,1666,3736,5.472
17,14,2011,64306,51843,12463,19.381,3644,4121,0,7765,4698,7.306,0,-516,-516,325,4507,-1196,26.54,-4,3307,3311,-4,0,3307,5.143,0,4.49,4.45,741.2,5023,1746,6769,10.526
18,14,2012,68735,55888,12847,18.691,3408,3918,0,7326,5521,8.032,0,-477,-477,349,5393,-1382,25.63,7,4018,4011,7,0,4018,5.846,0,5.39,5.34,750.6,5870,1675,7545,10.977
19,14,2013,81698,68665,13033,15.953,3717,3298,0,7015,6018,7.366,0,-442,-442,334,5910,-2007,33.96,-3,3900,3903,-3,0,3900,4.774,0,5.15,5.11,761.5,6352,1811,8163,9.992
20,14,2014,86623,73268,13355,15.417,3956,3071,0,7027,6328,7.305,0,-386,-386,290,6232,-1646,26.41,-1,4585,4586,-1,0,4585,5.293,0,6.03,5.96,767.6,6618,1844,8462,9.769
21,14,2015,90762,76752,14010,15.436,3767,3047,0,6814,7196,7.928,0,-333,-333,274,7137,-1691,23.69,0,5446,5446,0,0,5446,6,0,7.47,7.38,736.7,7470,1906,9376,10.33
22,14,2016,96114,82088,14026,14.593,3525,3331,0,6856,7170,7.46,0,-275,-275,260,7155,-1979,27.66,0,5176,5176,0,0,5176,5.385,0,7.52,7.44,695,7430,1833,9263,9.638
23,14,2017,93496,79026,14470,15.477,3613,4626,0,8239,6231,6.665,0,-306,-306,-142,5783,-749,12.95,0,5034,5034,0,0,5034,5.384,0,7.92,7.83,642.8,6089,1889,7978,8.533
24,14,2018,94005,76612,17393,18.502,4095,3179,0,7274,10119,10.764,0,-360,-360,348,10107,-1649,16.32,0,8458,8458,0,0,8458,8.997,0,14.03,13.85,610,10467,2047,12514,13.312
25,14,2019,101127,81490,19637,19.418,4567,3269,0,7836,11801,11.67,0,-475,-475,278,11604,-1144,9.86,0,10460,10460,0,0,10460,10.343,0,18.05,17.85,585.5,12079,2114,14193,14.035
26,14,2020,76559,72093,4466,5.833,3909,3219,0,7128,-2662,-3.477,0,-722,-722,1125,-2259,1623,71.85,0,-636,-636,0,0,-636,-0.831,0,-1.12,-1.12,565.4,-1537,2271,734,0.959
27,14,2021,58158,63843,-5685,-9.775,4817,2476,0,7293,-12978,-22.315,0,-2156,-2156,658,-14476,2535,17.51,-68,-12009,-11941,0,68,-11941,-20.532,0,-20.88,-20.88,568.6,-12320,2246,-10074,-17.322
28,14,2022,62286,59269,3017,4.844,4157,2249,0,6406,-3389,-5.441,0,-2682,-2682,1038,-5033,743,14.76,0,-4290,-4290,0,88,-4202,-6.746,0,-7.15,-7.15,587.6,-2351,2144,-207,-0.332
29,14,2023,66608,63106,3502,5.258,4187,2852,0,7039,-3537,-5.31,0,-2533,-2533,1048,-5022,-31,-0.62,0,-5053,-5053,0,118,-4935,-7.409,0,-8.3,-8.3,594.9,-2489,1979,-510,-0.766
