,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,17,2003,7337.062,3586.682,3750.38,51.116,2799.668,0,186.784,2986.452,763.928,10.412,0,-140.613,-140.613,74.503,697.818,-169.995,24.36,0.001,527.824,527.824,0,-37.777,490.047,6.679,0,0.709,0.702,695.806,763.928,561.403,1325.33,18.064
1,17,2004,8871.201,4263.063,4608.138,51.945,3488.533,0,62.97,3551.503,1056.635,11.911,0,-164.981,-164.981,44.079,935.733,-232.989,24.9,0,702.744,702.744,0,-66.748,635.996,7.169,0,0.921,0.913,694.206,1056.635,681.334,1737.97,19.591
2,17,2005,11614.792,5411.56,6203.232,53.408,3727.904,0,132.849,3860.753,2342.479,20.168,0,-233.163,-233.163,-530.04,1579.276,-361.946,22.92,-242.653,974.677,974.677,0,242.653,1217.33,10.481,0,1.271,1.263,772.584,2342.479,908.253,3250.732,27.988
3,17,2006,13805.356,6019.116,7786.24,56.4,5034.881,0,-156.341,4878.54,2907.7,21.062,271.227,-805.391,-534.164,-249.908,2123.628,-463.1,21.81,-589.831,1070.697,1070.697,0,589.831,1660.528,12.028,0,1.118,1.111,964.53,2929.019,1051.746,3980.765,28.835
4,17,2007,17563.911,7228.55,10335.361,58.844,6172.709,0,-150.458,6022.251,4313.11,24.557,219.087,-843.353,-624.266,-182.133,3506.711,-700.814,19.98,-943.658,1862.239,1862.239,0,943.658,2805.897,15.975,0,1.914,1.898,980.526,4350.064,1442.542,5792.606,32.98
5,17,2008,19735,8118,11617,58.865,6616,0,-930,5686,5931,30.053,157,-975,-818,-58,5055,-888,17.57,0,4167,4167,0,-1162,3005,15.227,0,3.08,3.06,981,6030,1408,7438,37.689
6,17,2009,23507,10336,13171,56.03,7713,0,-339,7374,5797,24.661,288,-1888,-1600,-397,3800,-674,17.74,0,3126,3126,0,-1199,1927,8.198,0,1.93,1.93,1000,5688,1912,7600,32.331
7,17,2010,36758,17198,19560,53.213,9973,0,-2135,7838,11722,31.89,347,-4766,-4419,360,7663,-1786,23.31,0,5877,5877,0,-1264,4613,12.55,0,2.91,2.9,1593,12429,2818,15247,41.479
8,17,2011,36297,16151,20146,55.503,9585,0,-305,9280,10866,29.936,316,-3189,-3840,656,7682,-1920,24.99,0,5762,5762,0,-1736,4026,11.092,0,2.53,2.5,1611,10871,2788,13659,37.631
9,17,2012,39046,16610,22436,57.46,10505,0,-504,10001,12435,31.847,324,-3013,-3297,547,9685,-1826,18.85,0,7859,7859,0,-2080,5779,14.801,0,3.62,3.58,1614,12698,2783,15481,39.648
10,17,2013,39758,16422,23336,58.695,11241,0,-506,10735,12601,31.694,206,-2438,-2325,729,11005,-1680,15.27,0,9325,9325,0,-2165,7160,18.009,0,4.48,4.4,1628,13443,2747,16190,40.721
11,17,2014,43195,17594,25601,59.268,12558,0,-661,11897,13704,31.726,286,-2521,-2047,6877,18534,-2016,10.88,0,16518,16518,0,-2124,14394,33.323,0,8.9,8.72,1650,21055,2985,24040,55.655
12,17,2015,47063,18756,28307,60.147,14385,0,-774,13611,14696,31.226,335,-2457,-1877,982,13801,-2499,18.11,0,11302,11302,0,-2086,9216,19.582,0,5.64,5.54,1665,16258,3353,19611,41.67
13,17,2016,43064,16597,26467,61.46,13732,0,-649,13083,13384,31.079,339,-2249,-2169,1246,12461,-2594,20.82,0,9867,9867,0,-1594,8273,19.211,0,5.05,4.96,1668,14710,3153,17863,41.48
14,17,2017,45517,17802,27715,60.889,15171,0,-377,14794,12921,28.387,561,-4841,-7676,-911,4334,-1613,37.22,48,2769,2721,48,-1528,1241,2.727,0,0.72,0.71,1755,9175,3477,12652,27.796
15,17,2018,54859,20975,33884,61.766,17760,0,-397,17363,16521,30.115,289,-5130,-5579,-678,10264,-1658,16.15,560,9166,8606,560,-1176,7990,14.565,0,4.05,3.98,2010,15394,4625,20019,36.492
16,17,2019,53041,19933,33108,62.42,16807,0,-121,16686,16422,30.961,435,-9261,-8826,145,7741,-2585,33.39,532,5688,5156,531,-1318,4370,8.239,0,2.21,2.17,2011,17002,4624,21626,40.772
17,17,2020,52329,20362,31967,61.088,16421,0,-221,16200,15767,30.131,410,-4894,-3720,729,12776,-2786,21.81,424,10414,9990,424,-1243,9171,17.526,0,4.62,4.53,2026,17670,4657,22327,42.667
18,17,2021,46881,19634,27247,58.119,15369,0,-730,14639,12608,26.894,465,-4650,-6027,-4502,2079,-1932,92.93,2055,2202,147,2055,-797,1405,2.997,0,0.7,0.69,2037,6729,4829,11558,24.654
19,17,2022,54304,23097,31207,57.467,17575,0,-573,17002,14205,26.158,231,-4340,-4923,-819,8463,-2350,27.77,1,6114,6113,0,-1444,4670,8.6,0,2.33,2.28,2045,12803,5052,17855,32.88
20,17,2023,57786,26305,31481,54.479,17555,0,-539,17016,14465,25.032,462,-4443,-3370,-1571,9524,-1928,20.24,1,7597,7596,0,-1628,5969,10.33,0,2.97,2.91,2050,13967,5078,19045,32.958
