,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,18,1994,11615,8407,3208,27.619,1742,0,668,2410,798,6.87,0,0,0,-75,723,-42,5.81,-29,652,681,0,0,652,5.613,0,0.765,0.76,857.895,798,668,1466,12.622
1,18,1995,14328,10151,4177,29.153,1850,0,683,2533,1644,11.474,0,0,0,-335,1309,-354,27.04,0,955,955,0,0,955,6.665,0,1.175,1.175,822.4,1644,683,2327,16.241
2,18,1996,16072,11318,4754,29.579,2098,0,682,2780,1974,12.282,0,0,0,-337,1637,-501,30.6,0,1136,1136,0,0,1136,7.068,0,1.43,1.42,800,1974,682,2656,16.526
3,18,1997,16522,11136,5386,32.599,2403,0,696,3099,2287,13.842,0,0,0,-313,1974,-613,31.05,0,1361,1361,0,0,1361,8.238,0,1.768,1.768,777.778,2287,696,2983,18.055
4,18,1998,18925,12636,6289,33.231,2232,528,738,3498,2791,14.748,0,0,0,-330,2461,-796,32.34,0,1665,1665,0,0,1665,8.798,0,2.22,2.185,762.014,2791,738,3529,18.647
5,18,1999,20977,14166,6811,32.469,2561,643,865,4069,2742,13.072,0,0,0,-564,2178,-665,30.53,0,1513,1513,0,0,1513,7.213,0,2.085,2.055,736.253,2742,865,3607,17.195
6,18,2000,19702,13536,6166,31.296,2541,626,945,4112,2054,10.425,0,0,0,-653,1401,-455,32.48,0,946,946,0,0,946,4.802,0,1.33,1.315,718.8,2054,945,2999,15.222
7,18,2001,20175,14497,5678,28.144,2604,649,0,3253,2425,12.02,0,0,0,-925,1500,-447,29.8,0,1053,1053,0,0,1053,5.219,0,1.52,1.51,697.351,2425,1022,3447,17.086
8,18,2002,20450,15219,5231,25.579,2567,696,657,3920,1311,6.411,0,0,0,-142,1169,-367,31.39,3,805,805,0,0,805,3.936,0,1.175,1.16,694.2,1311,1169,2480,12.127
9,18,2003,20152,15146,5006,24.841,2094,656,411,3161,1845,9.155,0,-800,-800,69,1114,-312,28.01,-4,798,798,0,0,798,3.96,0,1.16,1.15,693.8,1914,1220,3134,15.552
10,18,2004,22807,16997,5810,25.475,2322,669,675,3666,2144,9.401,0,-720,-720,53,1477,-398,26.95,20,1099,1099,0,0,1099,4.819,0,1.59,1.56,702.7,2197,1347,3544,15.539
11,18,2005,30306,23244,7062,23.302,2926,928,524,4378,2684,8.856,0,-750,-750,773,2707,-731,27,59,2035,2035,0,0,2035,6.715,0,1.485,1.44,1414.8,2684,1397,4081,13.466
12,18,2006,36339,26558,9781,26.916,3190,1084,955,5229,4552,12.527,0,-1028,-1028,377,3901,-1120,28.71,73,2854,2854,0,0,2854,7.854,0,4.21,4.04,705.8,4929,1477,6406,17.628
13,18,2007,41517,29549,11968,28.827,3706,1347,0,5053,6915,16.656,83,-1297,-1214,-840,4861,-1405,28.9,81,3537,3537,0,0,3537,8.519,0,5.37,5.17,683.8,6158,1602,7760,18.691
14,18,2008,44958,32626,12332,27.43,3821,1404,0,5225,7107,15.808,99,-1420,-1321,-796,4990,-1485,29.76,73,3578,3578,0,-37,3541,7.876,0,5.55,5.37,659.5,6410,1797,8207,18.255
15,18,2009,51324,38415,12909,25.152,4399,1728,0,6127,6782,13.214,101,-1427,-1326,-955,4501,-953,21.17,37,3585,3585,0,-28,3557,6.931,0,5.83,5.66,627.9,5928,1980,7908,15.408
16,18,2010,32396,23886,8510,26.269,3645,1421,0,5066,3444,10.631,98,-1434,-1336,-1539,569,270,-47.45,-12,827,827,0,68,895,2.763,0,1.45,1.43,626,2003,2336,4339,13.394
17,18,2011,42588,31281,11307,26.55,4248,1905,1191,7344,3963,9.305,86,-343,-257,44,3750,-968,25.81,-24,2758,2758,0,-58,2700,6.34,0,4.28,4.15,650.4,4093,2296,6389,15.002
18,18,2012,60138,44404,15734,26.163,5203,2297,1081,8581,7153,11.894,85,-396,-311,-117,6725,-1720,25.58,-24,4981,4981,0,-53,4928,8.195,0,7.64,7.4,666.1,7121,2527,9648,16.043
19,18,2013,65875,47852,18023,27.359,5919,2466,485,8870,9153,13.895,82,-467,-385,-532,8236,-2528,30.69,14,5722,5722,0,-41,5681,8.624,0,8.71,8.48,669.6,8703,2813,11516,17.482
20,18,2014,55656,41454,14202,25.517,5547,2046,981,8574,5628,10.112,84,-465,-381,-119,5128,-1319,25.72,-6,3803,3803,0,-14,3789,6.808,0,5.87,5.75,658.6,5593,3087,8680,15.596
