,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,21,1994,16480.6,14519.2,1961.4,11.901,1425.5,0,143.7,1569.2,392.2,2.38,0,0,0,-188.6,203.6,-92.7,45.53,-223.3,-112.4,110.9,-40.8,0,-112.4,-0.682,0,-0.26,-0.26,432.308,392.2,143.7,535.9,3.252
1,21,1995,17905.9,16083.8,1822.1,10.176,1555.6,0,142,1697.6,124.5,0.695,0,0,0,243.7,368.2,-151,41.01,-83.4,133.8,217.2,0,0,133.8,0.747,0,0.34,0.34,393.529,124.5,142,266.5,1.488
2,21,1996,19566.5,17183.7,2382.8,12.178,1730.4,0,161.6,1892,490.8,2.508,0,0,0,-67.3,423.5,-174.7,41.25,0,248.8,248.8,0,0,248.8,1.272,0,0.64,0.61,407.869,490.8,161.6,652.4,3.334
3,21,1997,21874.4,19132.7,2741.7,12.534,1979.2,0,181.8,2161,580.7,2.655,0,0,0,-60.4,520.3,-208.1,40,0,312.2,312.2,0,0,312.2,1.427,0,0.76,0.74,421.892,580.7,181.8,762.5,3.486
4,21,1998,24269.9,21183.4,3086.5,12.717,2102.9,0,196.3,2299.2,787.3,3.244,0,0,0,-20.9,766.4,-306.6,40.01,0,459.8,459.8,0,0,459.8,1.895,0,1.07,1.02,463.371,787.3,196.3,983.6,4.053
5,21,1999,27456,23945.4,3510.6,12.786,2425.7,0,224.8,2650.5,860.1,3.133,0,0,0,-1.3,858.8,-343.5,40,-118,397.3,515.3,0,0,397.3,1.447,0,0.91,0.87,471.12,860.1,224.8,1084.9,3.951
6,21,2000,32164.296,28067.773,4096.523,12.736,2804.676,0,254.397,3059.073,1037.45,3.226,0,0,0,14.945,1052.395,-420.958,40,0,631.437,631.437,0,0,631.437,1.963,0,1.41,1.35,475.737,1037.45,254.397,1291.847,4.016
7,21,2001,34797.037,30598.14,4198.897,12.067,3206.63,0,0,3206.63,992.267,2.852,0,0,0,11.214,1003.481,-401.392,40,0,602.089,602.089,0,0,602.089,1.73,0,1.34,1.29,475.827,992.267,301.297,1293.564,3.718
8,21,2002,38762.499,33983.121,4779.378,12.33,3647.843,0,0,3647.843,1131.535,2.919,0,0,0,6.649,1138.184,-438.201,38.5,0,699.983,699.983,0,0,699.983,1.806,0,1.54,1.48,479.262,1131.535,341.781,1473.316,3.801
9,21,2003,42545.552,37235.383,5310.169,12.481,4153.541,0,0,4153.541,1156.628,2.719,0,0,0,1.605,1158.233,-437.233,37.75,0,721,721,0,0,721,1.695,0,1.577,1.53,471.242,1156.628,391.302,1547.93,3.638
