,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,22,2001,5.435,3.422,2.013,37.038,32.247,3.366,0,35.613,-33.6,-618.215,0,0,0,1.736,-31.864,0,0,0,-31.864,-31.864,0,0.193,-31.671,-582.723,0,-0.595,-0.595,53.256,-33.6,0,-33.6,-618.215
1,22,2002,22.409,6.047,16.362,73.015,32.922,5.308,7.657,45.887,-29.525,-131.755,0,0,0,0.491,-29.034,0,0,0,-29.034,-29.034,0,0.425,-28.609,-127.668,0,-0.34,-0.34,84.156,-29.525,0,-29.525,-131.755
2,22,2003,50.991,10.363,40.628,79.677,46.48,4.648,0,51.128,-10.5,-20.592,0,0,0,0.492,-10.008,0,0,0,-10.008,-9.716,0,0.292,-9.716,-19.054,0,-0.093,-0.093,105.5,-10.5,5.549,-4.951,-9.71
3,22,2004,96.023,17.273,78.75,82.012,71.515,6.962,-3.445,75.032,3.718,3.872,0,0,0,0.521,4.239,-0.541,12.76,0,3.698,3.514,0,-0.184,3.514,3.66,0,0.03,0.01,381.636,3.718,11.19,14.908,15.525
4,22,2005,176.375,33.454,142.921,81.032,126.579,9.822,0,136.401,6.52,3.697,0,0,0,2.633,9.153,-1.217,13.3,0,7.936,7.346,0,-0.59,7.346,4.165,0,0.025,0.018,443.496,6.52,18.745,25.265,14.325
5,22,2006,309.857,69.126,240.731,77.691,197.584,23.33,-0.285,220.629,20.102,6.488,0,0,0,8.096,28.198,1.31,-4.65,0,29.508,28.474,0,-1.034,28.474,9.189,0,0.068,0.06,474.948,20.102,20.633,40.735,13.146
6,22,2007,497.098,118.89,378.208,76.083,337.192,44.614,0,381.806,-3.598,-0.724,0,0,0,16.094,12.496,-9.795,78.39,0,2.701,0.481,0,-2.22,0.481,0.097,0,0,0,480.616,-3.598,35.885,32.287,6.495
7,22,2008,748.7,171.591,577.109,77.081,492.988,63.812,0,556.8,20.309,2.713,0,0,0,25.904,46.213,-23.385,50.6,0,22.828,18.356,0,-4.472,18.356,2.452,0,0.04,0.038,489.688,20.309,66.414,86.723,11.583
8,22,2009,1076.769,220.471,856.298,79.525,693.026,99.53,0,792.556,63.742,5.92,25.236,-0.107,-0.107,21.957,85.592,-37.557,43.88,0,48.035,48.035,0,-4.607,43.428,4.033,0,0.09,0.088,500.912,85.699,35.971,121.67,11.3
9,22,2010,1305.583,257.925,1047.658,80.244,800.489,131.897,0,932.386,115.272,8.829,21.219,-2,19.219,7.89,142.381,-57.689,40.52,0,84.692,84.692,0,-3.973,80.719,6.183,0,0.163,0.158,512.456,144.381,53.177,197.558,15.132
