,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,28,1994,59827,39427,20400,34.098,4159,0,3261,7420,12980,21.696,0,0,0,-6405,6575,-2151,32.71,42,4466,4424,753,-151,4315,7.213,0,3.36,3.36,1313.889,12980,3261,16241,27.147
1,28,1995,59316,25755,33561,56.58,17367,0,3207,20574,12987,21.895,0,0,0,-4326,8661,-2746,31.71,-1019,4896,5915,-1189,-170,4726,7.968,0,3.693,3.693,1281.554,12987,3207,16194,27.301
2,28,1996,69276,27376,41900,60.483,21831,0,3594,25425,16475,23.782,0,0,0,-6738,9737,-3164,32.49,204,6777,6573,0,-204,6573,9.488,0,5.2,5.2,1262.859,16475,3594,20069,28.97
3,28,1997,78541,29086,49455,62.967,27329,0,3785,31114,18341,23.352,0,0,0,-7535,10806,-3526,32.63,269,7549,7280,0,-269,7280,9.269,0,5.867,5.76,1264.125,18341,3785,22126,28.171
4,28,1998,88540,36006,52534,59.334,30949,0,4082,35031,17503,19.769,0,0,0,-6324,11179,-2976,26.62,240,8443,8203,0,-240,8203,9.265,0,6.667,6.56,1254.375,17503,4082,21585,24.379
5,28,1999,100469,42280,58189,57.917,33091,0,1603,34694,23495,23.385,0,-9753,-9753,-265,13477,-4181,31.02,265,9561,9296,0,-265,9296,9.253,0,7.6,7.44,1248.75,23230,5860,29090,28.954
6,28,2000,111630,45958,65672,58.83,38046,0,1671,39717,25955,23.251,0,-10013,-10013,-365,15577,-4860,31.2,365,11082,10717,0,-365,10717,9.601,0,8.72,8.56,1249.5,25590,6691,32281,28.918
7,28,2001,129853,51823,78030,60.091,45392,0,2045,47437,30593,23.56,0,-11720,-11720,-427,18446,-5711,30.96,0,12735,12735,0,0,12735,9.807,0,10.32,10.16,1257.125,30166,6385,36551,28.148
8,28,2002,126416,49097,77319,61.162,43727,0,2481,46208,31111,24.61,0,-11062,-11062,-348,19701,-5573,28.29,-444,13684,14128,0,0,13684,10.825,0,11.04,10.96,1256.5,30763,7125,37888,29.971
9,28,2003,132210,52856,79354,60.021,46837,0,3084,49921,29433,22.262,0,-10216,-10216,-326,18891,-3758,19.89,-1015,14118,15133,0,0,14118,10.679,0,11.36,11.28,1253.5,29107,6511,35618,26.941
10,28,2004,112886,51206,61680,54.639,29549,0,3752,33301,28379,25.14,0,-10460,-10460,-308,17611,-3845,21.83,1470,15236,13766,2057,0,15236,13.497,0,12.16,12.08,1259.375,28071,6864,34935,30.947
11,28,2005,134291,61759,72532,54.011,36003,0,3888,39891,32641,24.306,0,-11616,-11616,-728,20297,-3696,18.21,559,17160,16601,559,0,17160,12.778,0,13.2,13.12,1305.625,31913,8348,40261,29.98
