,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,35,2005,7307.932,3259.109,4048.823,55.403,0,0,2838.904,2838.904,1209.919,16.556,0,-42.79,-32.606,-0.47,1176.843,-329.34,27.99,-0.001,847.502,847.503,0,-9.64,837.862,11.465,0,0.135,0.135,6208.105,1209.919,400.811,1610.73,22.041
1,35,2006,8170.698,3579.482,4591.216,56.191,0,0,3265.65,3265.65,1325.566,16.223,0,0,9.753,-0.233,1335.086,-352.222,26.38,0.001,982.865,982.864,0,-9.335,973.53,11.915,0,0.156,0.156,6209.105,1325.566,444.607,1770.173,21.665
2,35,2007,10644.5,4661.397,5983.103,56.208,0,0,4221.728,4221.728,1761.375,16.547,0,-23.671,-18.227,-3.618,1739.53,-427.925,24.6,0,1311.605,1311.605,0,-10.904,1300.701,12.22,0,0.209,0.209,6209.41,1761.375,562.892,2324.268,21.835
3,35,2008,13894.948,6017.612,7877.336,56.692,0,0,5444.081,5444.081,2433.255,17.512,30.343,-6.862,23.482,-33.12,2423.617,-571.24,23.57,0,1852.377,1852.377,0,-11.038,1841.339,13.252,0,0.296,0.296,6209.422,2430.479,731.462,3161.941,22.756
4,35,2009,13784.053,5950.623,7833.43,56.83,0,0,5702.919,5702.919,2130.511,15.456,34.526,-12.413,-28.608,0,2101.903,-430.89,20.5,-10.813,1660.2,1660.2,0,10.813,1671.013,12.123,0,0.267,0.267,6217.111,2130.511,754.128,2896.498,21.013
5,35,2010,15811.004,6783.887,9027.117,57.094,0,0,6561.514,6561.514,2465.603,15.594,65.408,-60.013,5.395,0.001,2470.999,-584.926,23.67,-11.103,1874.97,1874.97,0,11.103,1886.073,11.929,0,0.302,0.302,6231.091,2531.011,891.171,3452.268,21.835
6,35,2011,16746.785,6824.296,9922.489,59.25,0,0,6860.365,6860.365,3062.124,18.285,57.709,-16.11,41.599,0,3103.723,-775.809,25,0,2327.914,2327.914,0,-12.635,2315.279,13.825,0,0.372,0.372,6232.28,3062.124,850.643,3965.517,23.679
7,35,2012,17796.919,7241.569,10555.35,59.31,0,0,7301.149,7301.149,3254.201,18.285,39.015,-4.738,21.134,26.616,3301.951,-791.587,23.97,0,2510.364,2510.364,0,-17.089,2493.275,14.01,0,0.4,0.4,6232.28,3306.689,893.705,4255.935,23.914
8,35,2013,21204.977,8533.012,12671.965,59.759,0,0,8527.231,8527.231,4144.734,19.546,31.598,-3.789,17.609,1.18,4163.523,-1015.899,24.4,-0.001,3147.623,3147.624,0,-8.316,3139.307,14.805,0,0.504,0.504,6233.304,4144.734,1058.666,5203.4,24.539
9,35,2014,22785.339,9266.357,13518.982,59.332,0,0,9335.219,9335.219,4183.763,18.362,30.623,-20.62,15.488,-40.262,4158.989,-914.35,21.98,0,3244.639,3244.639,0,-6.108,3238.531,14.213,0,0.52,0.52,6231.124,4183.763,1164.973,5348.736,23.475
