,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,36,1994,8782,2535,6247,71.134,2138,0,717,2855,3392,38.625,0,0,0,138,3530,-1235,34.99,0,2295,2295,0,0,2295,26.133,0,0.35,0.33,7056,3392,717,4109,46.789
1,36,1995,11521,5576,5945,51.601,1447,1111,0,2558,3387,29.399,0,0,0,216,3603,-1315,36.5,0,2288,2288,0,0,2288,19.859,0,0.35,0.33,6992,3387,1047,4434,38.486
2,36,1996,16202,7811,8391,51.79,1843,1296,0,3139,5252,32.416,0,0,0,386,5638,-2072,36.75,0,3566,3566,0,0,3566,22.01,0,0.54,0.51,7072,5252,1379,6631,40.927
3,36,1997,20847,9164,11683,56.042,2322,1808,0,4130,7553,36.231,0,0,0,381,7934,-2777,35,0,5157,5157,0,0,5157,24.737,0,0.79,0.73,7102,7553,1888,9441,45.287
4,36,1998,25070,9945,15125,60.331,2891,2347,0,5238,9887,39.438,0,0,0,772,10659,-3714,34.84,0,6945,6945,0,0,6945,27.702,0,1.07,0.97,7180,9887,2192,12079,48.181
5,36,1999,26273,12088,14185,53.991,3076,2509,56,5641,8544,32.52,0,0,0,593,9137,-3069,33.59,0,6068,6068,0,0,6068,23.096,0,0.91,0.865,7034,8544,2863,11407,43.417
6,36,2000,29389,11836,17553,59.726,3872,3111,411,7394,10159,34.567,0,0,0,1069,11228,-3914,34.86,0,7314,7314,0,0,7314,24.887,0,1.1,1.05,6940,10159,3597,13756,46.807
7,36,2001,33726,12650,21076,62.492,5089,3897,1586,10572,10504,31.145,0,0,0,4637,15141,-4606,30.42,0,10535,10535,0,0,10535,31.237,0,1.57,1.51,6986,10504,4835,15339,45.481
8,36,2002,26539,13487,13052,49.18,4464,3796,2338,10598,2454,9.247,0,0,0,-271,2183,-892,40.86,0,1291,1291,0,0,1291,4.865,0,0.19,0.19,6879,2454,6558,9012,33.958
9,36,2003,26764,13446,13318,49.761,4334,4034,548,8916,4402,16.448,0,0,0,-198,4204,-1087,25.86,0,3117,3117,0,0,3117,11.646,0,0.47,0.46,6759,4402,5344,9746,36.415
10,36,2004,30141,13047,17094,56.713,4278,4360,918,9556,7538,25.009,0,0,0,-96,7442,-1801,24.2,0,5641,5641,0,0,5641,18.715,0,0.86,0.85,6621,7538,5070,12608,41.83
11,36,2005,34209,14463,19746,57.722,4659,4778,179,9616,10130,29.612,0,0,0,287,10417,-2901,27.85,0,7516,7516,0,0,7516,21.971,0,1.17,1.16,6494,10130,4889,15019,43.904
