,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,37,1994,194.1,51,143.1,73.725,281.7,0,38.5,320.2,-177.1,-91.242,0,0,0,2.6,-174.5,-1.8,-1.03,0,-176.3,-176.3,0,0,-176.3,-90.83,0,-0.895,-0.895,196.983,-177.1,38.5,-138.6,-71.407
1,37,1995,395.7,93.1,302.6,76.472,198.9,53.4,64,316.3,-13.7,-3.462,0,0,0,-7.5,-21.2,-24.2,-114.15,0,-45.4,-45.4,0,0,-45.4,-11.473,0,-0.185,-0.185,245.405,-13.7,64,50.3,12.712
2,37,1996,538.6,109.3,429.3,79.707,366.8,0,68.4,435.2,-5.9,-1.095,0,0,0,7.7,1.8,-16.2,900,-6.3,-20.7,-14.4,-6.3,0,-20.7,-3.843,0,-0.077,-0.077,270.894,-5.9,68.4,62.5,11.604
3,37,1997,598.9,226.4,372.5,62.197,199.5,104,58.7,362.2,10.3,1.72,0,0,0,-0.5,9.8,-12.7,129.59,71.2,68.3,-2.9,71.2,0,68.3,11.404,0,0.245,0.245,278.776,10.3,58.7,69,11.521
4,37,1998,592.7,94.4,498.3,84.073,319.2,108.6,53.2,481,17.3,2.919,0,0,0,-37.2,-19.9,7.7,38.69,0,-12.2,-12.2,0,0,-12.2,-2.058,0,0.02,0.02,327.782,17.3,53.2,70.5,11.895
5,37,1999,847.6,160.8,686.8,81.029,382.2,143.4,141.3,666.9,19.9,2.348,0,0,0,597.4,617.3,-240.8,39.01,0,376.5,376.5,0,0,376.5,44.42,0,1.01,0.965,399.632,19.9,141.3,161.2,19.018
6,37,2000,1093.825,77.979,1015.846,92.871,487.662,169.083,213.204,869.949,145.897,13.338,0,0,0,366.948,512.845,-207.184,40.4,-0.135,305.526,305.661,0,0.135,305.661,27.944,0,0.76,0.725,422.542,145.897,213.204,359.101,32.83
7,37,2001,1261.461,312.04,949.421,75.264,522.487,207.085,14.949,744.521,204.9,16.243,0,0,0,-302.236,-97.336,0.229,0.24,15.108,-81.999,-97.107,0,-0.794,-82.793,-6.563,0,-0.2,-0.2,413.965,204.9,325.624,530.524,42.056
8,37,2002,1312.228,289.373,1022.855,77.948,537.672,198.471,74.666,810.809,212.046,16.159,0,0,0,-141.497,70.549,-16.934,24,86.545,140.16,53.615,86.545,0,140.16,10.681,0,0.33,0.32,438,212.046,77.862,289.908,22.093
9,37,2003,1597.071,337.048,1260.023,78.896,625.589,250.675,11.357,887.621,372.402,23.318,0,0,0,15.562,387.964,-127.809,32.94,82.879,343.034,260.155,82.879,0,343.034,21.479,0,0.84,0.81,423.499,372.402,98.097,470.499,29.46
