,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,40,1994,13957,4800,9157,65.609,5695,0,360,6055,3102,22.225,0,0,0,83,3185,-997,31.3,-12,2176,2188,0,0,2176,15.591,0,0.42,0.415,5243.373,3102,360,3462,24.805
1,40,1995,16172,5756,10416,64.408,6297,0,411,6708,3708,22.929,0,0,0,20,3728,-1174,31.49,0,2554,2554,0,0,2554,15.793,0,0.495,0.495,5172,3708,411,4119,25.47
2,40,1996,18127,6378,11749,64.815,7161,0,562,7723,4026,22.21,0,0,0,302,4328,-1342,31.01,0,2986,2986,0,0,2986,16.473,0,0.59,0.585,5098,4026,562,4588,25.31
3,40,1997,18673,6105,12568,67.306,8020,0,633,8653,3915,20.966,0,0,0,681,4596,-1104,24.02,0,3492,3492,0,0,3492,18.701,0,0.7,0.69,5046,3915,633,4548,24.356
4,40,1998,18868,5389,13479,71.438,7852,0,626,8478,5001,26.505,0,0,0,1054,6055,-1926,31.81,0,4129,4129,0,0,4129,21.884,0,0.835,0.82,5030,5001,626,5627,29.823
5,40,1999,18813,4990,13823,73.476,8211,0,645,8856,4967,26.402,0,0,0,231,5198,-1665,32.03,0,3533,3533,0,0,3533,18.78,0,0.715,0.71,4992,4967,645,5612,29.83
6,40,2000,19284,6009,13275,68.839,9293,0,0,9293,3982,20.649,0,0,0,-163,3819,-1388,36.34,0,2431,2431,0,0,2431,12.606,0,0.49,0.49,4974,3982,792,4774,24.756
7,40,2001,19889,6204,13685,68.807,9994,0,0,9994,3691,18.558,0,0,0,-292,3399,-1222,35.95,0,2177,2177,0,0,2177,10.946,0,0.44,0.44,4974,3691,773,4464,22.445
8,40,2002,17545,6044,11501,65.551,6149,0,0,6149,5352,30.504,0,0,0,318,5670,-1691,29.82,-10,3969,3979,0,0,3969,22.622,0,0.8,0.8,4974,5352,803,6155,35.081
9,40,2003,19564,7105,12459,63.683,7001,0,0,7001,5458,27.898,0,0,0,41,5499,-1523,27.7,-926,3050,3976,0,0,3050,15.59,0,0.615,0.615,4966,5458,806,6264,32.018
10,40,2004,21044,7762,13282,63.115,8061,0,0,8061,5221,24.81,0,0,0,274,5495,-1148,20.89,0,4347,4347,0,0,4347,20.657,0,0.885,0.885,4924,5221,850,6071,28.849
11,40,2005,21742,7674,14068,64.704,8370,0,0,8370,5698,26.207,0,0,0,524,6222,-1375,22.1,0,4847,4847,0,0,4847,22.293,0,1,1,4858,5698,893,6591,30.315
12,40,2006,23104,8195,14909,64.53,8824,0,0,8824,6085,26.337,0,0,0,605,6690,-1818,27.17,0,4872,4872,0,0,4872,21.087,0,1.02,1.02,4786,6085,932,7017,30.371
13,40,2007,24088,8164,15924,66.108,9616,0,0,9616,6308,26.187,0,0,0,270,6578,-1498,22.77,0,5080,5080,0,0,5080,21.089,0,1.08,1.08,4700,6308,938,7246,30.081
14,40,2008,28857,10406,18451,63.939,10945,0,254,11199,7252,25.131,236,-456,-220,841,7873,-1892,24.03,0,5981,5981,0,0,5981,20.726,0,1.295,1.285,4662,8329,1163,9492,32.893
15,40,2009,31944,11374,20570,64.394,11774,0,350,12124,8446,26.44,333,-438,-105,-835,7506,-1632,21.74,0,5874,5874,0,-67,5807,18.179,0,1.255,1.245,4672,7944,1228,9172,28.713
