,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,42,1994,6452.4,1560.7,4891.7,75.812,3840.8,0,398.3,4239.1,652.6,10.114,0,0,0,49.3,701.9,-210.8,30.03,-10.9,480.2,491.1,0,0,480.2,7.442,0,0.4,0.4,1200.5,652.6,398.3,1050.9,16.287
1,42,1995,5711.6,1247.5,4464.1,78.158,1398.3,838.7,432.2,2669.2,1794.9,31.426,0,0,0,-96.3,1698.6,-513.5,30.23,101,1286.1,1185.1,101,0,1286.1,22.517,0,1.113,1.113,1167.968,1794.9,432.2,2227.1,38.993
2,42,1996,6763.8,1332,5431.8,80.307,1854,1042.3,553.7,3450,1981.8,29.3,0,0,0,-216.2,1765.6,-459,26,984.3,2290.9,1306.6,984.3,0,2290.9,33.87,0,2.015,2.015,1176.944,1981.8,553.7,2535.5,37.486
3,42,1997,6998.3,1328.6,5669.7,81.015,1892.4,1189.5,543.5,3625.4,2044.3,29.211,0,0,0,87,2131.3,-505.6,23.72,-102.2,1523.5,1625.7,-102.2,0,1523.5,21.77,3.6,1.39,1.36,1117.11,2044.3,543.5,2587.8,36.978
4,42,1998,7987.7,1436.2,6551.5,82.02,2233.1,1370.2,509.8,4113.1,2438.4,30.527,0,0,0,462.7,2901.1,-885.2,30.51,-2401,-385.1,2015.9,-2401,0,-385.1,-4.821,2.6,-0.35,-0.35,1130.579,2438.4,509.8,2948.2,36.909
5,42,1999,9236.8,1524.7,7712.1,83.493,2658.3,1738.9,490.4,4887.6,2824.5,30.579,0,0,0,-159.5,2665,-568.7,21.34,1.6,2097.9,2096.3,8.8,0,2097.9,22.712,2.8,1.91,1.87,1120.374,2824.5,490.4,3314.9,35.888
6,42,2000,10002.9,1658.3,8344.6,83.422,2757.6,1783.6,439.7,4980.9,3363.7,33.627,0,0,0,-118.3,3245.4,-698.7,21.53,174.3,2721,2546.7,174.3,0,2721,27.202,0.1,2.5,2.46,1106.057,3363.7,439.7,3803.4,38.023
7,42,2001,10862.2,1619.9,9242.3,85.087,3228.3,2018.5,435.8,5682.6,3559.7,32.771,0,0,0,299,3858.7,-800.9,20.76,0,3057.8,3057.8,0,0,3057.8,28.151,0,2.83,2.79,1095.986,3559.7,435.8,3995.5,36.784
8,42,2002,11542.5,2160.2,9382.3,81.285,3417.4,2235.1,0,5652.5,3729.8,32.314,0,0,0,-177.7,3552.1,-742.7,20.91,-29.4,2780,2809.4,0,0,2780,24.085,0,2.58,2.55,1090.196,3729.8,454.9,4184.7,36.255
9,42,2003,11077.5,2176.5,8901,80.352,3424,2149.3,0,5573.3,3327.7,30.04,0,0,0,130,3457.7,-749.8,21.68,0,2707.9,2707.9,0,0,2707.9,24.445,0,2.51,2.5,1083.16,3327.7,493,3820.7,34.491
10,42,2004,12582.5,2675.1,9907.4,78.74,4055.4,2350.2,0,6405.6,3501.8,27.831,0,0,0,-240.1,3261.7,-700.9,21.49,0,2560.8,2560.8,0,0,2560.8,20.352,0,2.38,2.37,1080.506,3501.8,548.5,4050.3,32.19
11,42,2005,13857.9,3223.9,10634,76.736,4284.2,2691.1,0,6975.3,3658.7,26.402,0,0,0,-716.8,2941.9,-1131.8,38.47,0,1810.1,1810.1,0,0,1810.1,13.062,0,1.67,1.66,1090.422,3658.7,597.5,4256.2,30.713
12,42,2006,14645.3,3474.2,11171.1,76.278,4497,3025.5,0,7522.5,3648.6,24.913,0,0,0,-931.1,2717.5,-715.9,26.34,-22,1979.6,2001.6,0,0,1979.6,13.517,0,1.82,1.81,1093.702,3648.6,726.4,4375,29.873
13,42,2007,15691,3546.5,12144.5,77.398,4889.8,3129.3,0,8019.1,4125.4,26.292,0,0,0,-707.4,3418,-755.3,22.1,0,2662.7,2662.7,0,0,2662.7,16.97,0,2.45,2.45,1086.816,4125.4,801.8,4927.2,31.401
14,42,2008,18633.5,4248.8,14384.7,77.198,6095.1,3486.7,0,9581.8,4802.9,25.776,0,0,0,-926.1,3876.8,-923.8,23.83,0,2953,2953,0,0,2953,15.848,0,2.71,2.71,1090.75,4802.9,1047.9,5850.8,31.399
15,42,2009,20371.9,4376.7,15995.2,78.516,6626.4,3840.9,0,10467.3,5527.9,27.135,210.7,-228.3,-17.6,-6817.9,-1307.6,-764.3,-58.45,0,-2071.9,-2071.9,0,0,-2071.9,-10.17,0,-1.89,-1.89,1094.499,-1079.3,1122.6,43.3,0.213
16,42,2010,21836,4247,17589,80.55,6892.5,4326.5,0,11219,6370,29.172,75.2,-261.3,-186.1,-826.1,5357.8,-1029,19.21,0,4328.8,4328.8,0,0,4328.8,19.824,0,3.94,3.94,1098.367,5619.1,1297.8,6916.9,31.677
17,42,2011,23076,4366.2,18709.8,81.079,7053.4,4884.2,0,11937.6,6772.2,29.347,51.9,-185.5,-133.6,-113.4,6525.2,-1455.7,22.31,0,5069.5,5069.5,0,0,5069.5,21.969,0,4.58,4.58,1105.813,6710.7,1328.2,8038.9,34.837
18,42,2012,24286.5,5067.9,19218.6,79.133,7879.9,5020.8,0,12900.7,6317.9,26.014,79.9,-186,-106.1,-862.3,5349.5,-1001.8,18.73,0,4347.7,4347.7,0,0,4347.7,17.902,0,3.9,3.9,1113.967,5535.5,1373.6,6909.1,28.448
19,42,2013,22603.4,4796.5,17806.9,78.78,7513.5,5278.1,0,12791.6,5015.3,22.188,105,-177.8,-72.8,465.7,5408.2,-1319.6,24.4,0,4088.6,4088.6,0,0,4088.6,18.088,0,3.67,3.66,1117.294,5586,1462.2,7048.2,31.182
20,42,2014,23113.1,4908.1,18205,78.765,7125.6,5531.3,0,12656.9,5548.1,24.004,119.7,-160.1,-40.4,381.6,5889.3,-1204.5,20.45,0,4684.8,4684.8,0,0,4684.8,20.269,0,4.33,4.32,1084.766,6049.4,1445.6,7495,32.428
21,42,2015,19615.6,4932.5,14683.1,74.854,6620.8,4733.6,0,11354.4,3328.7,16.97,121,-148.8,-27.8,-300.6,3000.3,-609.8,20.32,0,2390.5,2390.5,0,0,2390.5,12.187,0,2.23,2.23,1074.286,3149.1,1379,4528.1,23.084
22,42,2016,19958.7,5037.2,14921.5,74.762,6533,4796.4,0,11329.4,3592.1,17.998,87,-161.2,-74.2,-727.9,2790,-381.6,13.68,0,2408.4,2408.4,0,0,2408.4,12.067,0,2.27,2.26,1065.72,2951.2,1427.7,4378.9,21.94
23,42,2017,21222.1,5710.1,15512,73.094,6330.4,5310.3,0,11640.7,3871.3,18.242,108.7,-185.2,-76.5,-420.8,3374,-636.4,18.86,0,2737.6,2737.6,0,0,2737.6,12.9,0,2.59,2.58,1061.825,3559.2,1496.6,5055.8,23.823
24,42,2018,19973.8,4447.7,15526.1,77.732,6180.1,5096.2,0,11276.3,4249.8,21.277,166.4,-225,-58.6,-1886.4,2304.8,-2391.2,103.75,-117.7,-204.1,-86.4,-117.7,0,-204.1,-1.022,0,-0.19,-0.19,1052.023,2529.8,1567.3,4097.1,20.512
25,42,2019,21493.3,4681.7,16811.6,78.218,5734.6,5051.2,0,10785.8,6025.8,28.036,159.3,-242.5,-83.2,-2262.5,3680.1,-529.5,14.39,81.4,3232,3150.6,81.4,0,3232,15.037,0,3.14,3.13,1033.667,3922.6,1609,5531.6,25.736
26,42,2020,22319.5,4721.2,17598.3,78.847,6003.9,5595,0,11598.9,5999.4,26.88,80.4,-400.6,-320.2,-413.3,5265.9,-628,11.93,3680.5,8318.4,4637.9,3680.5,0,8318.4,37.27,0,8.93,8.89,935.684,5666.5,1232.6,6899.1,30.911
27,42,2021,24539.8,5483.3,19056.5,77.655,5869.4,6085.7,0,11955.1,7101.4,28.938,33,-359.6,-326.6,455.1,7229.9,-1036.2,14.33,0,6193.7,6193.7,0,0,6193.7,25.239,0,6.82,6.79,912.505,7589.5,1323.9,8913.4,36.322
28,42,2022,28318.4,7312.8,21005.6,74.177,6141.9,6930.7,0,13072.6,7933,28.014,25.4,-339.8,-314.4,-1463.1,6155.5,-573.8,9.32,0,5581.7,5581.7,0,0,5581.7,19.711,0,6.15,6.12,911.681,6495.3,1547.6,8042.9,28.402
29,42,2023,28541.4,6629.8,21911.6,76.771,6067.5,7190.8,0,13258.3,8653.3,30.318,62.8,-331.6,-268.8,-1578.1,6806.4,-561.6,8.25,0,6244.8,6244.8,0,0,6244.8,21.88,0,6.93,6.9,904.619,7138,1522.5,8660.5,30.344
