,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,46,1994,10498.2,2111.1,8387.1,79.891,2913.9,1172.8,414.7,4501.4,3885.7,37.013,0,0,0,-783,3102.7,-936.5,30.18,50.3,2216.5,2166.2,0,-50.3,2166.2,20.634,0,0.94,0.93,2329.247,3885.7,414.7,4300.4,40.963
1,46,1995,14969.8,5281.1,9688.7,64.722,3177.5,1230.6,875.5,5283.6,4405.1,29.427,0,0,0,10.1,4415.2,-1418.2,32.12,93.4,3090.4,2997,0,-93.4,2997,20.02,0,1.19,1.175,2552.4,4405.1,875.5,5280.6,35.275
2,46,1996,16681.1,6789.1,9892,59.301,3297.8,1331.4,859.2,5488.4,4403.6,26.399,0,0,0,393.6,4797.2,-1462,30.48,91.9,3427.1,3335.2,0,-91.9,3335.2,19.994,0,1.35,1.32,2539,4403.6,859.2,5262.8,31.55
3,46,1997,19828.7,8588.3,11240.4,56.688,3841.3,1487.3,927.1,6255.7,4984.7,25.139,0,0,0,556.1,5540.8,-1659.5,29.95,144.2,4025.5,3881.3,0,-144.2,3881.3,19.574,0,1.6,1.56,2488.013,4984.7,927.1,5911.8,29.814
4,46,1998,23636.9,10953.2,12683.7,53.661,4299.2,1683.7,837.1,6820,5863.7,24.807,0,0,0,598.6,6462.3,-1848.2,28.6,131.8,4745.9,4614.1,0,-131.8,4614.1,19.521,0,1.92,1.87,2467.433,5863.7,837.1,6700.8,28.349
5,46,1999,26898.2,13174.6,13723.6,51.021,4511.4,1821.1,1015.1,7347.6,6376,23.704,0,0,0,1757.1,8133.1,-2884.9,35.47,162.4,5410.6,5248.2,0,-162.4,5248.2,19.511,0,2.21,2.15,2441.023,6376,1015.1,7391.1,27.478
6,46,2000,32714,16389.4,16324.6,49.901,5199.9,2068.3,1462.2,8730.4,7594.2,23.214,0,0,0,1025.3,8619.5,-2729,31.66,222.3,6112.8,5890.5,0,-222.3,5890.5,18.006,0,2.51,2.45,2404.6,7594.2,1462.2,9056.4,27.684
7,46,2001,40363.2,21166.2,19197,47.561,6167.7,2343.8,1596.4,10107.9,9089.1,22.518,0,0,0,735,9824.1,-3002.4,30.56,308.7,7130.4,6821.7,0,-308.7,6821.7,16.901,0,2.96,2.9,2353.2,9089.1,1277.3,10685.5,26.473
8,46,2002,21199,3624.8,17574.2,82.901,5700.6,2456.4,139.1,8296.1,9278.1,43.767,0,0,0,670,9948.1,-2894.9,29.1,519.2,7572.4,7053.2,228.6,-290.6,7281.8,34.35,0,3.18,3.14,2322.3,9278.1,1132.5,10410.6,49.109
9,46,2003,21445.8,3907.1,17538.7,81.782,5652.2,2677.2,120,8449.4,9089.3,42.383,0,0,0,562.4,9651.7,-2856.9,29.6,568.9,7363.7,6794.8,354.7,-214.2,7149.5,33.338,0,3.17,3.14,2277,9089.3,1231.2,10320.5,48.124
