,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,49,1994,5316.3,0,5316.3,0,0,0,0,0,5316.3,100,0,0,0,-5316.3,0,0,0,428.7,428.7,428.7,0,0,428.7,8.064,0,0.144,0.144,1520.528,5316.3,0,5316.3,100
1,49,1995,5422.7,1715.3,3707.4,68.368,0,0,2558.9,2558.9,1148.5,21.18,0,0,0,-322.5,826,-307.3,37.2,39.6,558.3,518.7,0,-39.6,518.7,9.565,0,0.182,0.182,1491.544,1148.5,723.9,1872.4,34.529
2,49,1996,5592,1722,3870,69.206,0,0,2673,2673,1197,21.406,0,0,0,-315,882,-329,37.3,43,596,553,0,-43,553,9.889,0,0.198,0.198,1476.104,1197,918,2115,37.822
3,49,1997,6037,2131,3906,64.701,0,0,2735,2735,1171,19.397,0,0,0,-298,873,-294,33.68,24,603,579,0,-24,579,9.591,0,0.208,0.208,1459.552,1171,960,2131,35.299
4,49,1998,6369,2255,4114,64.594,0,0,2886,2886,1228,19.281,0,0,0,-306,922,-304,32.97,19,637,618,0,-19,618,9.703,0,0.223,0.223,1454.096,1228,1061,2289,35.94
5,49,1999,6661,2244,4417,66.311,0,0,3165,3165,1252,18.796,0,0,0,-309,943,-279,29.59,15,679,664,0,-15,664,9.969,0,0.481,0.481,1384,1252,1284,2536,38.072
6,49,2000,6438,2365,4073,63.265,0,0,2896,2896,1177,18.282,0,0,0,-157,1020,-323,31.67,15,712,697,0,-15,697,10.826,0,0.509,0.509,1368,1177,1040,2217,34.436
7,49,2001,7082,2868,4214,59.503,0,0,2974,2974,1240,17.509,0,0,0,-200,1040,-336,32.31,15,719,704,0,-15,704,9.941,0,0.518,0.518,1360.386,1240,1032,2272,32.081
8,49,2002,8217,3759,4458,54.253,0,0,3048,3048,1410,17.16,0,0,0,-250,1160,-379,32.67,15,796,781,0,-15,781,9.505,0,0.289,0.289,1352,1410,983,2393,29.123
9,49,2003,8173,3576,4597,56.246,0,0,3420,3420,1177,14.401,0,0,0,-238,939,-244,25.99,-207,488,695,0,-15,473,5.787,0,0.173,0.173,1376.8,1177,908,2129,26.049
10,49,2004,9630,4539,5091,52.866,0,0,3560,3560,1531,15.898,0,0,0,-270,1261,-368,29.18,-3,890,893,0,0,890,9.242,0,0.318,0.316,1422.4,1531,1118,2649,27.508
11,49,2005,10522,5217,5305,50.418,0,0,3820,3820,1485,14.113,0,0,0,-317,1168,-272,23.29,0,896,896,0,0,896,8.516,0,0.313,0.31,1441.6,1485,1246,2731,25.955
12,49,2006,11846,6171,5675,47.906,0,0,4185,4185,1490,12.578,0,0,0,-307,1183,-282,23.84,0,901,901,0,0,901,7.606,0,0.593,0.585,1542.8,1490,1496,2986,25.207
13,49,2007,15710,8943,6767,43.074,0,0,4670,4670,2097,13.348,0,0,0,-419,1678,-397,23.66,0,1281,1281,0,0,1281,8.154,0,0.813,0.808,1586,2097,1421,3518,22.393
14,49,2008,15263,8192,7071,46.328,0,0,4788,4788,2283,14.958,0,0,0,-603,1680,-368,21.9,0,1312,1312,0,0,1312,8.596,0,0.825,0.818,1602.4,2283,1479,3762,24.648
15,49,2009,16410,8412,7998,48.739,0,0,5173,5173,2825,17.215,72,-813,-741,5,2089,-450,21.54,0,1639,1639,0,0,1639,9.988,0,1.025,1.018,1610.8,2902,1643,4545,27.697
16,49,2010,15643,7405,8238,52.663,0,0,5644,5644,2594,16.583,78,-849,-771,119,1942,-327,16.84,0,1615,1615,0,0,1615,10.324,0,0.998,0.993,1628.8,2791,2004,4795,30.653
17,49,2011,15317,9119,6198,40.465,0,0,2952,2952,3246,21.192,91,-979,-888,131,2489,-532,21.37,0,1957,1957,0,0,1957,12.777,0,1.193,1.185,1652,3468,2073,5541,36.176
18,49,2012,15341,9258,6083,39.652,0,0,2771,2771,3312,21.589,79,-1035,-956,96,2452,-529,21.57,0,1923,1923,0,0,1923,12.535,0,1.155,1.148,1676,3487,1849,5336,34.783
19,49,2013,14256,8276,5980,41.947,0,0,2704,2704,3276,22.98,86,-1038,-952,279,2603,-692,26.58,0,1911,1911,0,0,1911,13.405,0,1.148,1.14,1676.8,3641,1777,5418,38.005
20,49,2014,15136,8152,6984,46.142,0,0,3443,3443,3541,23.395,78,-1121,-1043,-44,2454,-777,31.66,231,1908,1677,231,0,1908,12.606,0,1.125,1.118,1708,3575,2521,6096,40.275
21,49,2015,17021,8751,8270,48.587,0,0,3913,3913,4357,25.598,80,-1261,-1181,469,3645,-1176,32.26,0,2469,2469,0,-4,2465,14.482,0,1.418,1.4,1760.4,4906,2896,7802,45.838
22,49,2016,17486,8596,8890,50.841,0,0,4228,4228,4662,26.661,86,-1211,-1125,453,3990,-1228,30.78,0,2762,2762,0,-10,2752,15.738,0,1.528,1.515,1816,5201,3203,8404,48.061
23,49,2017,16138,7521,8617,53.396,0,0,4463,4463,4154,25.741,82,-1098,-1016,1240,4378,-1379,31.5,0,2999,2999,0,-93,2906,18.007,0,1.568,1.56,1863.2,5476,3428,8904,55.174
24,49,2018,17173,7529,9644,56.158,0,0,3812,3812,5832,33.96,81,-1558,-1477,308,4663,660,-14.15,0,5323,5323,0,57,5380,31.328,0,2.87,2.848,1890,6221,2638,8859,51.587
25,49,2019,16727,7062,9665,57.781,0,0,5462,5462,4203,25.127,51,-1498,-1447,4596,7352,-1576,21.44,0,5776,5776,0,862,6638,39.684,0,3.51,3.47,1907.9,8850,4147,12997,77.701
26,49,2020,19204,8003,11201,58.326,0,0,6020,6020,5181,26.979,54,-2249,-2249,904,3836,-448,11.68,0,3388,3388,0,381,3769,19.626,0,1.95,1.94,1941.9,6085,4478,10563,55.004
27,49,2021,17997,7290,10707,59.493,0,0,5761,5761,4946,27.482,38,-1950,-1950,-583,2413,-44,1.82,0,2369,2369,0,550,2919,16.219,0,1.49,1.48,1968.8,4363,4315,8678,48.219
28,49,2022,17069,8508,8561,50.155,0,0,5725,5725,2836,16.615,0,-1270,-1270,1609,3175,-348,10.96,0,2827,2827,0,746,3573,20.933,0,1.82,1.81,1972.2,4445,4214,8659,50.729
29,49,2023,20956,10817,10139,48.382,0,0,6580,6580,3559,16.983,0,-585,-585,858,3832,-586,15.29,0,3246,3246,0,901,4147,19.789,0,2.1,2.1,1978.6,4417,4790,9207,43.935
