,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,53,1999,158.2,103.2,55,34.766,18.9,25.1,6.5,50.5,4.5,2.845,0,0,0,0,4.5,-0.4,8.89,0,4.1,4.1,0,0,4.1,2.592,0,0.006,0.003,1314.864,4.5,6.5,11,6.953
1,53,2000,374.505,232.662,141.843,37.875,36.312,46.914,0,83.226,58.617,15.652,0,0,0,1.754,60.371,-19.412,32.15,0,40.959,40.959,0,0,40.959,10.937,0,0.027,0.022,1731.838,58.617,9.668,68.285,18.233
2,53,2001,735.264,462.385,272.879,37.113,58.697,86.047,0,144.744,128.135,17.427,0,0,0,16.673,144.808,-46.339,32,0,98.469,98.469,0,0,98.469,13.392,0,0.064,0.052,1910.573,128.135,15.836,143.971,19.581
3,53,2002,1369.471,850.233,519.238,37.915,97.185,153.92,16.371,267.476,251.762,18.384,0,0,0,0.987,252.749,-75.825,30,0,176.924,176.924,0,0,176.924,12.919,0,0.103,0.086,2051.862,251.762,43.497,295.259,21.56
4,53,2003,1909.447,1333.435,576.012,30.166,207.153,224.873,0,432.026,143.986,7.541,0,0,0,6.571,150.557,-59.758,39.69,0,90.799,90.799,0,0,90.799,4.755,0,0.049,0.045,2019.706,143.986,58.216,202.202,10.59
5,53,2004,1822.945,1294.067,528.878,29.012,165.249,269.972,0,435.221,93.657,5.138,0,0,0,-6.984,86.673,-12.254,14.14,0,74.419,74.419,0,0,74.419,4.082,0,0.038,0.036,2071.448,93.657,82.688,176.345,9.674
6,53,2005,2010.033,1362.478,647.555,32.216,204.159,348.22,0,552.379,95.176,4.735,0,0,0,11.852,107.028,-18.413,17.2,0,88.615,88.615,0,0,88.615,4.409,0,0.045,0.042,2108.69,95.176,102.597,197.773,9.839
7,53,2006,2375.687,1465.654,910.033,38.306,202.088,357.123,14.158,573.369,336.664,14.171,0,0,0,20.124,356.788,-55.612,15.59,0,301.176,301.176,0,0,301.176,12.677,0,0.148,0.137,2193.127,336.664,97.977,434.641,18.295
8,53,2007,3068.771,1768.322,1300.449,42.377,293.53,553.467,0,846.997,453.452,14.776,0,0,0,41.028,494.48,-46.35,9.37,0.704,448.834,448.13,0,0,448.834,14.626,0,0.212,0.192,2347.85,453.452,107.562,561.014,18.281
9,53,2008,4097.86,2228.58,1869.28,45.616,341.297,691.637,0,1032.934,836.346,20.409,0,0,0,64.995,901.341,-103.696,11.5,0,797.645,797.645,0,0,797.645,19.465,0,0.363,0.328,2426.928,836.346,133.192,969.538,23.66
10,53,2009,3424.859,2250.59,1174.269,34.287,362.222,855.879,0,1218.101,-43.832,-1.28,42.859,-0.406,42.453,-41.575,-42.954,12.913,30.06,0,-30.041,-30.041,0,0,-30.041,-0.877,0,-0.013,-0.013,2192.504,-42.548,185.023,142.475,4.16
11,53,2010,3326.445,2149.522,1176.923,35.381,367.017,908.851,0,1275.868,-98.945,-2.975,23.115,-3.32,19.795,-3.144,-82.294,14.307,17.39,0,-67.987,-67.987,0,0,-67.987,-2.044,0,-0.03,-0.03,2198.296,-78.974,196.664,117.69,3.538
12,53,2011,3543.309,2134.219,1409.09,39.768,361.513,848.83,0,1210.343,198.747,5.609,19.057,-3.127,15.93,56.492,271.169,-18.023,6.65,0,253.146,253.146,0,0,253.146,7.144,0,0.11,0.108,2354.736,274.296,186.989,461.285,13.019
13,53,2012,3997.93,1941.413,2056.517,51.44,405.613,1002.605,0,1408.218,648.299,16.216,19.149,-3.089,16.06,-0.963,663.396,-82.306,12.41,0,581.09,581.09,0,0,581.09,14.535,0,0.24,0.235,2465.484,666.485,204.205,870.69,21.779
14,53,2013,4280.159,2053.816,2226.343,52.015,430.822,1147.282,0,1578.104,648.239,15.145,19.908,-3.294,16.614,-2.814,662.039,-99.503,15.03,0,562.536,562.536,0,0,562.536,13.143,0,0.228,0.225,2499.828,665.333,226.235,891.568,20.83
15,53,2014,4130,1862,2268,54.915,436,1336,0,1772,496,12.01,17,-10,7,7,510,-70,13.73,0,440,440,0,0,440,10.654,0,0.188,0.185,2380,520,239,759,18.378
16,53,2015,4682,2083,2599,55.51,480,1360,0,1840,759,16.211,28,-46,-18,14,755,-124,16.42,0,631,631,0,0,631,13.477,0,0.285,0.28,2252,801,220,1021,21.807
17,53,2016,5010,2199,2811,56.108,602,1331,0,1933,878,17.525,39,-47,-8,-127,743,-129,17.36,0,614,614,0,0,614,12.256,0,0.283,0.27,2276,790,197,987,19.701
18,53,2017,6910,2847,4063,58.799,663,1463,0,2126,1937,28.032,54,-58,-4,-28,1905,-239,12.55,0,1666,1666,0,0,1666,24.11,0,0.77,0.643,2596,1963,187,2150,31.114
19,53,2018,9714,3892,5822,59.934,815,1797,0,2612,3210,33.045,69,-61,8,-22,3196,-149,4.66,0,3047,3047,0,0,3047,31.367,0,1.273,1.205,2528,3257,199,3456,35.578
20,53,2019,11716,4545,7171,61.207,991,2376,0,3367,3804,32.468,136,-58,78,14,3896,245,-6.29,0,4141,4141,0,0,4141,35.345,0,1.703,1.658,2500,3954,262,4216,35.985
