,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,54,1994,1960.802,955.772,1005.03,51.256,595.862,0,119.193,715.055,289.975,14.789,0,0,0,-10.744,279.231,-65.88,23.59,0,213.351,213.351,0,0,213.351,10.881,0,0.028,0.028,7517.857,289.975,119.193,409.168,20.867
1,54,1995,2193.956,622.164,1571.792,71.642,1101.913,0,171.233,1273.146,298.646,13.612,0,0,0,14.805,313.451,-81.126,25.88,-0.001,232.324,232.324,0,0,232.324,10.589,0,0.031,0.031,7473.016,298.646,171.233,469.88,21.417
2,54,1996,2457.946,686.405,1771.541,72.074,1231.754,0,204.134,1435.888,335.653,13.656,0,0,0,50.462,386.115,-106.189,27.5,0,279.926,279.926,0,0,279.926,11.389,0,0.037,0.037,7514.667,335.653,204.133,539.787,21.961
3,54,1997,2507.898,701.249,1806.649,72.038,1293.843,0,179.622,1473.465,333.184,13.285,0,0,0,92.417,425.601,-122.288,28.73,-0.501,302.812,303.313,0,0.501,303.313,12.094,0,0.041,0.041,7471.605,333.184,179.622,512.806,20.448
4,54,1998,2506.794,696.91,1809.884,72.199,888.015,408.788,168.567,1465.37,344.514,13.743,0,0,0,123.596,468.11,-140.574,30.03,0,327.536,327.536,0,0,327.536,13.066,0,0.043,0.043,7537.209,344.514,168.568,513.082,20.468
5,54,1999,2148.37,506.265,1642.105,76.435,844.11,417.042,155.389,1416.541,225.564,10.499,0,0,0,274.686,500.25,-182.456,36.47,61.153,378.947,317.794,62.155,1.003,379.95,17.686,0,0.04,0.04,47216.194,225.564,155.388,380.952,17.732
6,54,2000,2234.066,493.222,1740.844,77.923,863.892,351.584,128.58,1344.056,396.788,17.761,0,0,0,59.267,456.055,-183.828,40.31,56.253,328.48,272.227,56.254,0,328.48,14.703,0,0.047,0.046,53090.53,396.788,128.579,525.367,23.516
7,54,2001,2506.052,527.285,1978.767,78.96,955.1,388.221,124.578,1467.899,510.868,20.385,0,0,0,72.429,583.297,-211.493,36.26,-0.001,371.803,371.803,0,0,371.803,14.836,0,0.054,0.054,6940.413,510.868,124.578,635.446,25.357
8,54,2002,2839.479,714.12,2125.359,74.85,1084.183,474.08,-103.017,1455.246,670.113,23.6,0,0,0,50.009,720.122,-259.044,35.97,0,461.078,461.078,0,0,461.078,16.238,0,0.067,0.066,6936.096,670.113,129.022,799.135,28.144
9,54,2003,3451.726,909.064,2542.662,73.663,1292.698,567.194,-136.942,1722.95,819.712,23.748,0,0,0,43.705,863.417,-302.05,34.98,0,561.367,561.367,0,0,561.367,16.263,0,0.081,0.08,6981.768,819.712,182.59,1002.302,29.038
