,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,56,1998,1.298,0.216,1.082,83.359,2.235,0.361,-0.144,2.452,-1.37,-105.547,0,0,0,1.37,0,0,0,-1.514,-1.514,-1.514,0,0,-1.514,-116.641,0,-0.108,-0.108,14,-1.37,0,-1.37,-105.547
1,56,1999,2.589,0.194,2.395,92.507,3.236,0.647,-0.258,3.625,-1.23,-47.509,0,0,0,1.23,0,0,0,-1.23,-1.23,-1.23,0,0,-1.23,-47.509,0,-0.065,-0.065,19,-1.23,0,-1.23,-47.509
2,56,2000,4.737,0.203,4.534,95.715,2.978,0.541,0.068,3.587,0.947,19.992,0,0,0,-0.947,0,0,0,0.88,0.88,0.88,0,0,0.88,18.577,0,0.047,0.041,21.667,0.947,0.068,1.015,21.427
3,56,2001,7.97,0.451,7.519,94.341,7.386,1.032,0.021,8.439,-0.92,-11.543,0,0,0,0.92,0,0,0,-0.824,-0.824,-0.824,0,0,-0.824,-10.339,0,-0.033,-0.033,31.606,-0.92,0.02,-0.9,-11.292
4,56,2002,2.922,0.436,2.486,85.079,8.427,1.165,0.019,9.611,-7.125,-243.84,0,0,0,7.125,0,0,0,-6.795,-6.795,-6.795,0,0,-6.795,-232.546,0,-0.229,-0.229,35.598,-7.125,0.02,-7.104,-243.121
5,56,2003,0.56,0.037,0.523,93.393,2.121,0.792,0.058,2.971,-2.448,-437.143,0,0,0,2.448,0,0,0,-2.356,-2.356,-2.356,0,0,-2.356,-420.714,0,-0.076,-0.076,30.1,-2.448,0.058,-2.39,-426.786
6,56,2004,0.265,0.034,0.231,87.17,1.188,0.332,0.062,1.582,-1.351,-509.811,0,0,0,1.351,0,0,0,-1.353,-1.353,-1.353,0,0,-1.353,-510.566,0,-0.045,-0.045,30.044,-1.351,0.062,-1.288,-486.038
7,56,2005,0.427,0.016,0.411,96.253,1.267,0.419,0.075,1.761,-1.35,-316.159,0,0,0,1.35,0,0,0,-1.33,-1.33,0,0,1.33,0,0,0,0,0,31.1,-1.35,0.075,-1.275,-298.595
8,56,2006,0.572,0.013,0.559,97.727,1.358,0.396,0.043,1.797,-1.238,-216.434,0,0,0,1.238,0,0,0,-2.441,-2.441,-1.609,0,0.832,-1.609,-281.294,0,-0.051,-0.051,34.164,-1.238,0.043,-1.195,-208.916
9,56,2007,0.469,0.007,0.462,98.507,1.218,0.541,0.026,1.785,-1.323,-282.09,0,0,0,1.323,0,0,0,-2.403,-2.403,-2.251,0,0.152,-2.251,-479.957,0,-0.062,-0.062,37.842,-1.323,0.025,-1.298,-276.759
10,56,2008,0.509,0.034,0.475,93.32,1.817,0.688,0.025,2.53,-2.055,-403.733,0,0,0,2.055,0,0,0,-2.072,-2.072,-2.072,0,0,-2.072,-407.073,0,-0.041,-0.041,46.717,-2.055,0.025,-2.03,-398.821
11,56,2009,0.349,0.005,0.344,98.567,0.658,0.609,0.141,1.408,-1.064,-304.871,0,0,0.068,0.996,0,0,0,-0.995,-0.995,-0.995,0,0,-0.995,-285.1,0,-0.025,-0.025,51.476,-1.064,0.005,-1.058,-303.152
12,56,2010,0.393,0.005,0.388,98.728,1.024,0.649,0.011,1.684,-1.296,-329.771,0.008,0,0.008,1.288,0,0,0,-1.289,-1.289,-1.289,0,0,-1.289,-327.99,0,-0.028,-0.028,51.557,-1.296,0.011,-1.284,-326.718
13,56,2011,0.424,0.002,0.422,99.528,1.05,0.64,0.012,1.702,-1.28,-301.887,0,-0.109,-0.109,1.389,0,0,0,-1.572,-1.572,-1.572,0,0,-1.572,-370.755,0,-0.029,-0.029,53.105,-1.28,0.013,-1.267,-298.821
14,56,2012,0.467,0,0.467,0,3.208,0.861,0,4.069,-3.602,-771.306,0.026,0,0.026,0.001,-3.575,0,0,0,-3.575,-3.575,0,0,-3.575,-765.525,0,-0.059,-0.059,59.98,-3.602,0.013,-3.59,-768.737
15,56,2013,0.946,0.001,0.945,99.894,2.636,0.886,0,3.522,-2.577,-272.41,0.02,0,0.02,0,-2.557,0,0,0,-2.557,-2.557,0,0,-2.557,-270.296,0,-0.041,-0.041,61.096,-2.577,0.009,-2.568,-271.459
