,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,60,1994,7477.7,1513.8,5963.9,79.756,4792.4,0,258.2,5050.6,913.3,12.214,0,0,0,-64.5,848.8,-191.3,22.54,2.6,660.1,657.5,0,-2.6,657.5,8.793,0,0.17,0.17,3867.647,913.3,258.2,1171.5,15.667
1,60,1995,8281.3,1626.6,6654.7,80.358,4390.2,0,292,4682.2,1972.5,23.819,0,0,0,-115.6,1856.9,-558.5,30.08,4.6,1303,1298.4,0,-4.6,1298.4,15.679,0,0.349,0.349,3718.568,1972.5,292,2264.5,27.345
2,60,1996,10021.4,1790.1,8231.3,82.137,5297.1,0,374,5671.1,2560.2,25.547,0,0,0,-268,2292.2,-738,32.2,25.7,1579.9,1554.2,18.7,-7,1572.9,15.695,0,0.417,0.417,3774.96,2560.2,374,2934.2,29.279
3,60,1997,9864,1336,8528,86.456,3859,1567,359,5785,2743,27.808,0,0,0,-221,2522,-758,30.06,171,1935,1764,165,-6,1929,19.556,0,0.52,0.5,3858,2743,359,3102,31.448
4,60,1998,11055,1348,9707,87.806,4401,1805,428,6634,3073,27.797,0,0,0,-216,2857,-775,27.13,141,2223,2082,131,-10,2213,20.018,0,0.58,0.56,3951.786,3073,428,3501,31.669
5,60,1999,23231,4215,19016,81.856,9563,3305,797,13665,5351,23.034,0,0,0,-956,4395,-1163,26.46,1403,4635,3232,1401,-2,4633,19.943,0,0.76,0.73,6362,5351,797,6148,26.465
6,60,2000,27376,4663,22713,82.967,10810,4036,905,15751,6962,25.431,0,0,0,-17,6945,-1968,28.34,-20,4957,4972,-20,-5,4952,18.089,0,0.81,0.78,6317,6962,905,7867,28.737
7,60,2001,29355,5007,24348,82.943,11223,4435,120,15778,8570,29.194,0,0,0,-2789,5781,-2049,35.44,8,3740,3718,8,-14,3726,12.693,0,0.6,0.59,6368,8570,968,9538,32.492
8,60,2002,29024,3823,25201,86.828,9717,4776,94,14587,10614,36.57,0,0,0,-630,9984,-2433,24.37,251,7802,7537,251,-14,7788,26.833,0,1.25,1.22,6361,10614,972,11586,39.919
9,60,2003,32294,4014,28280,87.57,10829,5208,22,16059,12221,37.843,0,0,0,-425,11796,-2599,22.03,-65,9132,9161,375,-6,9126,28.259,0,1.48,1.46,6241,12221,1036,13257,41.051
10,60,2004,44736,9589,35147,78.565,15108,7487,2187,24782,10365,23.169,0,0,0,-7102,3263,-1614,49.46,2264,3913,1629,2311,-3,3910,8.74,4,0.54,0.54,7286,10365,4025,14390,32.167
11,60,2005,48988,6391,42597,86.954,15304,7513,3352,26169,16428,33.535,0,0,0,-3025,13403,-2460,18.35,425,11368,10936,425,-7,11361,23.191,5,1.51,1.49,7614,16428,5093,21521,43.931
12,60,2006,47405,7232,40173,84.744,15313,7256,3399,25968,14205,29.965,0,0,0,-3405,10800,-3178,29.43,475,8097,7610,498,-12,8085,17.055,6,1.1,1.09,7411,14205,5576,19781,41.728
13,60,2007,48371,7640,40731,84.205,15589,7599,3261,26449,14282,29.526,0,0,0,-1254,13028,-1992,15.29,8313,19349,11024,8313,-12,19337,39.976,5,2.67,2.66,7274,14282,5293,19575,40.469
14,60,2008,48418,11239,37179,76.788,15626,8089,3128,26843,10336,21.347,0,0,0,-1058,9278,-1023,11.03,-69,8186,8213,-69,-42,8144,16.82,4,1.18,1.17,6939,10336,5200,15536,32.087
15,60,2009,48296,8112,40184,83.204,14537,8578,5472,28587,11597,24.012,1288,-516,772,-2675,9694,-1645,16.97,78,8127,8049,78,-23,8104,16.78,0,1.2,1.2,6750,10210,5090,15300,31.68
16,60,2010,50009,8888,41121,82.227,14875,7845,2682,25402,15719,31.432,746,-1233,-487,-4405,10827,-2197,20.29,14,8644,8630,14,-9,8635,17.267,0,1.23,1.23,7045,12060,4757,16817,33.628
17,60,2011,65165,14788,50377,77.307,18973,9483,5364,33820,16557,25.408,400,-1797,-1397,-5689,9471,-1153,12.17,-30,8288,8318,-30,-31,8257,12.671,2,1.03,1.02,8074,11268,8399,19667,30.18
18,60,2012,61035,12500,48535,79.52,17581,8681,5465,31727,16808,27.538,456,-1681,-1225,-4102,11481,-3621,31.54,2189,10049,7860,2189,-40,10009,16.399,2,1.28,1.27,7870,13162,9026,22188,36.353
19,60,2013,54657,9821,44836,82.032,15171,7482,5109,27762,17074,31.239,382,-1522,-1140,-4692,11242,-2221,19.76,5577,14598,9021,5577,-28,14570,26.657,2,1.96,1.94,7508,12764,7655,20419,37.358
20,60,2014,51584,9586,41998,81.417,14355,6678,4599,25632,16366,31.727,403,-1414,-1011,361,15716,-4306,27.4,10662,22072,11410,10662,-69,22003,42.655,2,3.23,3.19,6895,17130,6410,23540,45.634
21,60,2015,49605,9577,40028,80.693,14097,8393,4039,26529,13499,27.213,425,-1360,-935,-324,12240,-3120,25.49,47,9167,9119,48,-32,9135,18.416,1,1.44,1.42,6424,13600,5537,19137,38.579
22,60,2016,48851,9648,39203,80.25,14809,7690,3728,26227,12976,26.562,471,-1199,-728,-3283,8965,-1990,22.2,11,6986,6975,11,-26,6960,14.247,1,1.13,1.11,6257,10164,5157,15321,31.363
