,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,63,1994,271.6,137.9,133.7,49.227,42.4,49.6,18.8,110.8,22.9,8.432,0,0,0,-5.6,17.3,-2.1,12.14,-2.9,12.3,15.2,0,2.9,15.2,5.597,0,0.02,0.02,760,22.9,18.8,41.7,15.354
1,63,1995,386.6,182.3,204.3,52.845,72.7,80.2,30.9,183.8,20.5,5.303,0,0,0,19.4,39.9,-9.7,24.31,-12,18.2,30.2,0,12,30.2,7.812,0,0.035,0.035,862.857,20.5,30.9,51.4,13.295
2,63,1996,813.9,479.1,334.8,41.135,285.4,162.3,-105.5,342.2,-7.4,-0.909,0,0,0,34,26.6,-5.6,21.05,-13.2,7.8,21,0,13.2,21,2.58,0,0.02,0.02,1050,-7.4,56.8,49.4,6.07
3,63,1997,2096.365,1518.006,578.359,27.589,236.188,235.922,8.792,480.902,97.457,4.649,0,0,0,10.977,108.434,-16.5,15.22,2.979,94.913,91.934,0,-2.979,91.934,4.385,0,0.079,0.079,1162.64,97.457,93.598,191.055,9.114
4,63,1998,3347.9,2203.5,1144.4,34.183,410.3,349.5,141.9,901.7,242.7,7.249,0,0,0,-94.1,148.6,-40.1,26.99,87.6,196.1,108.5,0,-87.6,108.5,3.241,0,0.098,0.091,1183.392,242.7,141.9,384.6,11.488
5,63,1999,3937.3,2566.7,1370.6,34.811,425.9,381.1,158.4,965.4,405.2,10.291,0,0,0,-98.5,306.7,-105.8,34.5,39.3,240.2,200.9,0,-39.3,200.9,5.103,0,0.17,0.155,1299.778,405.2,158.4,563.6,14.314
6,63,2000,3196.78,1507.122,1689.658,52.855,342.94,340.407,223.643,906.99,782.668,24.483,0,0,0,414.137,1196.805,-526.594,44,13.039,683.25,670.211,0,-13.039,670.211,20.965,0,0.465,0.425,1600.242,782.668,243.842,1026.51,32.111
7,63,2001,2679.786,1035.103,1644.683,61.374,367.155,414.76,855.838,1637.753,6.93,0.259,0,0,0,-433.235,-426.305,-104.501,-24.51,-17.937,-548.743,-530.806,0,0,-548.743,-20.477,0,-0.38,-0.38,1511.938,6.93,319.811,326.741,12.193
8,63,2002,2915,954,1961,67.273,401,452,268,1121,840,28.817,0,0,0,-218,622,-97,15.59,-164,361,525,-165,-1,360,12.35,0,0.235,0.22,1618.658,840,349,1189,40.789
9,63,2003,3847,1268,2579,67.039,483,523,0,1006,1573,40.889,0,0,0,-8,1565,-536,34.25,-202,827,1029,-202,0,827,21.497,0,0.52,0.51,1621.569,1573,146,1719,44.684
