,enterprise_id,years,interest_income,interest_expense,net_interest_income_(for_banks),non_interest_income,revenue,credit_losses_provision,"selling,_general,_&_admin._expense",other_noninterest_expense,total_noninterest_expense,special_charges,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),"depreciation,_depletion_and_amortization"
0,65,1994,7290.96,-3978.738,3312.222,1560.733,4872.955,1319.46,1741.687,1567.519,3309.206,0,-21.866,222.423,3.77,-1.69,21.865,248.058,226.193,0,-21.865,226.193,4.642,116.112,0.087,0.087,1269.565,208.852
1,65,1995,8291.491,-4834.481,3457.01,1980.301,5437.31,607.272,1981.041,1470.785,3451.826,0,-27.401,1350.811,-485.077,35.91,27.401,893.135,865.734,0,-27.401,865.734,15.922,124.417,0.592,0.592,1251.25,248.093
2,65,1996,9775.598,-6307.772,3467.826,1939.367,5407.193,430.97,1904.443,1555.952,3460.395,0,-17.091,1498.737,-561.005,37.43,17.09,954.822,937.732,0,-17.09,937.732,17.342,121.861,0.65,0.65,1254.857,267.499
3,65,1997,9777.929,-6339.263,3438.666,2417.792,5856.458,325.733,2110.579,1673.825,3784.404,0,-36.248,1710.073,-651.466,38.1,36.247,1094.854,1058.607,0,-36.247,1058.607,18.076,106.564,0.759,0.759,1253.529,240.561
4,65,1998,9424.599,-5819.436,3605.163,3091.779,6696.941,273.953,2470.965,1906.406,4377.371,0,-55.543,1990.074,-797.492,40.07,55.542,1248.124,1192.582,0,-55.542,1192.582,17.808,94.431,0.889,0.874,1256.922,320.865
5,65,1999,9258.99,-5981.71,3277.28,3233.929,6511.21,372.077,2386.791,1826.227,4213.018,0,-49.345,1876.77,-729.972,38.9,49.144,1195.942,1146.798,0,-49.144,1146.798,17.613,93.794,0.856,0.841,1252.147,264
6,65,2000,9612.429,-6149.406,3463.023,3716.925,7179.949,514.774,2772.012,2061.086,4833.098,0,-4.979,1827.098,-659.149,36.08,4.978,1172.927,1167.949,0,-4.978,1167.949,16.267,106.539,0.846,0.839,1264.789,310.656
7,65,2001,10650.408,-7160.353,3490.055,4450.676,7940.731,457.151,3075.196,1937.353,5012.549,0,-12.083,2458.948,-955.586,38.86,13.09,1516.452,1503.362,0,-13.09,1503.362,18.932,88.611,1.131,1.124,1219.73,302.082
8,65,2002,10881.241,-6865.401,4015.841,6213.092,10228.932,711.885,3641.217,3420.078,7061.295,0,-69.675,2386.077,-852.243,35.72,67.655,1601.489,1533.835,0,-67.654,1533.835,14.995,85.83,1.139,1.129,1294.432,428.141
9,65,2003,9156.272,-4761.736,4394.537,6539.49,10934.027,675.172,4001.674,3574.263,7575.937,0,-68.109,2614.809,-864.693,33.07,68.109,1818.225,1750.115,0,-68.11,1750.115,16.006,62.187,1.318,1.305,1358.306,304.025
