,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,66,1997,3930.465,416.457,3514.008,89.404,0,0,2596.42,2596.42,917.588,23.346,0,0,0,103.756,1021.344,-422.045,41.32,1.391,600.69,600.69,0,-1.391,599.299,15.248,0,0.479,0.479,1251.6,917.588,173.803,1091.391,27.768
1,66,1998,3255.777,323.298,2932.479,90.07,1967.721,0,104.25,2071.971,860.508,26.43,0,0,0,11.472,871.98,-378.079,43.36,0,493.901,493.901,0,0,493.901,15.17,0,0.395,0.395,1251.6,860.508,104.25,964.759,29.632
2,66,1999,4567.899,1859.916,2707.983,59.283,1642.294,0,170.801,1813.095,894.888,19.591,0,0,0,115.248,1010.136,-443.887,43.94,1.621,567.87,566.249,0,-1.621,566.249,12.396,0,1.33,1.322,244,894.888,146.402,1041.289,22.796
3,66,2000,5170.923,2028.778,3142.145,60.766,1408.791,753.633,174.841,2337.265,804.88,15.566,0,0,0,183.885,988.765,-380.835,38.52,3.014,610.944,607.93,0,-3.014,607.93,11.757,0,0.481,0.478,1254.768,804.88,174.842,979.722,18.947
4,66,2001,5626.191,2019.574,3606.617,64.104,1791.606,870.591,223.558,2885.755,720.862,12.813,0,0,0,200.7,921.562,-351.88,38.18,4.788,574.47,569.683,0,-4.787,569.683,10.126,0,0.451,0.451,1257.073,720.862,200.552,951.486,16.912
5,66,2002,6545.123,2543.323,4001.8,61.142,1947.309,801.362,83.141,2831.812,1169.988,17.876,0,0,0,-227.386,942.602,-424.722,45.06,10.017,527.897,517.88,0,-10.017,517.88,7.913,0,0.413,0.413,1255.433,1169.988,249.424,1419.412,21.687
6,66,2003,7563.244,2873.298,4689.946,62.01,2067.622,927.841,7552.021,10547.484,-5857.538,-77.447,0,0,0,6987.324,1129.786,-610.853,54.07,6.281,525.214,518.934,0,-6.28,518.934,6.861,0,0.413,0.413,1256.919,-5857.538,225.702,-5631.836,-74.463
7,66,2004,8625.271,3110.31,5514.961,63.94,2175.216,1222.882,0,3398.098,2116.863,24.543,0,0,0,56.094,2172.957,-850.469,39.14,8.487,1330.975,1322.488,0,-8.487,1322.488,15.333,0,1.069,1.066,1241.061,2116.863,264.626,2381.49,27.611
8,66,2005,10065.606,3466.291,6599.315,65.563,2531.757,1366.312,-11.745,3886.324,2712.991,26.953,0,0,0,63.297,2776.288,-1014.357,36.54,0.002,1761.933,1755.433,0,-6.5,1755.433,17.44,0,1.411,1.411,1243.846,2712.991,280.85,2993.84,29.743
9,66,2006,10085.649,3447.349,6638.3,65.819,2589.017,1291.004,-14.022,3865.999,2772.301,27.488,0,0,0,-19.029,2753.272,-969.504,35.21,-6.01,1777.758,1780.763,-7.011,-4.006,1773.752,17.587,0,1.429,1.418,1251.182,2772.301,241.375,3013.676,29.881
