,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,67,1994,284.9,127.3,157.6,55.318,121.9,0,12.5,134.4,23.2,8.143,0,0,0,-5.5,17.7,-7.5,42.37,0,10.2,10.2,0,0,10.2,3.58,0.3,0.001,0.001,926.976,23.2,12.5,35.7,12.531
1,67,1995,465.2,371.7,93.5,20.099,28.6,0,24.8,53.4,40.1,8.62,0,0,0,3,43.1,-17,39.44,0,26.1,26.1,0,0,26.1,5.611,0,0.001,0.001,1135.312,40.1,24.8,64.9,13.951
2,67,1996,697.9,564.7,133.2,19.086,37.3,0,39.4,76.7,56.5,8.096,0,0,0,11.6,68.1,-26.4,38.77,0,41.7,41.7,0,0,41.7,5.975,0,0.004,0.004,1241.344,56.5,39.4,95.9,13.741
3,67,1997,975.4,773.1,202.3,20.74,57.1,0,58.9,116,86.3,8.848,0,0,0,5,91.3,-36.1,39.54,0,55.2,55.2,0,0,55.2,5.659,0,0.006,0.005,1264.944,86.3,58.9,145.2,14.886
4,67,1998,1308.7,1031,277.7,21.22,77.6,0,80.9,158.5,119.2,9.108,0,0,0,-2.8,116.4,-48,41.24,0,68.4,68.4,0,0,68.4,5.227,0,0.024,0.023,2940.336,119.2,80.9,200.1,15.29
5,67,1999,1680.1,1323,357.1,21.255,89.7,0,107.5,197.2,159.9,9.517,0,0,0,4.1,164,-62.3,37.99,0,101.7,101.7,0,0,101.7,6.053,0,0.07,0.034,1461.593,159.9,107.5,267.4,15.916
6,67,2000,2169.218,1684.293,484.925,22.355,110.202,0,142.171,252.373,232.552,10.721,0,0,0,-71.982,160.57,-66.006,41.11,0,94.564,94.564,0,0,94.564,4.359,0,0.063,0.03,1536.792,232.552,142.171,374.723,17.275
7,67,2001,2648.98,2081.584,567.396,21.419,151.416,0,134.886,286.302,281.094,10.611,0,0,0,7.828,288.922,-107.712,37.28,0,181.21,181.21,0,0,181.21,6.841,0,0.119,0.058,1578.468,281.094,177.087,458.181,17.297
8,67,2002,3288.908,2598.297,690.611,20.998,202.161,0,169.725,371.886,318.725,9.691,0,0,0,22.661,341.386,-126.313,37,0,215.073,215.073,0,0,215.073,6.539,0,0.138,0.065,1588.716,318.725,221.141,539.866,16.415
9,67,2003,4075.522,1685.928,2389.594,58.633,1765.47,0,199.411,1964.881,424.713,10.421,0,0,0,11.622,436.335,-167.989,38.5,0,268.346,268.346,0,0,268.346,6.584,0,0.173,0.168,1606.592,424.713,259.271,683.984,16.783
10,67,2004,5294.247,4153.256,1140.991,21.552,304.293,0,230.111,534.404,606.587,11.458,0,0,0,14.047,620.634,-231.754,37.34,0,388.88,388.88,0,0,388.88,7.345,0,0.118,0.118,1642.348,606.587,325.65,932.237,17.609
11,67,2005,6369.3,4968.147,1401.153,21.999,357.114,0,263.424,620.538,780.615,12.256,0,0,0,15.732,796.347,-301.977,37.92,0,494.37,494.37,0,0,494.37,7.762,0,0.158,0.153,3261.668,780.615,377.304,1157.919,18.18
12,67,2006,7786.942,6126.693,1660.249,21.321,473.023,0,293.274,766.297,893.952,11.48,0,0,0,12.291,906.243,-324.77,35.84,-17.214,564.259,581.473,0,0,564.259,7.246,0,0.37,0.355,1585.112,893.952,414.638,1308.59,16.805
13,67,2007,9411.497,7215.013,2196.484,23.338,783.385,0,359.154,1142.539,1053.945,11.199,0,0,0,2.419,1056.364,-383.726,36.33,0,672.638,672.638,0,0,672.638,7.147,0,0.45,0.435,1540.2,1053.945,491.891,1545.836,16.425
14,67,2008,10383,4645.3,5737.7,55.261,4201.1,0,879.4,5080.5,657.2,6.33,9,-53.4,-44.4,-153.3,459.5,-144,31.34,0,315.5,315.5,0,0,315.5,3.039,0,0.215,0.215,1483.4,512.9,604.5,1117.4,10.762
15,67,2009,9774.6,4324.9,5449.7,55.754,3878.1,0,799.1,4677.2,772.5,7.903,37,-39.1,-2.1,-210.5,559.9,-168.4,30.08,0,391.5,391.5,0,-0.7,390.8,3.998,0,0.265,0.26,1491.8,599,563.3,1162.3,11.891
16,67,2010,10707.4,4416.5,6290.9,58.753,4176.5,0,790.1,4966.6,1324.3,12.368,50.3,-32.7,-32.7,145.4,1437,-488.7,34.01,0,948.3,948.3,0,-2.7,945.6,8.831,0,0.635,0.62,1528.4,1469.7,540.8,2010.5,18.777
