,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,70,2004,88.795,27.733,61.062,68.767,20.295,0,0.148,20.443,40.619,45.745,0,0,0,0.242,40.861,-1.935,4.74,0.001,38.927,38.927,0,0,38.927,43.839,0,0.006,0.006,6602.377,40.619,0,40.619,45.745
1,70,2005,138.166,50.519,87.647,63.436,34.148,0,-3.131,31.017,56.63,40.987,0,0,0,-0.61,56.02,-2.723,4.86,0.001,53.298,53.298,0,0,53.298,38.575,0,0.007,0.007,7766.18,56.63,0,56.63,40.987
2,70,2006,176.632,58.184,118.448,67.059,67.527,0,-1.298,66.229,52.219,29.564,5.616,-0.725,-0.241,2.143,54.121,5.982,-11.05,0,60.103,60.103,0,0,60.103,34.027,0,0.007,0.007,9094.885,54.121,7.098,61.219,34.659
3,70,2007,358.026,104.459,253.567,70.824,115.479,0,0.477,115.956,137.611,38.436,9.688,-0.688,3.739,1.425,142.775,-6.772,4.74,0,136.003,136.003,0,0,136.003,37.987,0,0.015,0.015,9092.675,143.463,17.178,160.641,44.869
4,70,2008,518.569,151.673,366.896,70.752,154.387,0,-9.394,144.993,221.903,42.791,11.637,-0.216,-13.598,-0.045,208.26,4.547,-2.18,-0.539,212.268,212.807,0,0.27,212.538,40.986,0,0.024,0.023,9184.82,208.476,26.141,234.617,45.243
5,70,2009,1043.865,316.67,727.195,69.664,269.971,0,-6.621,263.35,463.845,44.435,15.351,-20.533,-5.182,-5.652,453.011,-42.202,9.32,0.001,410.81,410.81,0,-4.534,406.276,38.92,0,0.045,0.044,9193.985,473.545,52.551,526.096,50.399
6,70,2010,1822.037,569.676,1252.361,68.734,381.958,0,8.526,390.484,861.877,47.303,19.921,-0.286,19.635,3.253,884.765,-119.974,13.56,-19.324,745.467,764.791,0,9.662,755.129,41.444,0,0.084,0.082,9236.425,861.877,78.834,940.711,51.63
7,70,2011,2954.424,950.449,2003.975,67.83,568.687,0,-5.723,562.964,1441.011,48.775,38.486,-0.019,38.36,11.393,1490.764,-270.377,18.14,-18.522,1201.865,1220.387,0,9.261,1211.126,40.994,0,0.133,0.13,9304.915,1441.011,117.749,1558.76,52.76
8,70,2012,4488.843,1563.957,2924.886,65.159,1134.811,0,-15.974,1118.837,1806.049,40.234,73.878,-11.426,62.451,37.405,1905.905,-295.239,15.49,0,1610.666,1610.666,0,-3.426,1607.24,35.805,0,0.177,0.173,9292.73,1917.332,305.505,2222.837,49.519
9,70,2013,7042.421,2921.159,4121.262,58.521,1726.351,0,-36.26,1690.091,2431.171,34.522,134.129,-52.464,81.665,-98.03,2414.806,-363.561,15.06,0,2051.245,2051.245,0,-8.503,2042.742,29.006,0,0.223,0.219,9315,2467.27,420.517,2887.787,41.006
10,70,2014,9950.443,4573.414,5377.029,54.038,2582.074,0,-60.588,2521.486,2855.543,28.698,216.339,-64.869,151.47,167.441,3174.454,-612.137,19.28,0,2562.317,2562.317,0,-10.043,2552.274,25.65,0,0.279,0.273,9341,3239.323,593.698,3833.021,38.521
11,70,2015,12754.419,4988.688,7765.731,60.887,3547.167,0,-63.341,3483.826,4281.905,33.572,270.821,-139.935,130.886,275.345,4688.136,-828.136,17.66,0.001,3860.001,3860.001,0,-12.604,3847.397,30.165,0,0.417,0.411,9357,4828.071,778.528,5606.599,43.958
12,70,2016,15949.978,6455.32,9494.658,59.528,3848.289,0,-51.325,3796.964,5697.694,35.722,360.826,-234.141,126.684,-208.711,5615.667,-1102.169,19.63,0,4513.498,4513.498,0,-46.828,4466.67,28.004,0,0.48,0.474,9430,5849.809,1034.873,6884.682,43.164
13,70,2017,21956.993,9745.802,12211.191,55.614,4999.422,0,-54.915,4944.507,7266.684,33.095,378.479,-313.159,65.32,130.639,7462.643,-1473.019,19.74,0,5989.624,5989.624,0,-50.869,5938.755,27.047,0,0.633,0.626,9494,7775.803,1841.238,9617.041,43.799
14,70,2018,36061.397,18327.216,17734.181,49.178,7690.196,0,-602.287,7087.909,10646.272,29.523,597.585,-464.115,133.471,2599.951,13379.694,-2387.915,17.85,0,10991.779,10991.779,0,-145.756,10846.023,30.077,0,1.152,1.137,9536,13843.809,3581.114,17424.923,48.32
15,70,2019,45425.28,24779.406,20645.874,45.45,9552.276,0,-239.116,9313.16,11332.714,24.948,663.742,-711.536,-47.794,2438.223,13723.143,-2103.81,15.33,-0.001,11619.332,11619.333,0,-183.767,11435.565,25.175,0,1.211,1.195,9568,14434.679,4975.231,19409.91,42.729
