,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,71,1994,91243.766,74960.842,16282.924,17.846,10472.442,0,4482.896,14955.338,1327.586,1.455,0,0,0,1105.314,2432.9,-1206.8,49.6,20.45,1246.55,1226.099,0,-20.451,1226.099,1.344,0,0.653,0.653,1877.941,1327.586,4482.895,5810.481,6.368
1,71,1995,91466.133,73732.618,17733.515,19.388,11132.949,0,3720.401,14853.35,2880.165,3.149,0,0,0,394.395,3274.56,-1788.423,54.62,47.438,1533.575,1486.137,0,-47.438,1486.137,1.625,0,0.773,0.773,1922.222,2880.165,3720.401,6600.566,7.216
2,71,1996,102227.511,80736.524,21490.987,21.023,12929.045,0,5242.385,18171.43,3319.557,3.247,0,0,0,881.65,4201.207,-1750.36,41.66,49.941,2500.788,2450.847,0,-49.941,2450.847,2.397,0,1.254,1.254,1955.081,3319.557,5242.385,8561.941,8.375
3,71,1997,99550.446,75750.835,23799.611,23.907,13439.531,0,4954.102,18393.633,5405.978,5.43,0,0,0,610.97,6016.948,-2879.223,47.85,47.89,3185.615,3137.725,0,-47.89,3137.725,3.152,0,1.633,1.633,1921.111,5405.978,4954.102,10360.08,10.407
4,71,1998,90487.764,66062.649,24425.115,26.993,12127.187,0,5878.726,18005.913,6419.202,7.094,0,0,0,517.483,6936.685,-3553.404,51.23,3.196,3386.477,3383.281,0,-3.196,3383.281,3.739,0,1.856,1.856,1823,6419.202,5878.727,12297.928,13.591
5,71,1999,105492.862,76123.279,29369.583,27.84,16018.504,0,7146.027,23164.531,6205.052,5.882,0,0,0,1051.619,7256.671,-3521.679,48.53,143.54,3878.532,3734.993,0,-143.539,3734.993,3.541,0,1.974,1.974,1890.179,6205.052,7146.027,13351.079,12.656
6,71,2000,115656.188,83955.513,31700.675,27.409,17851.626,0,7488.036,25339.662,6361.013,5.5,0,0,0,1876.117,8237.13,-3848.891,46.73,69.593,4457.832,4388.239,0,-69.593,4388.239,3.794,0,2.339,2.339,1874.703,6361.013,7488.036,13849.05,11.974
7,71,2001,110048.302,89180.329,20867.973,18.963,14244.109,0,0,14244.109,6623.864,6.019,0,0,0,3417.797,10041.661,-4388.232,43.7,101.714,5755.143,5653.429,0,-101.714,5653.429,5.137,0,2.992,2.992,1867.971,6623.864,6574.045,13197.908,11.993
8,71,2002,108958.627,86254.814,22703.813,20.837,14381.042,0,0,14381.042,8322.771,7.639,0,0,0,-869.089,7453.682,-3217.759,43.17,82.142,4318.065,4235.922,0,-82.143,4235.922,3.888,0,2.33,2.33,1827.653,8322.771,6163.738,14486.509,13.295
9,71,2003,128189.3,102029.598,26159.702,20.407,15644.333,0,0,15644.333,10515.369,8.203,0,0,0,-30.813,10484.556,-4275.13,40.78,95.422,6304.848,6209.425,0,-95.423,6209.425,4.844,0,3.543,3.543,1776.812,10515.369,7199.435,17714.804,13.819
