,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,75,1998,1355.383,704.787,650.596,48.001,112.668,77.303,0,189.971,460.625,33.985,0,0,0,14.6,475.225,78.944,-16.61,-2.26,551.909,554.169,0,2.26,554.169,40.887,0,0.143,0.143,3881.665,460.625,301.229,761.854,56.21
1,75,1999,1556.688,959.518,597.17,38.362,70.736,100.226,-0.001,170.961,426.209,27.379,0,0,0,-3.985,422.224,51.408,-12.18,-31.283,442.349,473.632,0,31.283,473.632,30.426,0,0.119,0.119,3968.453,426.209,472.237,898.445,57.715
2,75,2000,2413.135,1462.249,950.886,39.405,148.856,97.745,-0.001,246.6,704.286,29.186,0,0,0,-35.605,668.681,75.355,-11.27,-16.314,727.722,744.037,0,16.315,744.037,30.833,0,0.246,0.246,4044.61,704.286,796.878,1501.164,62.208
3,75,2001,5017.589,2707.537,2310.052,46.039,304.612,154.922,-0.001,459.533,1850.519,36.881,0,0,0,79.811,1930.33,35.259,-1.83,-1.112,1964.477,1965.588,0,1.111,1965.588,39.174,0,0.403,0.403,4885.145,1850.519,1251.279,3101.798,61.819
4,75,2002,3754.322,2878.239,876.083,23.335,313.284,325.251,7.965,646.5,229.583,6.115,0,0,0,62.85,292.433,125.166,-42.8,-186.004,231.595,417.599,0,186.004,417.599,11.123,0,0.152,0.152,5192.498,229.583,1409.255,1638.838,43.652
5,75,2003,4671.799,3166.508,1505.291,32.221,258.878,337.841,0,596.719,908.572,19.448,0,0,0,-124.941,783.631,-161.924,20.66,-1,620.707,621.707,0,1,621.707,13.308,0,0.121,0.121,5064.802,908.572,1871.118,2779.69,59.499
6,75,2004,5950.381,3755.879,2194.502,36.88,319.055,372.896,0,691.951,1502.551,25.251,0,0,0,-117.652,1384.899,-114.661,8.28,114.661,1384.899,1384.899,0,0,1384.899,23.274,4.985,0.27,0.27,5123.381,1502.551,2026.998,3529.549,59.316
7,75,2005,8008.095,4402.088,3606.007,45.03,461.096,390.158,0,851.254,2754.753,34.4,0,0,0,108.377,2863.13,10.838,-0.38,0,2873.968,2873.968,0,0,2873.968,35.888,0,0.562,0.562,5105.408,2754.753,2174.442,4929.195,61.553
8,75,2006,8032.266,4470.52,3561.746,44.343,398.285,422.352,-0.001,820.636,2741.11,34.126,0,0,0,99.277,2840.387,-19.001,0.67,0,2821.386,2819.647,0,-1.739,2819.647,35.104,0,0.538,0.538,5232.909,2741.11,2283.146,5024.256,62.551
9,75,2007,9761.008,4970.206,4790.802,49.081,383.866,494.114,0,877.98,3912.822,40.086,0,0,0,188.425,4101.247,-239.54,5.84,50.113,3911.82,3856.696,0,-6.014,3905.806,40.014,0,0.734,0.734,5332.701,3912.822,2267.112,6179.934,63.313
10,75,2008,9955.21,5562.47,4392.74,44.125,391.244,553.345,0,944.589,3448.151,34.637,0,0,0,305.19,3753.341,-361.225,9.62,0,3392.116,3369.102,0,-23.014,3369.102,33.843,0,0.623,0.623,5405.36,3448.151,2464.537,5912.688,59.393
11,75,2009,10048.339,5773.042,4275.297,42.547,477.547,647.883,0,1125.43,3149.867,31.347,162.079,-18.549,143.53,68.706,3362.103,-330.232,9.82,0,3031.871,6028.152,0,-17.795,3014.076,29.996,0,0.579,0.575,5247.136,3380.652,2458.482,5839.134,58.11
12,75,2010,9171.467,5160.768,4010.699,43.73,489.157,669.648,0,1158.805,2851.894,31.095,80.658,-12.141,68.517,40.046,2960.457,-185.959,6.28,0,2774.498,2774.498,0,-7.703,2766.795,30.167,0,0.535,0.533,5182.491,2972.598,2506.201,5478.799,59.737
13,75,2011,14030.711,7106.166,6924.545,49.353,607.717,993.489,0,1601.206,5323.339,37.941,55.69,-14.227,41.463,329.594,5694.396,-267.161,4.69,-0.001,5427.234,5427.234,0,-22.638,5404.596,38.52,0,1.043,1.042,5183.963,5708.622,2936.655,8645.277,61.617
14,75,2012,14115.687,7700.282,6415.405,45.449,617.573,1118.325,0.001,1735.899,4679.506,33.151,48.908,-20.717,28.191,90.495,4798.192,-353.528,7.37,-0.001,4444.663,4444.664,0,-8.33,4436.333,31.428,0,0.856,0.856,5184.936,4818.909,3559.66,8378.569,59.356
15,75,2013,17446.343,9041.041,8405.302,48.178,761.907,1390.525,0.199,2152.631,6252.671,35.839,56.637,-35.125,21.512,-19.605,6254.578,-770.359,12.32,0,5484.219,5484.219,0,6.693,5490.912,31.473,0,1.059,1.059,5185.58,6289.704,4522.347,10812.05,61.973
16,75,2014,20085.364,10619.363,9466.001,47.129,786.824,1613.28,0.056,2400.16,7065.841,35.179,61.77,-89.048,-27.278,227.168,7265.731,-1080.358,14.87,0,6185.373,6185.373,0,4.303,6189.676,30.817,0,1.194,1.194,5185.92,7354.779,5254.524,12609.303,62.779
17,75,2015,24331.38,12283.562,12047.818,49.516,766.167,1812.611,1.314,2580.092,9467.726,38.912,87.098,-103.225,-16.127,183.335,9634.934,-1527.496,15.85,0.001,8107.439,8107.438,0,3.757,8111.196,33.336,0,1.564,1.564,5186.02,9738.159,6387.221,16125.38,66.274
18,75,2016,25724.295,13208.63,12515.665,48.653,699.041,1998.89,6.054,2703.985,9811.68,38.142,125.93,-97.293,28.636,848.072,10688.388,-1453.003,13.59,0,9235.385,9235.385,0,0.549,9235.934,35.904,0,1.781,1.781,5186.08,10785.682,6785.673,17571.355,68.307
19,75,2017,29621.7,14783.429,14838.271,50.093,803,2225.206,0.521,3028.727,11809.544,39.868,197.419,-103.314,94.105,156.216,12059.865,-1691.361,14.02,-0.001,10368.503,10368.504,0,-2.612,10365.891,34.994,0,1.998,1.998,5186.06,12163.179,6994.528,19157.707,64.675
20,75,2018,32630.91,16111.642,16519.268,50.625,907.016,2695.171,8.934,3611.121,12908.147,39.558,315.969,-111.179,204.791,112.517,13225.455,-1706.685,12.9,0,11518.77,11518.77,0,-1.359,11517.411,35.296,0,2.22,2.22,5186.06,13336.634,8684.595,22021.229,67.486
21,75,2019,33505.136,17331.039,16174.097,48.273,852.886,2790.431,68.269,3711.586,12462.511,37.196,477.367,-99.122,378.245,73.951,12914.707,-1118.728,8.66,0,11795.979,11795.979,0,-1.738,11794.241,35.201,0,2.274,2.274,5186.06,13013.829,9503.749,22517.578,67.206
22,75,2020,35360.898,19078.076,16282.822,46.048,928.18,3021.207,16.402,3965.789,12317.033,34.832,535.028,-107.436,427.592,139.545,12884.17,-1184.279,9.19,0,11699.891,11699.891,0,-2.611,11697.28,33.08,0,2.256,2.256,5186.06,12991.606,9480.954,22472.56,63.552
23,75,2021,47486.422,22271.636,25214.786,53.099,1261.232,3882.083,-25.175,5118.14,20096.646,42.321,319.769,-73.804,245.964,390.942,20733.552,-2614.564,12.61,0,18118.988,18118.988,0,-9.361,18109.627,38.136,0,3.493,3.493,5186.06,20807.357,11762.074,32569.431,68.587
24,75,2022,57208.061,27673.163,29534.898,51.627,1603.288,4495.256,12.015,6110.559,23424.339,40.946,205.737,-195.12,10.617,459.869,23894.825,-2528.296,10.58,0,21366.529,21366.53,0,-18.79,21347.739,37.316,0,4.116,4.116,5186.06,24089.945,15222.48,39312.425,68.718
25,75,2023,73856.902,29868.346,43988.556,59.559,2069.831,5326.245,12.02,7408.096,36580.46,49.529,731.499,-383.331,348.168,395.438,37324.066,-4918.946,13.18,0,32405.12,32405.12,0,-12.113,32393.007,43.859,0,6.246,6.246,5185.84,37707.396,14264.929,51972.325,70.369
