,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,76,1994,23036.7,20988.4,2048.3,8.891,0,0,986.7,986.7,1061.6,4.608,0,0,0,-277.7,783.9,-279.7,35.68,39.1,543.3,504.2,0,-39.1,504.2,2.189,0,0.57,0.57,884.561,1061.6,986.7,2048.3,8.892
1,76,1995,25612,23170.9,2441.1,9.531,0,0,1243.5,1243.5,1197.6,4.676,0,0,0,-239.6,958,-324,33.82,64.2,698.2,634,0,-64.2,634,2.475,0,0.685,0.685,925.547,1197.6,1243.5,2441.1,9.531
2,76,1996,27695.5,24713.7,2981.8,10.766,0,0,1681,1681,1300.8,4.697,0,0,0,-429.9,870.9,-412.5,47.36,-9.2,449.2,458.4,0,9.2,458.4,1.655,0,0.49,0.49,935.51,1300.8,1681,2981.8,10.766
3,76,1997,34061.7,30769,3292.7,9.667,0,0,1536.4,1536.4,1756.3,5.156,0,0,0,-161.4,1594.9,-505.8,31.71,-26.8,1062.3,1089.1,0,26.8,1089.1,3.197,0,1.135,1.135,959.559,1756.3,1536.4,3292.7,9.667
4,76,1998,31720.1,28044.1,3676,11.589,0,0,1506.1,1506.1,2169.9,6.841,0,0,0,-229.7,1940.2,-676.8,34.88,55.8,1319.2,1263.4,0,-55.8,1263.4,3.983,0,1.29,1.29,979.38,2169.9,1506.1,3676,11.589
5,76,1999,28507.1,25257.3,3249.8,11.4,0,0,1627.4,1627.4,1622.4,5.691,0,0,0,-155,1467.4,-429,29.24,53.9,1092.3,1038.4,0,-53.9,1038.4,3.643,0,1.06,1.06,979.623,1622.4,1627.4,3249.8,11.4
6,76,2000,42566,37349,5217,12.256,0,0,2499,2499,2718,6.385,0,0,0,-333,2385,-851,35.68,45,1579,1534,0,-45,1534,3.604,0,1.082,1.082,2790.086,2718,2499,5217,12.256
7,76,2001,107890,89928,17962,16.648,0,0,4576,4576,13386,12.407,0,0,0,-930,12456,-5954,47.8,286,6788,6502,0,-286,6502,6.027,0,2.298,2.298,2815.535,13386,5237,18623,17.261
8,76,2002,93870,78220,15650,16.672,0,0,15875,15875,-225,-0.24,0,0,0,12286,12061,-5235,43.4,148,6974,6826,0,-148,6826,7.272,0,2.46,2.46,2744.518,-225,4804,4579,4.878
9,76,2003,107698,90979,16719,15.524,0,0,6084,6084,10635,9.875,0,0,0,892,11527,-5287,45.87,14,6254,6240,0,-14,6240,5.794,0,2.34,2.34,2629.82,10635,6555,17190,15.961
10,76,2004,131568,109257,22311,16.958,0,0,6257,6257,16054,12.202,0,0,0,-492,15562,-6730,43.25,244,9076,8832,0,-244,8832,6.713,0,3.488,3.488,2498.372,16054,6669,22723,17.271
11,76,2005,129127,76445,52682,40.799,22717,0,6902,29619,23063,17.861,0,0,0,4257,27320,-11654,42.66,-565,15101,15666,-946,-381,14720,11.4,0,6.117,6.089,2417.3,23063,9051,32114,24.87
12,76,2006,138642.205,83252.597,55389.608,39.951,0,0,27096.682,27096.682,28292.926,20.407,1097.938,-1318.236,-178.844,-0.001,28114.081,-13983.016,49.74,843.293,14974.358,15520.366,-546.008,-438.228,14536.13,10.485,0,6.194,6.159,2360.192,29432.318,7204.7,36637.017,26.426
13,76,2007,175123.071,109984.294,65138.777,37.196,25784,0,7394.477,33178.477,31960.3,18.25,1804.168,-1973.102,-64.67,2234.423,34130.053,-18107.669,53.05,-6.599,16015.785,16022.384,-6.599,-484.367,15531.418,8.869,0,6.771,6.718,2312.305,36103.156,7331.494,43434.65,24.802
14,76,2008,199489.699,128022.803,71466.896,35.825,25430,0,9833.242,35263.242,36203.654,18.148,1813.755,-2130.141,-247.86,3570.647,39526.441,-19792.38,50.07,0,19734.061,19734.06,0,-516.133,19217.928,9.634,0,8.515,8.456,2274.385,41656.582,8669.281,50325.864,25.227
15,76,2009,223196.536,154556.338,68640.198,30.753,26590.472,0,9846.313,36436.785,32203.413,14.428,658.463,-1014.84,-172.62,2909.486,34940.279,-19692.625,56.36,0.001,15247.655,15247.654,0,-505.332,14742.323,6.605,0,6.599,6.557,2246.659,35955.119,8626.834,44581.953,19.974
16,76,2010,160686.859,101808.127,58878.732,36.642,0,0,38265.803,38265.803,20612.929,12.828,189.123,-591.724,-101.725,2957.19,23468.394,-11105.221,47.32,0,12363.173,12363.173,0,-260.76,12102.413,7.532,0,5.43,5.416,2237.292,24060.118,10182.532,34242.65,21.31
17,76,2011,186828.036,135468.813,51359.223,27.49,0,0,27047.479,27047.479,24311.744,13.013,174.225,-618.433,-287.272,3951.323,27975.795,-13602.873,48.62,0,14372.922,14372.922,0,-313.872,14059.05,7.525,0,6.291,6.264,2244.495,28594.228,12125.283,40719.511,21.795
18,76,2012,215864.17,158110.298,57753.872,26.755,0,0,27418.832,27418.832,30335.04,14.053,353.833,-924.114,-318.839,4595.943,34612.144,-18263.236,52.77,0,16348.908,16348.908,0,-395.308,15953.6,7.391,0,7.103,7.064,2256.951,35536.258,11182.684,46718.942,21.643
19,76,2013,234216,175465,58751,25.084,0,0,31650,31650,27101,11.571,0,-863,-425,3907,30583,-16747,54.76,0,13836,13836,0,-188,13648,5.827,0,6.05,6.02,2266.636,31446,13466,44912,19.176
20,76,2014,227969,173135,54834,24.053,0,0,31517,31517,23317,10.228,0,-889,-428,3399,26288,-14767,56.17,0,11521,11521,0,-293,11228,4.925,0,4.96,4.94,2271.544,27177,13358,40535,17.781
21,76,2015,212018,172885,39133,18.457,0,0,30856,30856,8277,3.904,0,-748,-234,4821,12864,-8614,66.96,0,4250,4250,0,-6,4244,2.002,0,1.87,1.86,2281.004,13612,20859,34471,16.259
