,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,77,1994,8523,6274,2249,26.387,1521,0,0,1521,728,8.542,0,0,0,-32,696,-220,31.61,-4,472,476,0,0,472,5.538,20,0.318,0.318,1497.696,728,617,1345,15.781
1,77,1995,8608,5725,2883,33.492,1379,578,0,1957,926,10.757,0,0,0,-39,887,-295,33.26,99,691,592,99,0,691,8.027,0,0.45,0.45,1526.992,926,580,1506,17.495
2,77,1996,11409,7401,4008,35.13,1727,842,0,2569,1439,12.613,0,0,0,31,1470,-474,32.24,92,1088,996,92,0,1088,9.536,0,0.7,0.7,1549.048,1439,681,2120,18.582
3,77,1997,9940,7146,2794,28.109,1639,1181,0,2820,-26,-0.262,0,0,0,3,-23,-23,-100,109,63,-46,109,0,63,0.634,0,0.05,0.05,1517.552,-26,904,878,8.833
4,77,1998,9972,6179,3793,38.037,1571,1556,0,3127,666,6.679,0,0,0,105,771,-432,56.03,1503,1842,339,1525,0,1842,18.472,0,1.17,1.13,1590.908,666,1157,1823,18.281
5,77,1999,8875,5605,3270,36.845,1549,1265,0,2814,456,5.138,0,0,0,225,681,-229,33.63,0,452,452,0,0,452,5.093,0,0.26,0.255,1772.549,456,1248,1704,19.2
6,77,2000,9759,5069,4690,48.058,1556,1379,0,2935,1755,17.983,0,0,0,327,2082,-631,30.31,0,1451,1451,0,0,1451,14.868,0,0.86,0.83,1748.193,1755,1074,2829,28.989
7,77,2001,11875,6120,5755,48.463,1669,1747,0,3416,2339,19.697,0,0,0,2239,4578,-1491,32.57,-29,3058,3087,0,0,3058,25.752,0,1.78,1.71,1788.304,2339,1376,3715,31.284
8,77,2002,8201,5824,2377,28.984,1361,1598,0,2959,-582,-7.097,0,0,0,156,-426,225,52.82,0,-201,-201,0,0,-201,-2.451,0,-0.12,-0.12,1675,-582,1828,1246,15.193
9,77,2003,8383,5313,3070,36.622,1163,1619,0,2782,288,3.436,0,0,0,-634,-346,2,0.58,0,-344,-344,0,0,-344,-4.104,0,-0.2,-0.2,1720,288,1689,1977,23.583
10,77,2004,9834,5872,3962,40.289,1249,1748,0,2997,965,9.813,0,0,0,285,1250,-52,4.16,0,1198,1198,0,0,1198,12.182,0,0.62,0.6,1996.667,965,1528,2493,25.351
11,77,2005,11552,6295,5257,45.507,1351,1946,0,3297,1960,16.967,0,0,0,212,2172,-481,22.15,170,1861,1691,170,0,1861,16.11,0,1.08,1.05,1768,1960,1637,3597,31.138
12,77,2006,12335,6319,6016,48.772,1471,1986,0,3457,2559,20.746,0,0,0,196,2755,-582,21.13,151,2324,2173,151,0,2324,18.841,0,1.42,1.39,1671,2559,1527,4086,33.125
13,77,2007,14255,6996,7259,50.922,1697,2195,0,3892,3367,23.62,0,0,0,258,3625,-987,27.23,1703,4341,2638,1703,0,4341,30.453,0,2.84,2.78,1560,3367,1221,4588,32.185
14,77,2008,13835,6502,7333,53.003,1681,2155,0,3836,3497,25.277,0,0,0,195,3692,-1051,28.47,16,2657,2641,16,0,2657,19.205,0,1.88,1.84,1446,3497,1070,4567,33.011
15,77,2009,12501,6256,6245,49.956,1614,1940,0,3554,2691,21.526,76,0,76,-286,2481,-561,22.61,0,1920,1920,0,0,1920,15.359,0,1.46,1.44,1321,2691,1059,3750,29.998
16,77,2010,10427,5428,4999,47.943,1320,1476,0,2796,2203,21.128,24,0,24,-210,2017,-547,27.12,0,1470,1470,0,0,1470,14.098,0,1.16,1.15,1269,2203,925,3128,29.999
17,77,2011,13966,6474,7492,53.645,1519,1570,0,3089,4403,31.527,11,0,11,137,4551,-1323,29.07,0,3228,3228,0,0,3228,23.113,0,2.66,2.62,1213,4551,913,5464,39.124
18,77,2012,13735,6963,6772,49.305,1638,1715,0,3353,3419,24.893,12,-42,-30,-434,2955,-719,24.33,0,2236,2236,0,0,2236,16.28,0,1.91,1.88,1171,2997,1108,4105,29.887
19,77,2013,12825,6457,6368,49.653,1804,1877,0,3681,2687,20.951,40,-85,-45,-707,1935,-176,9.1,0,1759,1759,0,0,1759,13.715,0,1.53,1.51,1146,2020,1401,3421,26.675
20,77,2014,12205,5841,6364,52.143,1858,1522,0,3380,2984,24.449,0,-95,-81,-149,2754,-592,21.5,0,2162,2162,0,0,2162,17.714,0,1.94,1.91,1113,2849,1297,4146,33.97
21,77,2015,13045,5618,7427,56.934,1843,1358,0,3201,4226,32.396,13,-94,-67,-285,3874,-1053,27.18,0,2821,2821,0,0,2821,21.625,0,2.61,2.57,1080,3968,1230,5198,39.847
22,77,2016,13000,5425,7575,58.269,1728,1267,0,2995,4580,35.231,14,-90,-90,-274,4216,-1230,29.17,0,2986,2986,0,0,2986,22.969,0,2.86,2.82,1043,4306,1133,5439,41.839
23,77,2017,13370,5113,8257,61.758,1742,1356,0,3098,5159,38.586,8,-80,-80,-149,4930,-1335,27.08,0,3595,3595,0,0,3595,26.889,0,3.54,3.48,1021,5010,955,5965,44.615
24,77,2018,14961,5347,9614,64.26,1694,1508,0,3202,6412,42.858,0,-78,-78,-254,6080,-2398,39.44,0,3682,3682,0,0,3682,24.611,0,3.68,3.61,1012,6158,904,7062,47.203
25,77,2019,15784,5507,10277,65.11,1684,1559,0,3243,7034,44.564,0,-125,-125,-223,6686,-1106,16.54,0,5580,5580,0,0,5580,35.352,0,5.71,5.59,990,6811,954,7765,49.195
26,77,2020,14383,5219,9164,63.714,1645,1544,0,3189,5975,41.542,0,-170,-170,-77,5728,-711,12.41,0,5017,5017,0,0,5017,34.882,0,5.33,5.24,952,5898,1050,6948,48.307
27,77,2021,14461,5192,9269,64.097,1623,1530,0,3153,6116,42.293,0,-190,-190,91,6017,-422,7.01,0,5595,5595,0,0,5595,38.69,0,6.05,5.97,933,6207,992,7199,49.782
28,77,2022,18344,5968,12376,67.466,1666,1554,0,3220,9156,49.913,0,-184,-184,-53,8919,-1150,12.89,0,7769,7769,0,0,7769,42.352,0,8.38,8.26,936,9103,954,10057,54.825
29,77,2023,20028,6257,13771,68.759,1704,1670,0,3374,10397,51.912,0,-214,-214,-151,10032,-1283,12.79,0,8749,8749,0,0,8749,43.684,0,9.51,9.41,926,10246,979,11225,56.047
