,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,79,1994,39004.551,0,39004.551,0,0,725.132,35005.125,35730.257,3274.294,8.395,295.373,-523.551,-228.178,-348.568,2697.548,-811.924,30.1,-0.001,1885.623,1885.624,0,-71.393,1814.23,4.651,0,0.605,0.605,3017.736,3221.098,944.911,4166.011,10.681
1,79,1995,39937.682,0,39937.682,0,0,731.011,35744.13,36475.141,3462.541,8.67,181.743,-476.57,-294.828,40.387,3208.1,-1025.838,31.98,0,2182.262,2182.262,0,-83.467,2098.795,5.255,0,0.7,0.7,3021.197,3684.671,985.451,4670.121,11.694
2,79,1996,40106.423,0,40106.423,0,0,744.455,35870.026,36614.481,3491.942,8.707,174.342,-498.849,-324.506,-216.338,2951.098,-993.88,33.68,0,1957.218,1957.218,0,-82.717,1874.501,4.674,0,0.622,0.622,3024.392,3449.946,1012.968,4462.914,11.128
3,79,1997,48705.879,0,48705.879,0,0,871.772,43877.717,44749.489,3956.39,8.123,200.508,-565.199,-364.691,268.796,3860.495,-1403.552,36.36,0,2456.943,2456.943,0,-117.69,2339.253,4.803,0,0.777,0.777,3024.658,4425.694,1233.556,5659.25,11.619
4,79,1998,44823.897,41240.239,3583.658,7.995,0,866.466,0,0,3583.658,7.995,425.299,-541.145,-115.846,3690.96,7158.772,-1983.006,27.7,145.916,5321.682,5175.766,0,-145.916,5175.766,11.547,7.103,1.544,1.506,3432.86,3583.658,1167.984,3583.658,7.995
5,79,1999,42460.218,37829.743,4630.475,10.905,0,830.959,0,0,4630.475,10.905,542.514,-385.589,156.926,-105.514,4681.887,-1590.522,33.97,151.534,3242.899,3091.365,0,-151.534,3091.365,7.281,0,0.92,0.899,3605.968,4630.475,932.587,4630.475,10.905
6,79,2000,43879.804,0,43879.804,0,0,1001.332,37962.842,38964.174,4915.63,11.203,464.904,-479.534,-14.63,-251.959,4649.041,-1466.237,31.54,0.002,3182.806,3182.806,0,-216.197,2966.609,6.761,0,0.939,0.918,3215.134,5128.576,1204.525,6333.1,14.433
7,79,2001,43185.984,39784.367,3401.617,7.877,0,1684.615,0,0,3401.617,7.877,547.898,-567.835,-567.835,-387.241,2446.541,-1260.557,51.52,0,1185.984,1185.984,0,-193.172,992.812,2.299,0,0.319,0.319,3042.81,3014.376,1755.615,4769.991,11.045
8,79,2002,46529.412,41301.248,5228.164,11.236,0,0,0,0,5228.164,11.236,0,-1467.023,-1467.023,-531.194,3229.947,-1378.788,42.69,-0.001,1851.158,1851.159,0,-213.012,1638.146,3.521,0,0.535,0.535,3030.03,4696.97,2535.651,7232.62,15.544
9,79,2003,49249.412,22350.595,26898.817,54.618,19588.828,0,-86.457,19502.371,7396.446,15.018,0,0,0,-3655.481,3740.965,-1568.855,41.94,318.629,2490.739,2172.111,0,-318.628,2172.111,4.41,42.743,0.362,0.362,3019.86,7396.446,2634.511,10030.956,20.368
10,79,2004,52421.606,24503.589,27918.017,53.257,19668.113,0,0.001,19668.114,8249.903,15.738,0,0,0,-2983.716,5266.187,-1875.2,35.61,305.695,3696.682,3390.986,0,-305.696,3390.986,6.469,33.207,1.15,1.122,2994.435,8249.903,2502.22,10752.123,20.511
