,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,80,1994,2527.3,1762.6,764.7,30.258,408.5,0,50.3,458.8,305.9,12.104,0,0,0,-1.5,304.4,-109.8,36.07,-0.6,194,194.6,0,0.6,194.6,7.7,0,0.155,0.155,1255.484,305.9,-50.3,356.2,14.094
1,80,1995,3768.882,2643.107,1125.775,29.87,555.649,0,28.139,583.788,541.987,14.381,0,0,0,-74.043,467.944,-177.822,38,1373.092,1663.214,288.139,0,2,1665.214,44.183,0,1.188,1.188,1402.217,541.987,64.079,606.066,16.081
2,80,1996,5670.878,3930.933,1739.945,30.682,1030.906,0,94.458,1125.364,614.581,10.838,0,0,0,-154.567,460.014,-170.205,37,-7.69,282.119,285.964,0,3.845,285.964,5.043,7.188,0.196,0.196,1419.544,614.581,94.458,709.039,12.503
3,80,1997,10073.79,7179.679,2894.111,28.729,2164.535,0,118.198,2282.733,611.378,6.069,0,0,0,-30.528,580.85,-224.598,38.67,-1.23,355.022,355.637,0,0.615,355.637,3.53,28.752,0.22,0.22,1486.76,611.378,133.166,744.544,7.391
4,80,1998,11794,8542,3252,27.573,2364,0,146,2510,742,6.291,0,0,0,0,742,-282,38.01,0,460,431,0,0,460,3.9,29,0.288,0.283,1528,742,146,888,7.529
5,80,1999,17355,13523,3832,22.08,2964,0,185,3149,683,3.936,0,0,0,-729,-46,-120,-260.87,0,-166,-166,0,0,-166,-0.957,48,-0.14,-0.14,1524.8,683,185,868,5.001
6,80,2000,19562,15043,4519,23.101,3343,0,-37005,-33662,38181,195.179,0,0,0,-37287,894,-326,36.47,0,568,568,0,0,568,2.904,0,0.408,0.4,1420,38181,233,38414,196.371
7,80,2001,21122,16155,4967,23.516,0,0,3767,3767,1200,5.681,0,0,0,-45,1155,-419,36.28,0,736,736,0,0,736,3.485,0,0.568,0.548,1346,1200,247,1447,6.851
8,80,2002,23173,17644,5529,23.86,3979,0,265,4244,1285,5.545,0,-94,-94,281,1472,-559,37.98,0,913,913,0,0,913,3.94,0,0.73,0.7,1304.286,1566,265,1831,7.901
9,80,2003,24800,18192,6608,26.645,0,0,4642,4642,1966,7.927,0,-90,-90,220,2096,-744,35.5,0,1352,1352,0,0,1352,5.452,0,1.115,1.065,1269.484,2186,255,2441,9.843
10,80,2004,29696,21844,7852,26.441,4875,0,-26719,-21844,29696,100,0,-95,-95,-26761,2840,-1015,35.74,-170,1655,1655,0,0,1655,5.573,0,1.4,1.34,1235.075,29696,299,29995,101.007
11,80,2005,37804,27912,9892,26.167,6073,0,374,6447,3445,9.113,0,-128,-128,413,3730,-1319,35.36,0,2411,2411,0,0,2411,6.378,0,1.93,1.83,1316,3858,374,4232,11.195
12,80,2006,45920,33758,12162,26.485,7134,0,453,7587,4575,9.963,0,-241,-241,505,4839,-1756,36.29,0,3083,3083,0,0,3083,6.714,0,2.44,2.31,1333,5080,453,5533,12.049
13,80,2007,70671,53907,16764,23.721,9981,0,670,10651,6113,8.65,0,-456,-456,871,6528,-2369,36.29,0,4159,4159,0,0,4159,5.885,0,3.09,2.97,1402,6984,670,7654,10.831
14,80,2008,74287,56203,18084,24.343,10583,0,796,11379,6705,9.026,0,-544,-544,1144,7305,-2651,36.29,0,4654,4654,0,0,4654,6.265,0,3.55,3.42,1361,7849,796,8645,11.637
15,80,2009,80415,61839,18576,23.1,13103,0,981,14084,4492,5.586,0,-639,-639,771,4624,-1647,35.62,0,2977,2977,0,0,2977,3.702,0,2.45,2.4,1241,5263,981,6244,7.765
16,80,2010,86546,67054,19492,22.522,12734,0,991,13725,5767,6.664,0,-551,-551,592,5808,-1986,34.19,0,3822,3822,0,0,3822,4.416,0,3.27,3.24,1179,6359,991,7350,8.493
17,80,2011,94155,70957,23198,24.638,14270,0,1064,15334,7864,8.352,0,-481,-481,0,7383,-2749,37.23,0,4634,4634,0,0,4634,4.922,0,4.14,4.1,1131,7864,1064,8928,9.482
18,80,2012,101862,76717,25145,24.685,15557,0,1124,16681,8464,8.309,0,-505,-505,0,7959,-2817,35.39,0,5142,5142,0,0,5142,5.048,0,4.81,4.73,1087,8464,1124,9588,9.413
19,80,2013,110618,82749,27869,25.194,0,0,18615,18615,9254,8.366,0,-632,-632,0,8622,-3096,35.91,0,5526,5526,0,0,5526,4.996,0,5.38,5.28,1046,9254,1309,10563,9.549
20,80,2014,122489,92550,29939,24.442,0,0,20316,20316,9623,7.856,0,-708,-708,0,8915,-3242,36.37,0,5673,5673,0,-48,5625,4.592,0,5.59,5.5,1023,9623,1375,10998,8.979
21,80,2015,130474,97459,33015,25.304,0,0,22741,22741,10274,7.874,0,-618,-618,0,9656,-4037,41.81,0,5619,5619,0,0,5619,4.307,0,5.78,5.7,986,10274,1478,11752,9.007
22,80,2016,157107,120081,37026,23.567,0,0,26005,26005,11021,7.015,0,-790,-790,0,10231,-4363,42.64,0,5868,5868,0,-55,5813,3.7,0,6.1,6.01,967,11021,1693,12714,8.093
23,80,2017,184840,141454,43386,23.472,0,0,30456,30456,12930,6.995,0,-1067,-1067,0,11863,-4790,40.38,0,7073,7073,0,-56,7017,3.796,0,7.37,7.25,968,12930,2055,14985,8.107
24,80,2018,201159,154148,47011,23.37,0,0,31802,31802,15209,7.561,0,-1186,-1186,0,14023,-3200,22.82,0,10823,10823,0,-265,10558,5.249,0,10.95,10.72,985,15209,2245,17454,8.677
25,80,2019,226247,172401,53846,23.8,0,0,36502,36502,17344,7.666,0,-1400,-1400,0,15944,-3562,22.34,0,12382,12382,0,-396,11986,5.298,0,12.45,12.19,983,17344,2428,19772,8.739
26,80,2020,242155,184557,57598,23.786,0,0,37913,37913,19685,8.129,0,-1704,-1704,0,17981,-3742,20.81,0,14239,14239,0,-400,13839,5.715,0,14.55,14.33,966,19685,2720,22405,9.252
27,80,2021,257141,190141,67000,26.056,0,0,44595,44595,22405,8.713,0,-1663,-1663,0,20742,-4973,23.98,0,15769,15769,0,-366,15403,5.99,0,16.23,16.03,961,22405,2891,25296,9.837
28,80,2022,287597,217945,69652,24.219,0,0,45682,45682,23970,8.335,0,-1660,-1660,0,22310,-4578,20.52,0,17732,17732,0,-447,17285,6.01,0,18.33,18.08,956,23970,3103,27073,9.414
29,80,2023,324162,244545,79617,24.561,0,0,51182,51182,28435,8.772,0,-2092,-2092,0,26343,-5704,21.65,0,20639,20639,0,-519,20120,6.207,0,21.47,21.18,950,28435,3400,31835,9.821
