,enterprise_id,years,interest_income,interest_expense,net_interest_income_(for_banks),non_interest_income,revenue,credit_losses_provision,"selling,_general,_&_admin._expense",other_noninterest_expense,total_noninterest_expense,special_charges,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),"depreciation,_depletion_and_amortization"
0,85,1994,3734.1,-1358,2376.1,1542.5,3918.6,140.1,1416.5,1424.3,2840.8,0,0,937.7,-284.1,30.3,0,653.6,653.6,0,0,653.6,16.679,27.6,0.475,0.465,1346.237,194.8
1,85,1995,4393.7,-1590.1,2803.6,1638.3,4441.9,164.9,1573.7,1522.7,3096.4,0,0,1180.6,-380.2,32.2,0,800.4,800.4,0,0,800.4,18.019,27.8,0.613,0.603,1282.324,232.2
2,85,1996,5717.3,-2448,3269.3,1848.2,5117.5,312.4,1745.1,1637.2,3382.3,0,0,1422.8,-466.8,32.81,0,956,956,0,0,956,18.681,41.2,0.695,0.68,1345.294,311.8
3,85,1997,12841,-4619,8222,4769,12991,500,3624,5100,8724,0,0,3767,-1539,40.85,0,2228,2228,0,0,2228,17.15,85,0.69,0.68,1473.451,1458
4,85,1998,13602,-4954,8648,5675,14323,1140,3811,5179,8990,0,0,4193,-1694,40.4,0,2499,2499,0,0,2499,17.448,43,0.75,0.74,1521.86,1734
5,85,1999,14055,-5065,8990,6427,15417,1545,4416,6163,10579,0,0,3293,-1343,40.78,0,1950,1950,0,0,1950,12.648,35,0.59,0.585,3283.6,2168
6,85,2000,15934,-5818,10116,7975,18091,1104,4851,5786,10637,0,0,6350,-2338,36.82,0,4012,4012,0,0,4012,22.177,35,1.16,1.145,3473.362,1971
7,85,2001,18725,-7860,10865,8843,19708,1329,5487,6343,11830,0,0,6549,-2523,38.52,0,4026,4026,0,0,4026,20.428,17,1.175,1.16,3456.034,1790
8,85,2002,18717,-6741,11976,9005,20981,1727,6182,7612,13794,0,0,5460,-2049,37.53,0,3411,3411,0,0,3411,16.258,14,0.995,0.985,3448.731,3864
9,85,2003,18459,-3977,14482,10767,25249,1684,8372,6339,14711,0,0,8854,-3144,35.51,-276,5434,5710,0,0,5434,21.522,4,1.595,1.58,3436,4297
10,85,2004,19418,-3411,16007,12382,28389,1722,8446,8744,17190,0,0,9477,-3275,34.56,0,6202,6202,0,0,6202,21.847,3,1.845,1.825,3395,4305
11,85,2005,20967,-3817,17150,12515,29665,1717,8924,8644,17568,5,394,10769,-3755,34.87,0,7014,7014,0,0,7014,23.644,0,2.07,2.05,3426.7,3449
12,85,2006,25962,-7458,18504,13934,32438,2383,10455,8619,19074,-56,511,11548,-3877,33.57,0,7671,7671,0,0,7671,23.648,0,2.27,2.25,3410.9,4161
13,85,2007,32239,-12288,19951,15002,34953,2204,11927,8923,20850,-13,738,12650,-4230,33.44,0,8420,8420,0,0,8420,24.09,0,2.5,2.47,3410.1,3221
14,85,2008,35177,-14203,20974,17682,38656,4939,13402,9347,22749,-3,864,11835,-3570,30.16,0,8265,8265,0,-208,8057,20.843,0,2.41,2.38,3382.8,1532
15,85,2009,34898,-9755,25143,17491,42634,15979,13060,9541,22601,-3,-757,3300,-602,18.24,0,2698,2698,0,-43,2655,6.227,286,0.7,0.7,3391.3,1669
16,85,2010,56274,-9950,46324,42177,88501,21668,28316,20682,48998,22,185,17998,-5331,29.62,0,12667,12667,0,-392,12275,13.87,4285,1.76,1.75,4562.7,2841
17,85,2011,52796,-8039,44757,39674,84431,15753,28409,20032,48441,2015,779,19001,-6338,33.36,0,12663,12663,0,-301,12362,14.642,730,2.23,2.21,5263.1,1924
18,85,2012,49412,-6649,42763,36703,79466,7899,28933,20443,49376,17,1482,23656,-7445,31.47,0,16211,16211,0,-342,15869,19.97,844,2.85,2.82,5323.4,2208
19,85,2013,48391,-5161,43230,41371,84601,7217,30160,20245,50405,-7,1485,28471,-9103,31.97,0,19368,19368,0,-471,18897,22.337,898,3.4,3.36,5351.5,2807
20,85,2014,47089,-4289,42800,39508,82308,2309,31097,17730,48827,15,1472,32629,-10405,31.89,0,22224,22224,0,-346,21878,26.581,989,3.95,3.89,5371.2,3293
21,85,2015,47552,-4025,43527,38440,81967,1395,30870,18195,49065,-28,2380,33915,-10307,30.39,0,23608,23608,0,-551,23057,28.13,1236,4.17,4.1,5324.4,2515
22,85,2016,49277,-3976,45301,38526,83827,2442,31654,18395,50049,-75,2230,33641,-10365,30.81,0,23276,23276,0,-382,22894,27.311,1424,4.18,4.12,5209.8,3288
23,85,2017,53663,-5909,47754,40513,88267,3770,33061,19360,52421,-44,0,32120,-10075,31.37,0,22045,22045,0,-107,21938,24.854,1565,4.03,3.99,5108.3,4970
24,85,2018,58909,-9352,49557,38832,88389,2528,36623,21861,58484,-976,-976,27377,-4917,17.96,0,22460,22460,0,-277,22183,25.097,1629,4.14,4.1,5017.3,5406
25,85,2019,64647,-14652,49995,36413,86408,1744,33942,22216,56158,-32,0,28538,-5662,19.84,0,22876,22876,0,-483,22393,25.915,1704,4.31,4.28,4838.4,5593
26,85,2020,66155,-18852,47303,39529,86832,2687,36204,21974,58178,0,0,25967,-5761,22.19,0,20206,20206,0,-491,19715,22.705,1612,4.12,4.09,4425.4,6573
27,85,2021,47919,-7963,39956,34308,74264,14129,35411,20720,56131,1499,0,2505,1157,-46.19,0,3662,3662,0,-285,3377,4.547,1591,0.43,0.43,4134.2,8219
28,85,2022,39694,-3915,35779,42713,78492,-4155,36141,17614,53755,76,0,28816,-5578,19.36,0,23238,23238,0,-1690,21548,27.453,1292,4.99,4.95,4096.2,7890
29,85,2023,54024,-9074,44950,28835,73785,1534,34845,22432,57277,5,0,14969,-2087,13.94,0,12882,12882,0,300,13182,17.865,1115,3.17,3.14,3837,6832
