enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
3,1994,10888.184,11659.793,6.63,-2.21,-0.26,-1.32,5.19,0,0,6.36,5.3,4.24,4,-2.72,0.641,4.5,1.16,0.85,0.12,N/A,6.8,5.15,1.78,4.03,8.15,14.86,24.42,0,1657.976,1642.26,0.97,03/03/94,03/03/94,,0,49659,1
3,1995,11727.888,12472.154,7.3,-2.59,-0.37,-1.59,8.14,7.35,0,7.22,5.69,4.14,6,-2.74,0.623,2.92,1.12,0.82,0.09,N/A,7.52,5.85,2.17,4.94,11.14,10,12.53,0,1624.472,1606.56,0.58,03/10/95,03/10/95,,0,49464,1
3,1996,14659.619,15828.983,9.31,-2.98,-0.5,-1.89,10.59,8.52,13.75,8.11,6.11,4.3,6,-2.52,0.653,8.08,1.12,0.82,0.08,N/A,9.99,6.99,1.99,4.74,11.41,13.37,13.22,13.13,1590.724,1574.61,0.5,03/11/96,03/11/96,,0,50241,1
3,1997,17813.389,20019.789,11.36,-3.95,-1.16,-2.74,13.99,9.74,16.26,7.87,6.24,4.03,5,-2.39,0.747,13.08,1.03,0.75,0.03,N/A,12.7,8.67,0.41,3.93,10.91,12.26,12.92,14.45,1555.372,1568.08,0.89,03/09/98,03/11/97,,0,52817,1
3,1998,22403.265,24892.665,14.66,-4.47,-1.32,-3.18,17.13,10.85,17.02,8.41,7.88,4.18,5,-2.69,0.673,5.47,1,0.75,0.05,N/A,15.36,11.27,2.54,4,8.39,10.92,8.28,13.56,1551.567,1528.19,1,03/09/99,03/09/98,,0,54487,1
3,1999,33247.196,35934.996,21.93,-4.68,-1.26,-3.25,19.37,11.91,15.92,9.55,9.23,4.97,6,-2.59,0.7,7.73,1.13,0.84,0.08,N/A,22.27,14.92,0.79,2.18,6.2,13.64,10.57,11.46,1537.242,1516.06,0.78,03/14/00,03/09/99,,0,56236,1
3,2000,25139.075,26648.839,16.25,-4.09,-0.4,-2.61,20.67,13.13,14.35,10.99,10.74,4.58,6,-2.64,0.674,4.88,1.42,1.09,0.16,N/A,23.69,14.91,-2.04,-1.73,5.54,4.67,2.08,10.12,1536.762,1547.02,0.77,02/15/01,03/14/00,,0,57100,1
3,2001,33515.762,33914.866,21.68,-3.59,0.43,-1.97,19.74,14.36,10.8,12.42,12.8,5.62,6,-2.63,0.62,1.99,1.72,1.31,0.27,N/A,24.95,13.26,0.07,0.98,3.78,13.38,5.8,7.14,1548.015,1545.93,0.51,02/15/01,02/15/01,,0,60571,1
3,2002,38972.067,45547.355,25.07,-8.7,-3.74,-6.63,20,18.75,6.91,5.98,9.54,3.07,4,-2.19,1.023,27.34,1.06,0.78,0.09,N/A,25.53,18.82,-0.56,-0.39,18.44,-44.38,3.85,5.58,1550.39,1554.53,0.13,02/19/03,02/21/02,,0,71426,1
3,2003,28119.629,33576.129,17.99,-8.08,-2.86,-5.89,20.58,18.02,0,8.04,11.32,2.92,8,-2.72,0.692,2.03,1.3,0.95,0.14,N/A,25.9,13.94,-0.55,-0.49,-6.61,79.8,-2.5,4.76,1560.956,1563.07,0.18,02/25/04,02/19/03,,0,71819,1
3,2004,32776.694,37479.959,20.95,-7.47,-2.14,-5,21.75,22.2,0,9.46,12.73,3.29,6,-2.54,0.733,2.45,1.38,0.99,0.18,N/A,21.2,15.46,-0.09,0.07,13.19,-1.69,-2.27,1,1562.815,1564.52,0.26,03/02/05,02/25/04,,0,72200,1
