enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
4,2001,13923.588,12643.19,14.9,-4.17,-1.28,-2.97,0,0,0,0,0,0,0,0,-0.165,-13.41,1.1,1.1,0.45,N/A,15.5,14.05,-,-12.87,0,0,0,0,934.469,934.469,0,,,,0,75000,1
4,2002,15529.836,14798.783,16.45,-3.94,-1.05,-2.89,0,0,0,2.28,0,4.87,N/A,0,-0.048,-10.9,1.22,1.22,0.4,30.62,29.9,11.85,-1.03,2.81,-8.42,-50.53,-34.69,0,425.942,944.063,0,11/05/04,11/05/04,,0,75000,1
4,2003,19780.453,18432.503,21.16,-3.53,-0.63,-2.39,0,0,0,4,0,5.74,N/A,0,-0.094,-14.51,1.52,1.52,0.7,72.89,21.54,12.2,0.98,1.54,5,87.5,37.11,0,468.592,934.804,0,11/05/04,11/05/04,,0,83000,1
4,2004,24813.896,22985.489,26.1,-3.9,-0.42,-2.58,0,0,0,6.07,0,5.55,5,-2.78,-0.055,-2.1,1.4,1.4,0.65,81.09,27.91,21.39,-1.7,2.9,12.13,16.19,8.63,0,553.298,950.724,1.8,11/05/04,11/05/04,,0,100000,1
4,2005,20980.852,19089.549,24.4,-5.02,-0.67,-3.49,0,0,0,7.17,0,5.11,5,-2.82,-0.024,-4.15,1.36,1.36,0.6,N/A,27.55,21.47,9.56,6.32,18.05,27.87,17.61,0,588.505,859.871,1.47,,,,0,123000,1
4,2006,24486.762,21986.558,29.66,-5.07,-0.5,-2.25,0,0,0,7.65,21,5.19,5,-3.33,-0.068,-15.18,1.25,1.25,0.59,N/A,32.94,24.92,3.99,6.74,14.57,1.92,-1.42,0,589.1,825.582,1.36,,,,0,140000,1
4,2007,31339.999,28560.871,41.21,-6.76,-0.94,-3.11,27.36,0,36.19,9.15,25.41,5.59,8,-2.9,-0.075,-9.65,1.14,1.14,0.51,N/A,43.81,28.38,7.88,5.81,22.1,23.9,45.43,18.16,604.129,760.495,1.4,,,,1318,170000,1
4,2008,30242.97,27280.375,41.36,-8.53,-0.96,-3.9,37.09,0,47.86,11.81,30.44,5.42,9,-2.63,-0.039,-6.35,1.34,1.34,0.53,133.65,42.21,32.79,3.85,6.02,23.55,34.52,27.98,17.87,610.949,731.213,0.74,10/19/09,10/19/09,,2522,186000,1
4,2009,20557.548,16559.922,33,-7.82,-0.69,-3.77,43.96,0,53.64,13.93,35.93,4.73,7,-3.22,-0.094,-10.81,1.44,1.44,0.73,204.88,41.96,26.67,14.81,7.06,-4.19,-7.92,-7.82,20.06,623.007,622.956,0.6,10/26/10,10/19/09,10/01/09,250,177000,1
4,2010,22876.391,18475.677,36.6,-8.25,-0.7,-5.21,49.25,0,41.92,13.88,40.34,4.77,8,-2.93,-0.128,-8.08,1.46,1.46,0.74,199.25,44.67,33.21,-0.33,7.14,2.26,9.02,9.47,15.56,637.17,625.038,0.66,10/21/11,10/26/10,09/30/10,247,204000,1
4,2011,34374.448,29144.781,53.59,-9.58,-0.59,-5.8,56.74,0,42.35,18.08,46.92,5.12,7,-2.54,-0.105,-2.93,1.45,1.45,0.72,231.47,63.44,37.4,-2.62,4.7,22.17,27.44,22.43,12.45,645.631,641.434,0.81,10/29/13,10/21/11,09/27/11,243,236000,1
4,2012,39016.146,32851.987,61.6,-9.28,0.11,-5.63,60.19,61.23,39.96,20,54.13,5.49,5,-3.01,-0.128,-7.01,1.55,1.55,0.82,257.17,65.89,49.82,1.26,4.21,11.23,13.27,14.13,10.42,643.133,633.379,1.24,10/24/14,10/30/12,09/27/12,240,257000,1
4,2013,45954.107,40812.94,72.25,-9.86,-0.1,-5.93,60.99,66.38,56.02,21.45,57.86,6.16,6,-2.39,-0.011,6.73,1.45,1.45,0.69,289.75,83.09,61.06,-0.42,4.41,4.08,28.39,11.77,11.98,645.537,636.043,1.39,10/30/15,10/29/13,09/26/13,247,275000,1
4,2014,50946.129,46602.257,81.06,-11.57,-0.47,-6.97,69.09,71.72,64.41,21.76,62.72,6.37,6,-2.38,0.082,2.85,1.46,1.46,0.6,243.03,85.4,70.28,1.19,3.93,8.05,-8.32,2.81,14.31,634.216,628.499,1.27,10/28/16,10/24/14,09/24/14,238,305000,1
4,2015,59079.103,55257.17,94.27,-12.3,-2.18,-7.7,74.56,78.28,50.6,21.63,67.45,6.86,5,-2.64,0.129,0.26,1.26,1.26,0.51,304.29,105.2,75.85,0.29,3.21,5.33,5.31,4.8,10.63,626.8,626.701,1.16,10/26/17,10/30/15,09/24/15,259,358000,1
