enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
13,1994,0,0,0,-1.93,-0.17,-1.07,0,0,0,3.09,0,2.7,N/A,0,0.423,4.32,1.4,1.07,0.44,5.03,0,0,0.35,0,-8.26,341.18,71.19,0,1700,1890.25,0,,,,0,32300,1
13,1995,12676.065,12787.066,6.7,-1.87,-0.07,-0.99,0,0,0,3.67,0,3.2,N/A,0,0.37,7.07,1.53,1.13,0.39,10.17,6.86,6.31,-0.09,-0.04,-4.17,-2.4,-4.76,0,1892,1891.95,0,,,,0,30800,1
13,1996,18005.283,18210.796,9.51,-1.99,-0.07,-1.04,0,0,0,4.03,0,3.88,3,-1.73,0.421,7.4,1.56,1.13,0.39,17.55,10.1,6.56,-0.07,-0.05,8.05,-24.86,-8.45,0,1892,1893.3,0,,,,0,31400,1
13,1997,25935.705,25687.391,13.69,-1.8,0.06,-0.86,0,0,0,4.97,0,5.12,7,-0.8,0.411,10.06,1.62,1.26,0.52,17.05,13.93,9.29,-0.06,-0.02,21.23,111.27,58.88,0,1894,1894.5,0,,,,0,31100,1
13,1998,33406.912,33426.75,17.6,-1.85,0.01,-0.9,0,0,0,5.09,0,5.98,1,-1.5,0.419,12.48,1.53,1.14,0.39,17.97,18.49,13.18,-0.19,-0.07,-6.91,9.29,3.87,0,1896,1898.12,0.5,,,,0,31400,1
13,1999,41661.737,39440.737,21.93,-2.18,0.98,-1.64,4.73,0,0,7.96,0,4.41,6,0.13,1.051,13.91,1.66,1.31,0.6,22.85,23.95,15.76,-0.09,-0.03,-29.53,14.96,-22.63,0,3558,1899.76,0.62,,,,0,34000,1
13,2000,72496.32,70367.32,20.41,-1.75,0.11,-1.45,2.35,0,0,3.64,-3.31,6.51,2,-2.34,0.442,-1.16,1.41,1.11,0.47,20.55,23.71,17.32,-86.97,0.22,33.95,-56.16,38.77,0,3552,3552,0.63,,,,0,58000,1
13,2001,90948.228,87362.077,25.75,-1.26,0.45,-0.4,1.98,0,0,6.08,11.47,8.3,6,-1.95,0.3,8.12,1.52,1.22,0.65,34.03,26.13,15.4,0.56,0.37,20.23,124.06,9.63,0,3536,3531.97,0.64,,,,0,57000,1
13,2002,81331.679,78507.679,23.3,-1.46,0.42,-0.6,1.39,0,0,7.49,9.51,7.7,4,-1.9,0.367,7.72,1.6,1.23,0.59,30.83,25.56,21.3,1.17,1.22,-8.51,15.06,2.74,-1,3516,3490.63,0.21,03/25/03,03/25/03,,0,52600,1
13,2003,60325.142,56535.142,17.55,-1.66,0.5,-0.71,2.62,0,12.32,6.49,11.38,5.85,6,-2.54,0.399,-2.1,1.48,1.16,0.57,N/A,26,14.58,1.53,1.91,9.81,-0.61,0.42,15.11,3466,3437.33,0.43,03/25/03,03/25/03,,0,59000,1
